id,type,attributes.date_created,attributes.date_modified,attributes.date_published,attributes.original_publication_date,attributes.doi,attributes.title,attributes.description,attributes.is_published,attributes.is_preprint_orphan,attributes.tags,attributes.preprint_doi_created,attributes.date_withdrawn,attributes.current_user_permissions,attributes.public,attributes.reviews_state,attributes.date_last_transitioned,attributes.has_coi,attributes.conflict_of_interest_statement,attributes.has_data_links,attributes.why_no_data,attributes.data_links,attributes.has_prereg_links,attributes.why_no_prereg,attributes.prereg_links,attributes.prereg_link_info,attributes.subjects,attributes.license_record.copyright_holders,attributes.license_record.year,relationships.contributors.links.related.href,relationships.bibliographic_contributors.links.related.href,relationships.citation.links.related.href,relationships.citation.data.id,relationships.citation.data.type,relationships.identifiers.links.related.href,relationships.node.links.self.href,relationships.license.links.related.href,relationships.license.data.id,relationships.license.data.type,relationships.provider.links.related.href,relationships.provider.data.id,relationships.provider.data.type,relationships.files.links.related.href,relationships.primary_file.links.related.href,relationships.primary_file.data.id,relationships.primary_file.data.type,relationships.review_actions.links.related.href,relationships.requests.links.related.href,links.self,links.html,links.preprint_doi,links.doi
etp5f,preprints,2020-05-03T19:19:08.558401,2020-05-04T15:05:16.103597,2020-05-03T23:40:53.216965,2020-05-02T21:00:00,NA,What is quantum information? Information symmetry and mechanical motion,"The concept of quantum information is introduced as both normed superposition of two orthogonal subspaces of the separable complex Hilbert space and invariance of Hamilton and Lagrange representation of any mechanical system. The base is the isomorphism of the standard introduction and the representation of a qubit to a 3D unit ball, in which two points are chosen.
The separable complex Hilbert space is considered as the free variable of quantum information and any point in it (a wave function describing a state of a quantum system) as its value as the bound variable.
A qubit is equivalent to the generalization of ‘bit’ from the set of two equally probable alternatives to an infinite set of alternatives. Then, that Hilbert space is considered as a generalization of Peano arithmetic where any unit is substituted by a qubit and thus the set of natural number is mappable within any qubit as the complex internal structure of the unit or a different state of it. Thus, any mathematical structure being reducible to set theory is representable as a set of wave functions and a subspace of the separable complex Hilbert space, and it can be identified as the category of all categories for any functor represents an operator transforming a set (or subspace) of the separable complex Hilbert space into another. Thus, category theory is isomorphic to the Hilbert-space representation of set theory &amp; Peano arithmetic as above.
Given any value of quantum information, i.e. a point in the separable complex Hilbert space, it always admits two equally acceptable interpretations: the one is physical, the other is mathematical. The former is a wave function as the exhausted description of a certain state of a certain quantum system. The latter chooses a certain mathematical structure among a certain category. Thus there is no way to be distinguished a mathematical structure from a physical state for both are described exhaustedly as a value of quantum information. This statement in turn can be utilized to be defined quantum information by the identity of any mathematical structure to a physical state, and also vice versa. Further, that definition is equivalent to both standard definition as the normed superposition and invariance of Hamilton and Lagrange interpretation of mechanical motion introduced in the beginning of the paper.
Then, the concept of information symmetry can be involved as the symmetry between three elements or two pairs of elements: Lagrange representation and each counterpart of the pair of Hamilton representation. The sense and meaning of information symmetry may be visualized by a single (quantum) bit and its interpretation as both (privileged) reference frame and the symmetries 𝑈𝑈(1), 𝑆𝑆𝑆 (2), and 𝑆𝑆𝑆 (3) of the Standard model.",TRUE,FALSE,|axiom of choice|axiom of (transfinite) induction|category theory|Hamilton representation|Hilbert space|information|Lagrange representation|Minkowski space|nformation symmetry|Peano arithmetic|pseudo-Riemannian space|quantum mechanics|qubit|set theory|special &amp; general relativity|Standard model,2020-05-04T15:05:16.092324,NA,,TRUE,accepted,2020-05-03T23:40:53.216965,FALSE,NA,NA,NA,,NA,NA,NA,NA,5a8c80f2c698300375c76c7d|5a8c80f5c698300375c76cf4|5a8c80f5c698300375c76cfc|Arts and Humanities|Philosophy|Philosophy of Science,,2020,https://api.osf.io/v2/preprints/etp5f/contributors/,https://api.osf.io/v2/preprints/etp5f/bibliographic_contributors/,https://api.osf.io/v2/preprints/etp5f/citation/,etp5f,preprints,https://api.osf.io/v2/preprints/etp5f/identifiers/,https://api.osf.io/v2/preprints/etp5f/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/etp5f/files/,https://api.osf.io/v2/files/5eaf19320ffc0500b96f821c/,5eaf19320ffc0500b96f821c,files,https://api.osf.io/v2/preprints/etp5f/review_actions/,https://api.osf.io/v2/preprints/etp5f/requests/,https://api.osf.io/v2/preprints/etp5f/,https://osf.io/preprints/socarxiv/etp5f/,https://doi.org/10.31235/osf.io/etp5f,NA
49pwz,preprints,2020-05-03T13:39:33.021732,2020-05-04T15:05:14.470594,2020-05-03T18:30:35.465013,NA,NA,"Cognition, Human Evolution and the possibilities for an Ethics of Warfare and Peace","African apes live in large stable social groups with an increased potential for conflict between individual agendas; a reasonable volume of evidence has suggested an instinctive and ethological basis for their intrasocial ethical behavior. Would there be some innate and ethological behavioral basis for ethics in human intersocietal relations, whether in war (providing the limits to the exercise of hard power), or in peace (establishing standards for preservation of intersocietal non-hostility)? As a hypothesis, we suggest that human exclusivity in the exercise of the ethics of warfare and peace is a product of the human transdominial cognition, capable of recombining and re-signifying innate 
 behavioral algorithms through culture, applying them to absolutely innovative functions.",TRUE,FALSE,Big History|Conflict Resolution|Ethics|Ethology|Human Behavior|Human Evolution|Peace|Social Cognition,2020-05-04T15:05:14.420502,NA,,TRUE,accepted,2020-05-03T18:30:35.465013,FALSE,NA,NA,NA,,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,Daniel Barreiros|Daniel Ribera Vainfas,2020,https://api.osf.io/v2/preprints/49pwz/contributors/,https://api.osf.io/v2/preprints/49pwz/bibliographic_contributors/,https://api.osf.io/v2/preprints/49pwz/citation/,49pwz,preprints,https://api.osf.io/v2/preprints/49pwz/identifiers/,https://api.osf.io/v2/preprints/49pwz/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e965/,563c1cf88c5e4a3877f9e965,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/49pwz/files/,https://api.osf.io/v2/files/5eaec99b62d4ab00886c8e65/,5eaec99b62d4ab00886c8e65,files,https://api.osf.io/v2/preprints/49pwz/review_actions/,https://api.osf.io/v2/preprints/49pwz/requests/,https://api.osf.io/v2/preprints/49pwz/,https://osf.io/preprints/socarxiv/49pwz/,https://doi.org/10.31235/osf.io/49pwz,NA
4uh6z,preprints,2020-05-03T13:37:35.571665,2020-06-29T14:49:13.615331,2020-05-03T18:31:32.711048,2020-05-03T04:00:00,NA,National Identity and British Foreign Policy,"Britain’s tenaciously global foreign policy after 1945 was never simply a function of the nation’s ruling class acting on the basis of elite obsessions or after some sort of bipartisan consensus. Rather, this policy developed from mainstream, gradually evolving ideas about “us,” “them,” and “Others” generated within a broader British and, more specifically, English society.",TRUE,FALSE,Attlee|Blair|British foreign policy|Britshness|Constructivism|Decline|Discourse|English society|Global power role|Greatness|Interpretivism|National identity|United Kingdom,2020-05-04T15:05:14.718960,NA,,TRUE,accepted,2020-05-03T18:31:32.711048,FALSE,NA,available,NA,https://www.makingidentitycount.org/,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76daf|5a8c80f8c698300375c76db0|Social and Behavioral Sciences|Political Science|International Relations,,2020,https://api.osf.io/v2/preprints/4uh6z/contributors/,https://api.osf.io/v2/preprints/4uh6z/bibliographic_contributors/,https://api.osf.io/v2/preprints/4uh6z/citation/,4uh6z,preprints,https://api.osf.io/v2/preprints/4uh6z/identifiers/,https://api.osf.io/v2/preprints/4uh6z/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/4uh6z/files/,https://api.osf.io/v2/files/5eaec92169d3e1008edf14de/,5eaec92169d3e1008edf14de,files,https://api.osf.io/v2/preprints/4uh6z/review_actions/,https://api.osf.io/v2/preprints/4uh6z/requests/,https://api.osf.io/v2/preprints/4uh6z/,https://osf.io/preprints/socarxiv/4uh6z/,https://doi.org/10.31235/osf.io/4uh6z,NA
fa84e,preprints,2020-05-03T13:28:41.478062,2020-05-04T15:05:14.306871,2020-05-03T18:29:08.479160,2018-04-19T03:00:00,10.22339/jbh.v2i2.2300,"Warfare, Ethics, Ethology: evolutionary fundamentals for conflict and cooperation","The aim of this article is to set a macro-historical narrative concerning the emergence of warfare and social ethics as symplesiomorphic features in the lineage of Homo sapiens. This means that these two behavioral aspects, representative of a very selected branch in the phylogenetic tree of the Primate order, are shared by the two lineages of great African apes that diverged from a common ancestor around six million years in the past, leading to extant humans and chimpanzees. Therefore, this article proposes an ethological understanding of warfare and social ethics, as both are innate to the social high-specialized modular mind present in the species of genera Pan and Homo. However behavioral restraints to intersocietal coalitionary violence seems to be an exclusive aspect of the transdominial modular cognition that characterizes modern humans. Thus, if in the evolutionary long durée, warfare and restrictions to intrasocial violence both appear to be ethologically common to humans and chimpanzees to a certain extent, an ethics of warfare - and, of course, the cognitive capability for intersocietal peace - seems to be distinctly human.",TRUE,FALSE,Ethics|Ethology|Human Behavior|Human Evolution|Social Cognition|Violence|War|Warfare,2020-05-04T15:05:14.292679,NA,,TRUE,accepted,2020-05-03T18:29:08.479160,FALSE,NA,NA,NA,,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,Daniel Barreiros|International Big History Association,2020,https://api.osf.io/v2/preprints/fa84e/contributors/,https://api.osf.io/v2/preprints/fa84e/bibliographic_contributors/,https://api.osf.io/v2/preprints/fa84e/citation/,fa84e,preprints,https://api.osf.io/v2/preprints/fa84e/identifiers/,https://api.osf.io/v2/preprints/fa84e/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e965/,563c1cf88c5e4a3877f9e965,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/fa84e/files/,https://api.osf.io/v2/files/5eaec70d62d4ab00836cf6f7/,5eaec70d62d4ab00836cf6f7,files,https://api.osf.io/v2/preprints/fa84e/review_actions/,https://api.osf.io/v2/preprints/fa84e/requests/,https://api.osf.io/v2/preprints/fa84e/,https://osf.io/preprints/socarxiv/fa84e/,https://doi.org/10.31235/osf.io/fa84e,https://doi.org/10.22339/jbh.v2i2.2300
br2fg,preprints,2020-05-03T13:22:37.126431,2020-05-04T15:05:14.119252,2020-05-03T18:27:54.100230,2020-03-01T03:00:00,10.22339/jbh.v4i1.4130,"Clausewitz, Keegan, and the Big History of Warfare","As a social phenomenon, is war subordinate to politics, as Carl von Clausewitz argued in the early nineteenth century, or, instead, is it the product of an instinctive ‘warrior culture’, common to all peoples and times and beyond politics, as John Keegan suggested in the late twentieth? Should we emphasize ‘essential historical elements in the search for a tem-poral continuum in warfare? In this article, we stress the relevance of the ‘perennity of war’ thesis, and the impropriety of a dichotomy between political rationality vs. instinct. The results of the clash between these two strands of thought about the origins of warfare face limitations due to the absence of a temporal ‘play of scales’, so that short-term approaches emerge as incompatible with macro-historical views. We suggest that a deep understanding of the phenomenon of warfare must consider the interaction and the feedback between processes at different time scales.",TRUE,FALSE,Big History|Clausewitz|Human Behavior|Human Evolution|Keegan|Social Cognition|Violence|War|Warfare,2020-05-04T15:05:14.103387,NA,,TRUE,accepted,2020-05-03T18:27:54.100230,FALSE,NA,NA,NA,,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,Daniel Barreiros|Daniel Vainfas|International Big History Association,2020,https://api.osf.io/v2/preprints/br2fg/contributors/,https://api.osf.io/v2/preprints/br2fg/bibliographic_contributors/,https://api.osf.io/v2/preprints/br2fg/citation/,br2fg,preprints,https://api.osf.io/v2/preprints/br2fg/identifiers/,https://api.osf.io/v2/preprints/br2fg/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e965/,563c1cf88c5e4a3877f9e965,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/br2fg/files/,https://api.osf.io/v2/files/5eaec5a162d4ab007c6cc03a/,5eaec5a162d4ab007c6cc03a,files,https://api.osf.io/v2/preprints/br2fg/review_actions/,https://api.osf.io/v2/preprints/br2fg/requests/,https://api.osf.io/v2/preprints/br2fg/,https://osf.io/preprints/socarxiv/br2fg/,https://doi.org/10.31235/osf.io/br2fg,https://doi.org/10.22339/jbh.v4i1.4130
6cnms,preprints,2020-05-03T07:38:07.859357,2020-05-04T15:05:13.936612,2020-05-03T18:27:05.698744,NA,NA,More than impossible: negative and complex probabilities and their philosophical interpretation,"A historical review and philosophical look at the introduction of “negative probability” as well as “complex probability” is suggested. The generalization of “probability” is forced by mathematical models in physical or technical disciplines. Initially, they are involved only as an auxiliary tool to complement mathematical models to the completeness to corresponding operations. Rewards, they acquire ontological status, especially in quantum mechanics and its formulation as a natural information theory as “quantum information” after the experimental confirmation the phenomena of “entanglement”. Philosophical interpretations appear. A generalization of them is suggested: ontologically, they correspond to a relevant generalization to the relation of a part and its whole where the whole is a subset of the part rather than vice versa. The structure of “vector space” is involved necessarily in order to differ the part “by itself” from it in relation to the whole as a projection within it. That difference is reflected in the new dimension of vector space both mathematically and conceptually. Then, “negative or complex probability” are interpreted as a quantity corresponding the generalized case where the part can be “bigger” than the whole, and it is represented only partly in general within the whole.",TRUE,FALSE,complex probability|Hilbert space|negative probabilty|probability|quantum information,2020-05-04T15:05:13.919860,NA,,TRUE,accepted,2020-05-03T18:27:05.698744,FALSE,NA,NA,NA,,NA,NA,NA,NA,5a8c80f2c698300375c76c7d|5a8c80f5c698300375c76cf4|5a8c80f5c698300375c76cfc|Arts and Humanities|Philosophy|Philosophy of Science,,2020,https://api.osf.io/v2/preprints/6cnms/contributors/,https://api.osf.io/v2/preprints/6cnms/bibliographic_contributors/,https://api.osf.io/v2/preprints/6cnms/citation/,6cnms,preprints,https://api.osf.io/v2/preprints/6cnms/identifiers/,https://api.osf.io/v2/preprints/6cnms/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/6cnms/files/,https://api.osf.io/v2/files/5eae74e369d3e1008bdeb3d7/,5eae74e369d3e1008bdeb3d7,files,https://api.osf.io/v2/preprints/6cnms/review_actions/,https://api.osf.io/v2/preprints/6cnms/requests/,https://api.osf.io/v2/preprints/6cnms/,https://osf.io/preprints/socarxiv/6cnms/,https://doi.org/10.31235/osf.io/6cnms,NA
fc9xt,preprints,2020-05-03T04:57:32.222101,2020-05-04T15:05:14.094578,2020-05-03T18:26:32.610004,NA,NA,Tactics for design and inference in synthetic control studies: An applied example using high-dimensional data,"We describe identification assumptions underlying synthetic control studies and offer recommendations for key---and normally ad hoc---implementation decisions, focusing on model selection; model fit; cross-validation; and decision rules for inference. We outline how to implement a Synthetic Control Using Lasso (SCUL). The method---available as an R package---allows for a high-dimensional donor pool; automates model selection; includes donors from a wide range of variable types; and permits both extrapolation and negative weights.  In an application, we employ our recommendations and the SCUL strategy to estimate how recreational marijuana legalization affects sales of alcohol and over-the-counter painkillers, finding reductions in alcohol sales.",TRUE,FALSE,high-dimensional data|machine learning|marijuana legalization|synthetic controls,2020-05-04T15:05:14.082964,NA,,TRUE,accepted,2020-05-03T18:26:32.610004,FALSE,NA,NA,NA,,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dbe|Social and Behavioral Sciences|Economics,,2020,https://api.osf.io/v2/preprints/fc9xt/contributors/,https://api.osf.io/v2/preprints/fc9xt/bibliographic_contributors/,https://api.osf.io/v2/preprints/fc9xt/citation/,fc9xt,preprints,https://api.osf.io/v2/preprints/fc9xt/identifiers/,https://api.osf.io/v2/preprints/fc9xt/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/fc9xt/files/,https://api.osf.io/v2/files/5eae4f470ffc0500996f92d8/,5eae4f470ffc0500996f92d8,files,https://api.osf.io/v2/preprints/fc9xt/review_actions/,https://api.osf.io/v2/preprints/fc9xt/requests/,https://api.osf.io/v2/preprints/fc9xt/,https://osf.io/preprints/socarxiv/fc9xt/,https://doi.org/10.31235/osf.io/fc9xt,NA
7cfxd,preprints,2020-05-03T01:27:42.939660,2020-05-05T21:20:57.144980,2020-05-03T18:25:33.985041,NA,NA,A comprehensive analysis of the journal evaluation system in China,"Journal evaluation systems are important in science because they focus on the quality of how new results are critically reviewed and published. They are also important because the prestige and scientific impact of journals is given attention in research assessment and in career and funding systems. Journal evaluation has become increasingly important in China with the expansion of the country’s research and innovation system and its rise as a major contributor to global science. In this paper, we first describe the history and background for journal evaluation in China. Then, we systematically introduce and compare the most influential journal lists and indexing services in China. These are: the Chinese Science Citation Database (CSCD); the journal partition table (JPT); the AMI Comprehensive Evaluation Report (AMI); the Chinese STM Citation Report (CJCR); the “A Guide to the Core Journals of China” (GCJC); the Chinese Social Sciences Citation Index (CSSCI); and the World Academic Journal Clout Index (WAJCI). Some other lists published by government agencies, professional associations, and universities are briefly introduced as well. Thereby, the tradition and landscape of the journal evaluation system in China is comprehensively covered. Methods and practices are closely described  and sometimes compared to how other countries assess and rank journals.",TRUE,FALSE,bibliometrics|journal evaluation|peer review|scientific journal,2020-05-04T15:05:13.664652,NA,,TRUE,accepted,2020-05-03T18:25:33.985041,FALSE,NA,NA,NA,,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dd4|5a8c80f8c698300375c76dd5|Social and Behavioral Sciences|Library and Information Science|Scholarly Publishing,,2020,https://api.osf.io/v2/preprints/7cfxd/contributors/,https://api.osf.io/v2/preprints/7cfxd/bibliographic_contributors/,https://api.osf.io/v2/preprints/7cfxd/citation/,7cfxd,preprints,https://api.osf.io/v2/preprints/7cfxd/identifiers/,https://api.osf.io/v2/preprints/7cfxd/relationships/node/,https://api.osf.io/v2/licenses/5ad7979bc69830002d8190e3/,5ad7979bc69830002d8190e3,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/7cfxd/files/,https://api.osf.io/v2/files/5eae1e260ffc0500886fc113/,5eae1e260ffc0500886fc113,files,https://api.osf.io/v2/preprints/7cfxd/review_actions/,https://api.osf.io/v2/preprints/7cfxd/requests/,https://api.osf.io/v2/preprints/7cfxd/,https://osf.io/preprints/socarxiv/7cfxd/,https://doi.org/10.31235/osf.io/7cfxd,NA
txqb6,preprints,2020-05-02T23:52:42.516608,2020-05-04T15:05:14.416005,2020-05-03T18:24:03.589794,NA,NA,"Pandemic Emotions: The Extent, Correlates, and Mental Health Consequences of Personal and Altruistic Fear of COVID-19","COVID-19 has had unprecedented effects on populations around the world. Given the political and moral context of the pandemic and the nation’s response to it, this study sought to assess the extent of American’s personal fear about the virus as well as their fear for others (altruistic fear), identify potential predictors of these fears, and examine the mental health impact of heightened COVID-19 fears. Overall, a majority of respondents worried about various aspects of the virus, from being exposed to dying and reported often worrying about others, including family, the elderly, and healthcare professionals. Building on the fear of crime literature, we find that certain individuals, including those who believe they are at a high risk of dying from the virus, those who closely follow news coverage of the pandemic, and those with strong moral foundations, are likely to experience elevated fear and, possibly, its consequences.",TRUE,FALSE,|altruistic fear|COVID-19|faith in Trump|Moral Foundations Theory|personal fear|psychological distress,2020-05-04T15:05:14.399678,NA,,TRUE,accepted,2020-05-03T18:24:03.589794,FALSE,NA,NA,NA,,NA,NA,NA,NA,5a8c80f0c698300375c76c07|Law|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|Social and Behavioral Sciences|Sociology,,2020,https://api.osf.io/v2/preprints/txqb6/contributors/,https://api.osf.io/v2/preprints/txqb6/bibliographic_contributors/,https://api.osf.io/v2/preprints/txqb6/citation/,txqb6,preprints,https://api.osf.io/v2/preprints/txqb6/identifiers/,https://api.osf.io/v2/preprints/txqb6/relationships/node/,https://api.osf.io/v2/licenses/5ad7979bc69830002d8190e3/,5ad7979bc69830002d8190e3,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/txqb6/files/,https://api.osf.io/v2/files/5eae07ce62d4ab006e6ca9b0/,5eae07ce62d4ab006e6ca9b0,files,https://api.osf.io/v2/preprints/txqb6/review_actions/,https://api.osf.io/v2/preprints/txqb6/requests/,https://api.osf.io/v2/preprints/txqb6/,https://osf.io/preprints/socarxiv/txqb6/,https://doi.org/10.31235/osf.io/txqb6,NA
adgmy,preprints,2020-05-02T23:05:36.741207,2020-05-04T15:05:14.614533,2020-05-03T18:22:53.817185,NA,NA,Social Communication Across the Lifespan: The Influence of Empathy,"Studies testing the effects of aging on social communication have mainly focused on one sensory modality, for example using written vignettes. In the current study, we examine the effect of healthy aging, empathy, and anxiety traits on a social communication task using video stimuli that reflect real-world interactions. By means of an online recruitment platform, we asked young, middle-aged, and older adults between the ages 18 and 76 (N=100) to evaluate videos of actors using different forms of literal and nonliteral language, such as sarcasm or teasing. The participants’ task was to infer the speakers’ belief and the speaker’s intention, and we also collected data on self-reported social anxiety levels and empathy. Older participants demonstrated lower accuracy in discriminating nonliteral from literal interactions compared to younger and middle-aged groups, while older adults with higher perspective-taking scores were more accurate at identifying teasing as nonliteral. This effect was partially mediated by empathy. When evaluating speaker intentions, older adults judged sarcasm as friendlier compared to literal negative utterances. Our results expand on age-related similarities and differences in evaluating speaker intentions and we discuss our results in the context of the Tinge Hypothesis.",TRUE,FALSE,aging|anxiety|empathy|nonliteral language|pragmatics|social cognition,2020-05-04T15:05:14.601916,NA,,TRUE,accepted,2020-05-03T18:22:53.817185,FALSE,NA,NA,NA,,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d98|5a8c80f7c698300375c76d9b|Social and Behavioral Sciences|Psychology|Cognition and Perception|5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d98|5a8c80f7c698300375c76d9d|Social and Behavioral Sciences|Psychology|Cognitive Psychology,,2020,https://api.osf.io/v2/preprints/adgmy/contributors/,https://api.osf.io/v2/preprints/adgmy/bibliographic_contributors/,https://api.osf.io/v2/preprints/adgmy/citation/,adgmy,preprints,https://api.osf.io/v2/preprints/adgmy/identifiers/,https://api.osf.io/v2/preprints/adgmy/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/adgmy/files/,https://api.osf.io/v2/files/5eadfcc362d4ab006d6c941d/,5eadfcc362d4ab006d6c941d,files,https://api.osf.io/v2/preprints/adgmy/review_actions/,https://api.osf.io/v2/preprints/adgmy/requests/,https://api.osf.io/v2/preprints/adgmy/,https://osf.io/preprints/socarxiv/adgmy/,https://doi.org/10.31235/osf.io/adgmy,NA
