id,type,attributes.date_created,attributes.date_modified,attributes.date_published,attributes.original_publication_date,attributes.doi,attributes.title,attributes.description,attributes.is_published,attributes.is_preprint_orphan,attributes.tags,attributes.preprint_doi_created,attributes.date_withdrawn,attributes.current_user_permissions,attributes.public,attributes.reviews_state,attributes.date_last_transitioned,attributes.has_coi,attributes.conflict_of_interest_statement,attributes.has_data_links,attributes.why_no_data,attributes.data_links,attributes.has_prereg_links,attributes.why_no_prereg,attributes.prereg_links,attributes.prereg_link_info,attributes.subjects,attributes.withdrawal_justification,attributes.license_record.copyright_holders,attributes.license_record.year,relationships.contributors.links.related.href,relationships.bibliographic_contributors.links.related.href,relationships.citation.links.related.href,relationships.citation.data.id,relationships.citation.data.type,relationships.identifiers.data,relationships.identifiers.links.related.href,relationships.node.links.related.href,relationships.node.links.self.href,relationships.node.data.id,relationships.node.data.type,relationships.license.links.related.href,relationships.license.data.id,relationships.license.data.type,relationships.provider.links.related.href,relationships.provider.data.id,relationships.provider.data.type,relationships.files.data,relationships.files.links.related.href,relationships.primary_file.links.related.href,relationships.primary_file.data.id,relationships.primary_file.data.type,relationships.review_actions.links.related.href,relationships.requests.data,relationships.requests.links.related.href,links.self,links.html,links.preprint_doi
abgue,preprints,2019-11-13T16:33:49.793872,2019-11-15T07:46:22.559682,2019-11-15T07:46:00.416302,2019-11-13T00:00:00,NA,Evaluations of accents can be used as a measure of prestige,"Sociolinguistic studies have established that people make judgements about speakers based on accent. Standard and non-standard accents have differing levels of prestige and demonstrate variation across other attitudinal terms. Because prestige can increase the likelihood of information transmission, we explore variation in accent prestige to determine whether accent can be used as a measure of prestige in social transmission experiments. Participants (n=152 US; 142 UK) were presented with standardised recordings of a standard passage, containing lexical terms that highlight phonological differences between accents of English. Passages were spoken by middle-aged white male speakers representing a range of eight accents from the listener’s country of residence and two from the alternative country. Participants rated the speakers on 24 different personal qualities including traits associated with prestige and friendliness. As predicted, participants rated the standard accents favourably for prestige across both locations. Participants perceived location-specific non-standard accents as having lower prestige, and accents deemed as having lower prestige as being friendlier. Accent indexes differential qualities for listeners, regardless of whether the concept is operationalised by the term “prestigious” or multiple terms related to ‘prestige’. We assert that accent can be used as an indicator of prestige in the absence of other prestige information and demonstrate the importance of locally calibrating the accents used in prestige-based social transmission experiments.",TRUE,FALSE,Accent|Cultural evolution|Language attitudes|Prestige|Social transmission biases|Sociolinguistics,2019-11-15T07:46:22.529309,NA,,TRUE,accepted,2019-11-15T07:46:00.416302,NA,NA,NA,NA,,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d98|Social and Behavioral Sciences|Psychology|5a8c80f7c698300375c76d84|5a8c80f9c698300375c76df6|5a8c80f9c698300375c76df9|Social and Behavioral Sciences|Anthropology|Linguistic Anthropology|5a8c80f7c698300375c76d84|5a8c80f9c698300375c76dfd|5a8c80f9c698300375c76e02|Social and Behavioral Sciences|Linguistics|Anthropological Linguistics and Sociolinguistics|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|Social and Behavioral Sciences|Sociology,NA,,2019,https://api.osf.io/v2/preprints/abgue/contributors/,https://api.osf.io/v2/preprints/abgue/bibliographic_contributors/,https://api.osf.io/v2/preprints/abgue/citation/,abgue,preprints,NA,https://api.osf.io/v2/preprints/abgue/identifiers/,https://api.osf.io/v2/nodes/jv7tk/,https://api.osf.io/v2/preprints/abgue/relationships/node/,jv7tk,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/abgue/files/,https://api.osf.io/v2/files/5dcc3072a0791f000a723803/,5dcc3072a0791f000a723803,files,https://api.osf.io/v2/preprints/abgue/review_actions/,NA,https://api.osf.io/v2/preprints/abgue/requests/,https://api.osf.io/v2/preprints/abgue/,https://osf.io/preprints/socarxiv/abgue/,https://doi.org/10.31235/osf.io/abgue
zuhq4,preprints,2019-11-13T15:17:46.901576,2019-11-15T07:49:22.289655,2019-11-15T07:48:56.270756,NA,NA,The Business Model as Mediator during Socio-Technical Transitions - Empirical Evidence from Applied AI Technology Startups in the Energy and Transportation Sector,"Firms are an important driver of socio-technical transitions, where a technological innovation moves from a protected niche to a new dominant socio-technical regime. The firm's business model functions as an important mediator during this process, articulating a shared vision of what the technology can do. Following recent calls for a closer examination of the business model’s role during socio-technical transitions, we study 375 startups that develop applied AI technologies. Based on a large-scale semantic analysis of the startup’s website texts, we ran a statistical hierarchical clustering and identified three distinct roles: (1) expansion of the technology in scale and scope, (2) exploration of the technology in-depth, (3) new ways of interacting with technology.",TRUE,FALSE,AI|Business Model|Clustering|Machine Learning|Technology|Transition,2019-11-15T07:49:22.249930,NA,,TRUE,accepted,2019-11-15T07:48:56.270756,NA,NA,NA,NA,,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f9c698300375c76df4|Social and Behavioral Sciences|Science and Technology Studies|5a8c80f7c698300375c76d84|5a8c80f9c698300375c76e1f|Social and Behavioral Sciences|Organization Development,NA,,2019,https://api.osf.io/v2/preprints/zuhq4/contributors/,https://api.osf.io/v2/preprints/zuhq4/bibliographic_contributors/,https://api.osf.io/v2/preprints/zuhq4/citation/,zuhq4,preprints,NA,https://api.osf.io/v2/preprints/zuhq4/identifiers/,NA,https://api.osf.io/v2/preprints/zuhq4/relationships/node/,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/zuhq4/files/,https://api.osf.io/v2/files/5dcc1e9e5ab7a0000bb9ea57/,5dcc1e9e5ab7a0000bb9ea57,files,https://api.osf.io/v2/preprints/zuhq4/review_actions/,NA,https://api.osf.io/v2/preprints/zuhq4/requests/,https://api.osf.io/v2/preprints/zuhq4/,https://osf.io/preprints/socarxiv/zuhq4/,https://doi.org/10.31235/osf.io/zuhq4
3m2ya,preprints,2019-11-12T21:31:05.160551,2019-11-13T09:05:02.327782,2019-11-13T09:04:51.229895,NA,NA,Rejecting white distraction: a critique of the white logic and white methods in academic publishing,"This critical reply engages in a critique of the prominence of “white logic” and “white methods” (Zuberi and Bonilla-Silva 2008) in academic publishing. We assess how the construction and proliferation of white knowledge(s) shapes analysis and interpretation, argumentation, peer review, and ultimately, publication. We call for a rejection of what we name “white distraction” and encourage the academic community to move toward more inclusive and decolonial modes of thinking, reviewing, and publishing.",TRUE,FALSE,Black feminist theory|decolonizing the academy|race|racism|white logic|white methods,2019-11-13T09:05:02.311441,NA,,TRUE,accepted,2019-11-13T09:04:51.229895,NA,NA,NA,NA,,NA,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e24|Social and Behavioral Sciences|Sociology|Sociological Practice and Public Sociology|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e2a|Social and Behavioral Sciences|Sociology|Racial and Ethnic Minorities|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e44|Social and Behavioral Sciences|Sociology|Race, Gender, and Class",NA,,2019,https://api.osf.io/v2/preprints/3m2ya/contributors/,https://api.osf.io/v2/preprints/3m2ya/bibliographic_contributors/,https://api.osf.io/v2/preprints/3m2ya/citation/,3m2ya,preprints,NA,https://api.osf.io/v2/preprints/3m2ya/identifiers/,NA,https://api.osf.io/v2/preprints/3m2ya/relationships/node/,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/3m2ya/files/,https://api.osf.io/v2/files/5dcb249c8f0e5e000bd31331/,5dcb249c8f0e5e000bd31331,files,https://api.osf.io/v2/preprints/3m2ya/review_actions/,NA,https://api.osf.io/v2/preprints/3m2ya/requests/,https://api.osf.io/v2/preprints/3m2ya/,https://osf.io/preprints/socarxiv/3m2ya/,https://doi.org/10.31235/osf.io/3m2ya
8phvx,preprints,2019-11-12T16:34:54.966526,2019-11-13T09:04:22.429250,2019-11-13T09:03:58.267847,NA,NA,Bias from network misspecification under spatial dependence,"The pre-specification of the network is one of the biggest hurdles for applied researchers in undertaking spatial analysis. In this letter, we demonstrate two results. First, we derive bounds for the bias in non-spatial models with omitted spatially-lagged predictors or outcomes. These bias expressions can be obtained without prior knowledge of the network, and are more informative than familiar omitted variable bias formulas. Second, we derive bounds for the bias in spatial econometric models with non-differential error in the specification of the weights matrix. Under these conditions, we demonstrate that an omitted spatial input is the limit condition of including a misspecificed spatial weights matrix. Simulated experiments further demonstrate that spatial models with a misspecified weights matrix weakly dominate non-spatial models. Our results imply that, where cross-sectional dependence is presumed, researchers should pursue spatial analysis even with limited information on network ties.",TRUE,FALSE,bounds|measurement error|omitted variables|spatial dependence,2019-11-13T09:04:22.404179,NA,,TRUE,accepted,2019-11-13T09:03:58.267847,NA,NA,NA,NA,,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76daf|5a8c80f8c698300375c76db1|Social and Behavioral Sciences|Political Science|Models and Methods,NA,,2019,https://api.osf.io/v2/preprints/8phvx/contributors/,https://api.osf.io/v2/preprints/8phvx/bibliographic_contributors/,https://api.osf.io/v2/preprints/8phvx/citation/,8phvx,preprints,NA,https://api.osf.io/v2/preprints/8phvx/identifiers/,https://api.osf.io/v2/nodes/yq46x/,https://api.osf.io/v2/preprints/8phvx/relationships/node/,yq46x,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/8phvx/files/,https://api.osf.io/v2/files/5dcadf338f0e5e000cd35877/,5dcadf338f0e5e000cd35877,files,https://api.osf.io/v2/preprints/8phvx/review_actions/,NA,https://api.osf.io/v2/preprints/8phvx/requests/,https://api.osf.io/v2/preprints/8phvx/,https://osf.io/preprints/socarxiv/8phvx/,https://doi.org/10.31235/osf.io/8phvx
52xk9,preprints,2019-11-12T14:26:21.229654,2019-11-13T09:03:02.469976,2019-11-13T09:02:43.906921,NA,NA,Cycles of Invisibility: The Limits of Transparency in Dealing with Scientific Misconduct,"Sanctions for plagiarism, falsification, and fabrication in research are primarily symbolic. This paper investigates sanctions for scientific misconduct and their preceding investigation processes as visible and legitimate symbols. Using three different data sources (retraction notices, expert interviews, survey of scientists), we show that sanctions for scientific misconduct operate within a cycle of visibility, in which sanctions are highly visible, while investigation and decision-making procedures remain mostly invisible. This corresponds to high levels of acceptance for sanctions in the scientific community, but rather low acceptance of the respective authorities. Such a punitivity in turn exacerbates confidentiality concerns, so that authorities become even more secretive. We argue that punitivity towards scientific misconduct is driven by such a cycle of invisibility.",TRUE,FALSE,Punitivity|Sanctions|Scientific Misconduct|Sociology of Science|Visibility,2019-11-13T09:03:02.452178,NA,,TRUE,accepted,2019-11-13T09:02:43.906921,NA,NA,NA,NA,,NA,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e2b|Social and Behavioral Sciences|Sociology|Crime, Law, and Deviance|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e40|Social and Behavioral Sciences|Sociology|Science, Knowledge, and Technology",NA,,2019,https://api.osf.io/v2/preprints/52xk9/contributors/,https://api.osf.io/v2/preprints/52xk9/bibliographic_contributors/,https://api.osf.io/v2/preprints/52xk9/citation/,52xk9,preprints,NA,https://api.osf.io/v2/preprints/52xk9/identifiers/,NA,https://api.osf.io/v2/preprints/52xk9/relationships/node/,NA,NA,https://api.osf.io/v2/licenses/5ad7979bc69830002d8190e3/,5ad7979bc69830002d8190e3,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/52xk9/files/,https://api.osf.io/v2/files/5dcac111ee9bb9000e5026e6/,5dcac111ee9bb9000e5026e6,files,https://api.osf.io/v2/preprints/52xk9/review_actions/,NA,https://api.osf.io/v2/preprints/52xk9/requests/,https://api.osf.io/v2/preprints/52xk9/,https://osf.io/preprints/socarxiv/52xk9/,https://doi.org/10.31235/osf.io/52xk9
xj54q,preprints,2019-11-12T14:19:23.023086,2019-11-13T09:02:04.765973,2019-11-13T09:01:49.794374,2019-08-28T04:00:00,NA,The Patrimonial Turn In The American State,"Donald Trump’s presidency represents a “patrimonial turn” in the American state. The trend is departure from modern experience, particularly the fusion of personal business and officeholding functions. Yet, governance by family and friends has deep historical roots. The nineteenth-century spoils system mixed public administration with party and personal business in a way that rhymes with recent developments. The Long Reagan Coalition’s project to deconstruct the administrative state has reopened the door to sweeping bureaucratic experimentation by political entrepreneurs like Trump and his appointees. Today, patrimonialism has emerged as a management vehicle to solve problems of collective action, binding together an unstable, and otherwise unlikely, political alliance. Debates on de-democratization in the United States would be well served by examining the implantation of patrimonialism in historical and comparative perspective.",TRUE,FALSE,American Politics|Clientelism|Historical Sociology|History of Capitalism|Patrimonialism|Political Development|Political Sociology|Presidency|Public Administration|State Theory|Varieties of Capitalism,2019-11-13T09:02:04.737775,NA,,TRUE,accepted,2019-11-13T09:01:49.794374,NA,NA,NA,NA,,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76daf|5a8c80f8c698300375c76db5|Social and Behavioral Sciences|Political Science|American Politics|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e3f|Social and Behavioral Sciences|Sociology|Political Sociology,NA,,2019,https://api.osf.io/v2/preprints/xj54q/contributors/,https://api.osf.io/v2/preprints/xj54q/bibliographic_contributors/,https://api.osf.io/v2/preprints/xj54q/citation/,xj54q,preprints,NA,https://api.osf.io/v2/preprints/xj54q/identifiers/,NA,https://api.osf.io/v2/preprints/xj54q/relationships/node/,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/xj54q/files/,https://api.osf.io/v2/files/5dcabf6f7f37e3000dce224f/,5dcabf6f7f37e3000dce224f,files,https://api.osf.io/v2/preprints/xj54q/review_actions/,NA,https://api.osf.io/v2/preprints/xj54q/requests/,https://api.osf.io/v2/preprints/xj54q/,https://osf.io/preprints/socarxiv/xj54q/,https://doi.org/10.31235/osf.io/xj54q
48t7e,preprints,2019-11-12T04:21:27.949448,2019-11-13T09:00:03.191623,2019-11-13T08:59:35.988937,NA,NA,Deep Learning goes to school: toward a relational understanding of AI in education,"In Applied AI, or ‘machine learning’, methods such as neural networks are used to train computers to perform tasks without human intervention. In this article, we question the applicability of these methods to education.    In particular, we consider a case of recent attempts from data scientists     to add AI elements to a handful of online learning environments, such as Khan Academy and the ASSISTments intelligent  tutoring  system. Drawing on Science and Technology Studies (STS), we provide a detailed examination of the scholarly work carried out by several data scientists around the use of ‘deep learning’ to predict aspects of educational performance. This approach  draws  attention  to  relations  between various (problematic) units of analysis: ﬂawed data, partially incomprehensible computational methods, narrow forms of educational knowledge baked into the online environments, and a reductionist discourse of data science with evident economic ramiﬁcations. These relations can be framed ethnographically as a ‘controversy’ that casts doubts on AI as an objective scientiﬁc endeavour, whilst illuminating the confusions,  the disagreements and the economic interests that surround  its implementations.",TRUE,FALSE,AI|AIED|critical education research|deep learning|reductionism|STS,2019-11-13T09:00:03.168447,NA,,TRUE,accepted,2019-11-13T08:59:35.988937,NA,NA,NA,NA,,NA,NA,NA,NA,5a8c80f6c698300375c76d4e|5a8c80f6c698300375c76d50|Education|Secondary Education|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d82|Education|Online and Distance Education,NA,,2019,https://api.osf.io/v2/preprints/48t7e/contributors/,https://api.osf.io/v2/preprints/48t7e/bibliographic_contributors/,https://api.osf.io/v2/preprints/48t7e/citation/,48t7e,preprints,NA,https://api.osf.io/v2/preprints/48t7e/identifiers/,NA,https://api.osf.io/v2/preprints/48t7e/relationships/node/,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/48t7e/files/,https://api.osf.io/v2/files/5dca33588f0e5e000cd2af68/,5dca33588f0e5e000cd2af68,files,https://api.osf.io/v2/preprints/48t7e/review_actions/,NA,https://api.osf.io/v2/preprints/48t7e/requests/,https://api.osf.io/v2/preprints/48t7e/,https://osf.io/preprints/socarxiv/48t7e/,https://doi.org/10.31235/osf.io/48t7e
p4y8b,preprints,2019-11-11T22:07:54.005369,2019-11-30T10:19:37.924216,2019-11-16T22:09:18.541684,2018-05-21T23:00:00,NA,Semblanza de verosimilitud en el registro cinematográfico que representa al soldado herido que vuelve a casa,"[English] In 1946 John Huston, in a coordinated effort with the United States propaganda machine to aid the war effort records ""PMF 5019: Let There Be Light"". The government, however, chose to instead publish ""PMF 5047: Shades of Gray"", a dramatization of the abovementioned documentary. In this essay we'll discuss the mechanisms through which verisimilitude is achieved, and the limits where reality becomes acceptable, starting from Jacques Aumont ideas of the limits of fiction.

[Castellano] En 1946, como parte del aparato propagandístico bélico de los Estados Unidos, John Huston rueda el documental PMF 5019: Let there be light. Sin embargo, el gobierno americano decide no publicarlo, y opta por producir, sobre dicho documental,  una dramatización– el llamado PMF 5047: Shades of gray. En este ensayo se analizan ciertos mecanismos que dotan de una semblanza de verosimilitud a las dos producciones –reflexionando desde la idea de Jacques Aumont sobre verosimilitud– los límites que hacen que una realidad sea aceptable.",TRUE,FALSE,Jacques Aumont|John Huston|Let there be light|PMF 5019|PMF 5019: Let there be light|PMF 5047|Psychiatric Procedures In The Combat Area|Shades of Gray|The best years of our lives|War Department Film Bulletin 184:,2019-11-16T22:09:41.548832,NA,,TRUE,accepted,2019-11-16T22:09:18.541684,NA,NA,NA,NA,,NA,NA,NA,NA,5a8c80f2c698300375c76c7d|5a8c80f5c698300375c76ce6|Arts and Humanities|Comparative Literature|5a8c80f2c698300375c76c7d|5a8c80f6c698300375c76d22|Arts and Humanities|Film and Media Studies,NA,,2019,https://api.osf.io/v2/preprints/p4y8b/contributors/,https://api.osf.io/v2/preprints/p4y8b/bibliographic_contributors/,https://api.osf.io/v2/preprints/p4y8b/citation/,p4y8b,preprints,NA,https://api.osf.io/v2/preprints/p4y8b/identifiers/,NA,https://api.osf.io/v2/preprints/p4y8b/relationships/node/,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/p4y8b/files/,https://api.osf.io/v2/files/5dc9dbc0a1cd9e000b73982e/,5dc9dbc0a1cd9e000b73982e,files,https://api.osf.io/v2/preprints/p4y8b/review_actions/,NA,https://api.osf.io/v2/preprints/p4y8b/requests/,https://api.osf.io/v2/preprints/p4y8b/,https://osf.io/preprints/socarxiv/p4y8b/,https://doi.org/10.31235/osf.io/p4y8b
wmfyr,preprints,2019-11-11T19:42:33.811249,2020-07-21T18:53:52.327016,2019-11-12T12:37:54.162306,2019-11-11T08:00:00,NA,Between Stars and Stripes: Regions for American Healthcare Reform,"Analyzes government administration healthcare reform requires. Defines vast scaling of enterprise to cover the entire US. Reviews management constraints to supervise and learn. Always requires hierarchies. Too many layers pass effectiveness thresholds. Proposed reforms: ""Medicare for All,"" may extend UK NHS-like program to US residents; ""Public Option"" may extend government insurance to US residents who choose it. Debate thus far about costs. Administrative requirements more critical to success (or failure.) Ignored in some plans. Examine how scale is managed in healthcare delivery, in smaller and some large nations. Administration of major medical reforms across US market will take a decade plus to roll-out. Must be carefully managed, to meet healthcare expectations and maintain political support. Success will exploit regionalisation, seeding new programs in areas with equal population sizes and ethnic compositions. Nationalization of some insurers is better than ""putting them out of business,"" could smooth Public Option surge. But perfection is enemy of good: success will follow Moynihan's rule: show benefits to the privileged to serve the underprivileged.",TRUE,FALSE,administrative scale|healthcare administration|healthcare reform|Medicare for All|Moynihan,2019-11-12T12:38:22.905829,NA,,TRUE,accepted,2019-11-12T12:37:54.162306,NA,NA,not_applicable,NA,,NA,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80f8c698300375c76ddb|5a8c80f9c698300375c76de2|Social and Behavioral Sciences|Public Affairs, Public Policy and Public Administration|Health Policy",NA,,2019,https://api.osf.io/v2/preprints/wmfyr/contributors/,https://api.osf.io/v2/preprints/wmfyr/bibliographic_contributors/,https://api.osf.io/v2/preprints/wmfyr/citation/,wmfyr,preprints,NA,https://api.osf.io/v2/preprints/wmfyr/identifiers/,NA,https://api.osf.io/v2/preprints/wmfyr/relationships/node/,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/wmfyr/files/,https://api.osf.io/v2/files/5dc9b9b18f0e5e000dd428dd/,5dc9b9b18f0e5e000dd428dd,files,https://api.osf.io/v2/preprints/wmfyr/review_actions/,NA,https://api.osf.io/v2/preprints/wmfyr/requests/,https://api.osf.io/v2/preprints/wmfyr/,https://osf.io/preprints/socarxiv/wmfyr/,https://doi.org/10.31235/osf.io/wmfyr
6qr7s,preprints,2019-11-11T18:32:34.894826,2019-12-04T21:18:43.373066,2019-11-11T20:54:02.818591,NA,NA,Detecting the Effects of Early-Life Exposures: Why Fecundity Matters,"Prenatal exposures have meaningful effects on health across the lifecourse. Innovations in causal inference have shed new light on these effects. Here, we motivate the importance of innovation in the characterization of fecundity, and prenatal selection in particular. We argue that such innovation is crucial for expanding knowledge of the fetal origins of later life health. Pregnancy loss is common, responsive to environmental factors, and closely related to maternal and fetal health outcomes. As a result, selection into live birth is driven by many of the same exposures that shape the health trajectories of survivors. Lifecourse effects that are inferred without accounting for these dynamics may be significantly distorted by survival bias. We use a set of Monte Carlo simulations with realistic parameters to examine the implications of prenatal survival bias. We find that even in conservatively specified scenarios, true fetal origin effects can be underestimated by 50% or more. In contrast, effects of exposures that reduce the probability of prenatal survival but improve the health of survivors will be overestimated. The absolute magnitude of survival bias can even exceed small effect sizes, resulting in inferences that beneficial exposures are harmful or vice-versa. We also find reason for concern that moderately sized true effects, underestimated due to failure to account for selective survival, are missing from scientific knowledge because they do not clear statistical significance filters. This bias has potential real-world costs; policy decisions about interventions to improve maternal and infant health will be affected by underestimated program impact.",NA,NA,developmental origins of health and disease|fecundity|fetal origins|live birth bias|mortality selection|survival bias,NA,2019-12-04T21:18:42.836561,,TRUE,withdrawn,NA,NA,NA,NA,NA,,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dbe|5a8c80f8c698300375c76dcd|Social and Behavioral Sciences|Economics|Health Economics|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e3e|Social and Behavioral Sciences|Sociology|Population,"Hi Jenna, the figures are showing up fine for me, both in the viewer and when I download the paper. You could check with a different browser, or clear your cache, reload, etc. If you can't get it to work, let me know and I'll pass it on to COS tech folks (of you can ask them directly.) -Philip socarxiv@gmail.com",,2019,https://api.osf.io/v2/preprints/6qr7s/contributors/,https://api.osf.io/v2/preprints/6qr7s/bibliographic_contributors/,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,NA,NA,NA,NA,https://api.osf.io/v2/preprints/6qr7s/review_actions/,NA,NA,https://api.osf.io/v2/preprints/6qr7s/,https://osf.io/preprints/socarxiv/6qr7s/,https://doi.org/10.31235/osf.io/6qr7s
