id,type,attributes.date_created,attributes.date_modified,attributes.date_published,attributes.original_publication_date,attributes.doi,attributes.title,attributes.description,attributes.is_published,attributes.is_preprint_orphan,attributes.tags,attributes.preprint_doi_created,attributes.date_withdrawn,attributes.withdrawal_justification,attributes.current_user_permissions,attributes.public,attributes.reviews_state,attributes.date_last_transitioned,attributes.has_coi,attributes.conflict_of_interest_statement,attributes.has_data_links,attributes.why_no_data,attributes.data_links,attributes.has_prereg_links,attributes.why_no_prereg,attributes.prereg_links,attributes.prereg_link_info,attributes.subjects,attributes.license_record.copyright_holders,attributes.license_record.year,relationships.contributors.links.related.href,relationships.bibliographic_contributors.links.related.href,relationships.citation.data.id,relationships.citation.data.type,relationships.citation.links.related.href,relationships.identifiers.data,relationships.identifiers.links.related.href,relationships.node.data.id,relationships.node.data.type,relationships.node.links.self.href,relationships.node.links.related.href,relationships.license.links.related.href,relationships.license.data.id,relationships.license.data.type,relationships.provider.links.related.href,relationships.provider.data.id,relationships.provider.data.type,relationships.files.data,relationships.files.links.related.href,relationships.primary_file.data.id,relationships.primary_file.data.type,relationships.primary_file.links.related.href,relationships.review_actions.links.related.href,relationships.requests.data,relationships.requests.links.related.href,links.self,links.html,links.preprint_doi
xj6gw,preprints,2020-04-06T11:06:40.784809,2020-05-21T03:11:09.421763,2020-04-14T15:19:08.188868,2017-01-09T23:00:00,NA,On-line unibertsitaterako ikuspuntu metodologikoa: teoriatik praktikara,"On-line unibertsitate horren eraikuntza ondo mamitutako oinarri psikopedagogikoetatik egin
beharra dago, ingurune digitalean ere era guztietako ikaskuntza (formala, ez-formala eta
informala) eta ikerketa-prozesuak bultzatuko eta mesedetuko dituen egitasmo baten baitan,
eta beti ere etengabeko planifikazioa, ekintza eta ebaluazioa gidari dituela. Jakina, prozesu
horretan ezin dira ahaztu, gainera, tresneriak eta konputazioak dakartzan abantailak:
partekatzea, zehaztasuna, behar berezidunentzat moldagarri izatea, nork bere
ikas-prozesua ikertzea eta datu masiboekin lan egitea, esaterako.
Hitzaldi honetan azken urteotan UEUk eredu pedagogikoa eraikitzeko aurrera eraman duen
prozesuaren berri emango dugu, horretarako sortutako lan-tresnak deskribatuko ditugu, bai
eta UPV/EHUrekin elkarlanean antolatutako graduondoko batean, “IKTak eta konpetentzia
digitalak hezkuntzan, etengabeko formakuntzan eta hizkuntzen irakaskuntzan” (HEZikt)
Berezko Tituluan, nola aplikatu den azaldu ere, emaitzak jasoz eta hobetu beharrekoak
zehaztuz.",NA,NA,e-learning 2.0|Euskal unibertsitatea|HEZikt|on-line|pedagogia,NA,2020-05-21T03:11:09.386896,"Unfortunately, it sounds like socarxiv doesn't currently have any moderators who know Basque, and so are unable to accept the preprint b/c they don't feel they can moderate it. So, I'm not sure there is a timeline for this preprint for moderation on socarxiv.",,TRUE,withdrawn,NA,NA,NA,NA,NA,,NA,NA,NA,NA,5a8c80f6c698300375c76d4e|5a8c80f6c698300375c76d56|Education|Adult and Continuing Education,,2020,https://api.osf.io/v2/preprints/xj6gw/contributors/,https://api.osf.io/v2/preprints/xj6gw/bibliographic_contributors/,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,NA,NA,NA,NA,https://api.osf.io/v2/preprints/xj6gw/review_actions/,NA,NA,https://api.osf.io/v2/preprints/xj6gw/,https://osf.io/preprints/socarxiv/xj6gw/,https://doi.org/10.31235/osf.io/xj6gw
bth73,preprints,2020-04-06T04:28:34.224070,2020-04-06T21:17:02.211031,2020-04-06T21:16:37.780237,2020-04-05T16:00:00,NA,Major socio-cultural barriers to widespread adoption of open scholarship,"One problem with any strategy is that it must be agreed upon, and if not this creates a first-mover tension between engaged stakeholder groups. Therefore, understanding the potential risks associated with a move to open scholarship at a combined individual and institutional level can help to mitigate them and overcome the collective action problem. This research proposal is based upon the Foundations for Open Scholarship Strategy Development, which aimed to agree on a broad, international strategy for the implementation of open scholarship that meets the needs of different national and regional communities, but also works globally. As part of this project, we summarised key internal and external conditions that open scholarship faces, which represent potential focal points of future discussion, research, and policy development. Here, we distill this into key limitations to investigate.",TRUE,FALSE,Commercialisation|Commons|Community Development|Copyright|Higher Education|Licensing|Open Access|Open Data|Open Education|Open Research|Open Scholarship|Open Science|Privatisation|Researcher Engagement|Science Funding|Science Policy|Stakeholder Engagement|Strategy|Sustainability,2020-04-06T21:17:02.197351,NA,NA,,TRUE,accepted,2020-04-06T21:16:37.780237,NA,NA,NA,NA,,NA,NA,NA,NA,5a8c80f6c698300375c76d4e|5a8c80f6c698300375c76d5c|Education|Higher Education|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dd4|5a8c80f8c698300375c76dd5|Social and Behavioral Sciences|Library and Information Science|Scholarly Publishing|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dd4|5a8c80f8c698300375c76dd9|Social and Behavioral Sciences|Library and Information Science|Scholarly Communication,,2020,https://api.osf.io/v2/preprints/bth73/contributors/,https://api.osf.io/v2/preprints/bth73/bibliographic_contributors/,bth73,preprints,https://api.osf.io/v2/preprints/bth73/citation/,NA,https://api.osf.io/v2/preprints/bth73/identifiers/,NA,NA,https://api.osf.io/v2/preprints/bth73/relationships/node/,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/bth73/files/,5e8aaff7d697350077be2fde,files,https://api.osf.io/v2/files/5e8aaff7d697350077be2fde/,https://api.osf.io/v2/preprints/bth73/review_actions/,NA,https://api.osf.io/v2/preprints/bth73/requests/,https://api.osf.io/v2/preprints/bth73/,https://osf.io/preprints/socarxiv/bth73/,https://doi.org/10.31235/osf.io/bth73
r6gfa,preprints,2020-04-06T02:53:55.100245,2021-05-21T21:16:50.695579,2020-04-06T03:09:04.285491,2020-04-05T03:00:00,NA,"Casos de covid-19 nos municípios do estado do Amazonas, Brasil","Este relatório apresenta os dados referentes a pandemia de covid-19 nos municípios do Amazonas atualizados até o dia 2/04/2020. Os dados apresentados neste documento mostram que o primeiro caso foi confirmado na capital Manaus em 13 de março de 2020. Apenas 10 dias depois, em 23 de março, enquanto Manaus registrou 31 casos, era confirmado o primeiro caso no interior, em Parintins. No dia seguinte, Amazonas apresentou o primeiro óbito, justamente em Parintins. Ao que se sabe no momento, o atual coronavírus (SARS-COV-2) provoca uma síndrome respiratória aguda grave (covid-19) e é transmitido de humano para humano sendo capaz de causar doença respiratória grave (Croda; Garcia, 2020). O que mais chama atenção e causa preocupação é que a covid-19 se distingue pela capacidade de transmissão a partir de casos assintomáticos (Munster et al, 2020). A seguir, são apresentados dados e também as informações sobre como foram gerados estes mapas e informações nas seções de fonte de dados e metodologia de trabalho. Uma breve apresentação e discussão dos resultados também é apresentada com enfoque na rápida dispersão e difusão espacial do vírus apresentada no país e no Estado do Amazonas. Esse rápido avanço do vírus em direção ao interior do país representa uma série de desafios ao poder público em face das peculiaridades da região amazônica que apresenta uma série de características que aumentam a vulnerabilidade da sua população neste momento de extrema atenção que estamos vivenciando em face da pandemia do covid-19.",TRUE,FALSE,Amazonas|Brasil|coronavirus|coronavírus|Covid-19,2020-04-06T03:09:31.474729,NA,NA,,TRUE,accepted,2020-04-06T03:09:04.285491,NA,NA,NA,NA,,NA,NA,NA,NA,5a8c80f2c698300375c76c7d|Arts and Humanities|5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d86|5a8c80f7c698300375c76d88|Social and Behavioral Sciences|Geography|Geographic Information Sciences|5a8c80f7c698300375c76d84|5a8c80f9c698300375c76e0c|Social and Behavioral Sciences|Social Statistics,,2020,https://api.osf.io/v2/preprints/r6gfa/contributors/,https://api.osf.io/v2/preprints/r6gfa/bibliographic_contributors/,r6gfa,preprints,https://api.osf.io/v2/preprints/r6gfa/citation/,NA,https://api.osf.io/v2/preprints/r6gfa/identifiers/,7rmup,nodes,https://api.osf.io/v2/preprints/r6gfa/relationships/node/,https://api.osf.io/v2/nodes/7rmup/,https://api.osf.io/v2/licenses/5ad7979bc69830002d8190e3/,5ad7979bc69830002d8190e3,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/r6gfa/files/,5e8a99c8430166009ba046c7,files,https://api.osf.io/v2/files/5e8a99c8430166009ba046c7/,https://api.osf.io/v2/preprints/r6gfa/review_actions/,NA,https://api.osf.io/v2/preprints/r6gfa/requests/,https://api.osf.io/v2/preprints/r6gfa/,https://osf.io/preprints/socarxiv/r6gfa/,https://doi.org/10.31235/osf.io/r6gfa
dkusw,preprints,2020-04-05T21:44:48.962982,2020-04-06T03:08:02.354033,2020-04-06T03:07:36.891176,NA,NA,Pandemics meet democracy. Experimental evidence from the COVID-19 crisis in Spain,"The COVID-19 outbreak poses an unprecedented challenge for contemporary democracies. Despite the global scale of the problem, the response has been mainly national, and global coordination has been so far extremely weak. All over the world governments are making use of exceptional powers to enforce lockdowns, often sacrificing civil liberties and profoundly altering the pre-existing power balance, which nurtures fears of an authoritarian turn. Relief packages to mitigate the economic consequences of the lockdowns are being discussed, and there is little doubt that the forthcoming recession will have important distributive consequences. In this paper we study citizens' responses to these democratic dilemmas. We present results from a set of survey experiments run in Spain from March 20 to March 28, together with longitudinal evidence from a panel survey fielded right before and after the virus outbreak. Our findings reveal a strong preference for a national as opposed to a European/international response. The national bias is much stronger for the COVID-19 crisis than for other global problems, such as climate change or international terrorism. We also find widespread demand for strong leadership, willingness to give up individual freedom, and a sharp increase in support for technocratic governance. As such, we document the initial switch in mass public preferences towards technocratic and authoritarian government caused by the pandemic. We discuss to what extent this crisis may contribute to a shift towards a new, self-enforcing political equilibrium.",TRUE,FALSE,Covid-19; Democratic preferences; Technocracy; Authoritarianism; Pandemics,2020-04-06T03:08:02.334360,NA,NA,,TRUE,accepted,2020-04-06T03:07:36.891176,NA,NA,NA,NA,,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76daf|5a8c80f8c698300375c76db2|Social and Behavioral Sciences|Political Science|Comparative Politics,,2020,https://api.osf.io/v2/preprints/dkusw/contributors/,https://api.osf.io/v2/preprints/dkusw/bibliographic_contributors/,dkusw,preprints,https://api.osf.io/v2/preprints/dkusw/citation/,NA,https://api.osf.io/v2/preprints/dkusw/identifiers/,NA,NA,https://api.osf.io/v2/preprints/dkusw/relationships/node/,NA,https://api.osf.io/v2/licenses/5ad7979bc69830002d8190e3/,5ad7979bc69830002d8190e3,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/dkusw/files/,5e8a5155f13535005bd5bc7f,files,https://api.osf.io/v2/files/5e8a5155f13535005bd5bc7f/,https://api.osf.io/v2/preprints/dkusw/review_actions/,NA,https://api.osf.io/v2/preprints/dkusw/requests/,https://api.osf.io/v2/preprints/dkusw/,https://osf.io/preprints/socarxiv/dkusw/,https://doi.org/10.31235/osf.io/dkusw
rmzn4,preprints,2020-04-05T19:51:45.883400,2020-08-08T16:42:22.828086,2020-04-06T03:06:07.904251,NA,NA,Is there a link between endowment inequality and deception? –  An analysis of students and chess players,"This paper investigates experimentally the relationship between inequality in endowment and deception. Our basic design is adopted from Gneezy (2005): two players interact in a deception game. It is common knowledge that player 1 has private information about the payoffs for both players of two alternative ac-tions. Player 1 sends a message to player 2, indicating which alternative putatively will end up in a higher payoff for player 2. The message, which can either be true or false, does not affect the payoffs of the players. Player 2 has no information about the payoffs. However, player 2 selects one of the two alternatives A or B, which is payoff-relevant for both players. Our paper adds value to the literature by extending Gneezy (2005) in two elements. First, we systematically vary the initial endowment of the players 1 and 2 (common knowledge to both of them). Second, we do not limit ourselves to the standard population of university students but also recruit chess players that are not enrolled in any degree program. Doing so, we want to find out if our results remain robust over a non-standard subject population which is known to be experienced to some extent in strategic interactions. Our main findings are: (i) non-students behave more honestly than students, (ii) students are more likely to trust the opponent’s message, and (iii) students and non-students be-have differently to variation in initial endowment.",TRUE,FALSE,asymmetric information|cheap talk|Deception|endowment inequality|experimental subjects,2020-04-06T03:06:20.670785,NA,NA,,TRUE,accepted,2020-04-06T03:06:07.904251,FALSE,NA,not_applicable,NA,,NA,NA,NA,NA,5a8c80f0c698300375c76c07|Law|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dbe|5a8c80f8c698300375c76dc5|Social and Behavioral Sciences|Economics|Behavioral Economics,,2020,https://api.osf.io/v2/preprints/rmzn4/contributors/,https://api.osf.io/v2/preprints/rmzn4/bibliographic_contributors/,rmzn4,preprints,https://api.osf.io/v2/preprints/rmzn4/citation/,NA,https://api.osf.io/v2/preprints/rmzn4/identifiers/,NA,NA,https://api.osf.io/v2/preprints/rmzn4/relationships/node/,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/rmzn4/files/,5e8a36d7d69735007abda3f9,files,https://api.osf.io/v2/files/5e8a36d7d69735007abda3f9/,https://api.osf.io/v2/preprints/rmzn4/review_actions/,NA,https://api.osf.io/v2/preprints/rmzn4/requests/,https://api.osf.io/v2/preprints/rmzn4/,https://osf.io/preprints/socarxiv/rmzn4/,https://doi.org/10.31235/osf.io/rmzn4
wq4x8,preprints,2020-04-05T15:25:49.420181,2020-04-06T03:05:32.390829,2020-04-06T03:05:06.515379,2020-04-04T16:00:00,NA,"How open science is fighting against private, proprietary publishing platforms","Article 27 of the United Nations Universal Declaration on Human Rights states that:
(1) Everyone has the right freely to participate in the cultural life of the community, to enjoy the arts and to share in scientific advancement and its benefits.
(2) Everyone has the right to the protection of the moral and material interests resulting from any scientific, literary or artistic production of which he is the author.",TRUE,FALSE,FOSS|Open Access|Open Data|Open Research|Open Scholarship|Open Science|Open Source|Peer Review|Preprints|Scholarly Communication|Scholarly Publishing|Sustainable Development Goals|UNESCO,2020-04-06T03:05:32.375115,NA,NA,,TRUE,accepted,2020-04-06T03:05:06.515379,NA,NA,NA,NA,,NA,NA,NA,NA,5a8c80f6c698300375c76d4e|5a8c80f6c698300375c76d5c|Education|Higher Education|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d69|Education|Science and Mathematics Education|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dd4|5a8c80f8c698300375c76dd5|Social and Behavioral Sciences|Library and Information Science|Scholarly Publishing|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dd4|5a8c80f8c698300375c76dd9|Social and Behavioral Sciences|Library and Information Science|Scholarly Communication,,2020,https://api.osf.io/v2/preprints/wq4x8/contributors/,https://api.osf.io/v2/preprints/wq4x8/bibliographic_contributors/,wq4x8,preprints,https://api.osf.io/v2/preprints/wq4x8/citation/,NA,https://api.osf.io/v2/preprints/wq4x8/identifiers/,NA,NA,https://api.osf.io/v2/preprints/wq4x8/relationships/node/,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/wq4x8/files/,5e89f882d69735005bbe2030,files,https://api.osf.io/v2/files/5e89f882d69735005bbe2030/,https://api.osf.io/v2/preprints/wq4x8/review_actions/,NA,https://api.osf.io/v2/preprints/wq4x8/requests/,https://api.osf.io/v2/preprints/wq4x8/,https://osf.io/preprints/socarxiv/wq4x8/,https://doi.org/10.31235/osf.io/wq4x8
6uew8,preprints,2020-04-05T14:33:24.555472,2020-06-18T07:32:16.324863,2020-04-06T03:04:19.617092,NA,NA,Why does local agency matter? Enabling the policy space for aid recipients,"The importance of local agency and leadership has long been emphasised in aid reform agendas, under the heading of 'ownership'. But in practice, this focus has often fallen victim to 'agency creep', as donors strive to retain control over the policy choices of aid-receiving countries. Even the ‘second orthodoxy’ risks being locally informed without being locally led. More recently, many factors have been reducing donors’ previous leverage over aid recipients’ policies. Given their previous difficulties with local agency, how can donors find new ways to support, enable and embrace it, and to navigate this new world of changing hierarchies? This paper explores the potential benefits of prioritising local agency, as well as the risks and constraints which make it difficult. The analysis suggests a possible way forward for donors: to create an enabling environment, by providing meaningful policy space for local leaders in aid-receiving countries to make their own policy choices. This change in emphasis could enhance the accountability and responsiveness of aid-receiving governments, while managing risks and delivering results. It would involve a shift in donor focus, away from being the protagonist and trying to influence the outputs of policymaking - the policy choices that countries make - and instead, towards trying to support the process of making those choices. In short, the remedy for a perceived misuse of power may not be to usurp it, but rather to support and enable its use for good.",TRUE,FALSE,development|foreign aid|leadership|local agency,2020-04-06T03:04:40.659034,NA,NA,,TRUE,accepted,2020-04-06T03:04:19.617092,NA,NA,NA,NA,,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d96|Social and Behavioral Sciences|Other Social and Behavioral Sciences,,2020,https://api.osf.io/v2/preprints/6uew8/contributors/,https://api.osf.io/v2/preprints/6uew8/bibliographic_contributors/,6uew8,preprints,https://api.osf.io/v2/preprints/6uew8/citation/,NA,https://api.osf.io/v2/preprints/6uew8/identifiers/,NA,NA,https://api.osf.io/v2/preprints/6uew8/relationships/node/,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/6uew8/files/,5e89ec3bd69735005bbe116a,files,https://api.osf.io/v2/files/5e89ec3bd69735005bbe116a/,https://api.osf.io/v2/preprints/6uew8/review_actions/,NA,https://api.osf.io/v2/preprints/6uew8/requests/,https://api.osf.io/v2/preprints/6uew8/,https://osf.io/preprints/socarxiv/6uew8/,https://doi.org/10.31235/osf.io/6uew8
5zf9v,preprints,2020-04-05T01:43:21.974307,2020-04-15T05:03:05.085426,2020-04-14T15:16:51.567394,2020-02-24T17:00:00,NA,Jalāl al-Dīn ‘Abd al-Roḥmān ibn Abī Bakr al-Suyūṭī,"This memorial article was wrote in memory of one of my loved one, Jalāl al-Dīn ‘Abd al-Roḥmān ibn Abī Bakr al-Suyūṭī, born on Sunday, 1 Rojab 849 AH / 3 October 1445 CE and passed away on 19 Jumāda al-Ūlā 911 AH / 18 October 1505 CE.",TRUE,FALSE,al-Suyūṭī|Islamic studies|scholar,2020-04-15T05:03:05.073183,NA,NA,,TRUE,accepted,2020-04-14T15:16:51.567394,NA,NA,NA,NA,,NA,NA,NA,NA,5a8c80f2c698300375c76c7d|5a8c80f4c698300375c76ccc|Arts and Humanities|History,,2020,https://api.osf.io/v2/preprints/5zf9v/contributors/,https://api.osf.io/v2/preprints/5zf9v/bibliographic_contributors/,5zf9v,preprints,https://api.osf.io/v2/preprints/5zf9v/citation/,NA,https://api.osf.io/v2/preprints/5zf9v/identifiers/,NA,NA,https://api.osf.io/v2/preprints/5zf9v/relationships/node/,NA,https://api.osf.io/v2/licenses/5ad7979bc69830002d8190e3/,5ad7979bc69830002d8190e3,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/5zf9v/files/,5e8937c04301660054a064f8,files,https://api.osf.io/v2/files/5e8937c04301660054a064f8/,https://api.osf.io/v2/preprints/5zf9v/review_actions/,NA,https://api.osf.io/v2/preprints/5zf9v/requests/,https://api.osf.io/v2/preprints/5zf9v/,https://osf.io/preprints/socarxiv/5zf9v/,https://doi.org/10.31235/osf.io/5zf9v
wygpk,preprints,2020-04-04T16:09:26.016737,2020-04-04T22:52:34.834174,2020-04-04T17:39:44.433518,NA,NA,Economic Impacts of Coronavirus Disease (COVID-19) in Developing Countries,"The coronavirus disease (COVID-19) has critically impacted global health systems and economies, especially in developing countries. Those countries have been struggling to address the preexisting burden of diseases with limited resources, which will become even more challenging during COVID-19. The economic implications related to COVID-19 in those countries include a high cost of care, market failures in pluralistic health systems, high out-of-pocket expenses, the added burden of noncommunicable diseases, missed economic opportunities, and socioeconomic consequences like unemployment and poverty. It is essential to assess the prevalent gaps, mobilize resources, strengthen health systems financing and leadership, enhance research capacities informing evidence-based policymaking, and foster effective partnerships for addressing health and economic disparities due to COVID-19.",TRUE,FALSE,Communicable Diseases|Coronavirus|COVID-19|Developing Countries|Health Disparities|Health Economics|Health Policy|LMIC,2020-04-04T17:40:00.675282,NA,NA,,TRUE,accepted,2020-04-04T17:39:44.433518,NA,NA,NA,NA,,NA,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d86|Social and Behavioral Sciences|Geography|5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d8e|5a8c80f7c698300375c76d90|Social and Behavioral Sciences|International and Area Studies|Asian Studies|5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d8e|5a8c80f7c698300375c76d92|Social and Behavioral Sciences|International and Area Studies|African Studies|5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d8e|5a8c80f7c698300375c76d95|Social and Behavioral Sciences|International and Area Studies|Other International and Area Studies|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dbe|5a8c80f8c698300375c76dc0|Social and Behavioral Sciences|Economics|Political Economy|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dbe|5a8c80f8c698300375c76dcc|Social and Behavioral Sciences|Economics|International Economics|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dbe|5a8c80f8c698300375c76dcd|Social and Behavioral Sciences|Economics|Health Economics|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76ddb|5a8c80f8c698300375c76ddf|Social and Behavioral Sciences|Public Affairs, Public Policy and Public Administration|Economic Policy|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76ddb|5a8c80f9c698300375c76de2|Social and Behavioral Sciences|Public Affairs, Public Policy and Public Administration|Health Policy",,2020,https://api.osf.io/v2/preprints/wygpk/contributors/,https://api.osf.io/v2/preprints/wygpk/bibliographic_contributors/,wygpk,preprints,https://api.osf.io/v2/preprints/wygpk/citation/,NA,https://api.osf.io/v2/preprints/wygpk/identifiers/,NA,NA,https://api.osf.io/v2/preprints/wygpk/relationships/node/,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/wygpk/files/,5e88b138d697350021be3353,files,https://api.osf.io/v2/files/5e88b138d697350021be3353/,https://api.osf.io/v2/preprints/wygpk/review_actions/,NA,https://api.osf.io/v2/preprints/wygpk/requests/,https://api.osf.io/v2/preprints/wygpk/,https://osf.io/preprints/socarxiv/wygpk/,https://doi.org/10.31235/osf.io/wygpk
zwf6g,preprints,2020-04-04T15:01:40.529993,2020-04-04T17:42:01.347520,2020-04-04T17:41:52.285374,2020-02-28T17:00:00,NA,Grace Natalie Louisa,"Artikel berikut menyajikan obrolan dengan Grace Natalie Louisa tentang pengalaman tampil di For Him Magazine (FHM), perjuangan toleransi, transparansi dan disrupsi parlemen, pentingnya digitalisasi untuk perkembangan pengelolaan negara Indonesia, hingga asal usul sapaan ‘bro’ dan ‘sis’ yang dipakai dalam Partai Solidartitas Indonesia (PSI).",TRUE,FALSE,Grace Natalie Louisa|Partai Solidartitas Indonesia,2020-04-04T17:42:01.318582,NA,NA,,TRUE,accepted,2020-04-04T17:41:52.285374,NA,NA,NA,NA,,NA,NA,NA,NA,"5a8c80f2c698300375c76c7d|5a8c80f5c698300375c76d02|5a8c80f5c698300375c76d05|Arts and Humanities|Feminist, Gender, and Sexuality Studies|Women's Studies|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76daf|Social and Behavioral Sciences|Political Science|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76ddb|5a8c80f9c698300375c76de0|Social and Behavioral Sciences|Public Affairs, Public Policy and Public Administration|Social Policy|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76ddb|5a8c80f9c698300375c76deb|Social and Behavioral Sciences|Public Affairs, Public Policy and Public Administration|Public Policy",,2020,https://api.osf.io/v2/preprints/zwf6g/contributors/,https://api.osf.io/v2/preprints/zwf6g/bibliographic_contributors/,zwf6g,preprints,https://api.osf.io/v2/preprints/zwf6g/citation/,NA,https://api.osf.io/v2/preprints/zwf6g/identifiers/,NA,NA,https://api.osf.io/v2/preprints/zwf6g/relationships/node/,NA,https://api.osf.io/v2/licenses/5ad7979bc69830002d8190e3/,5ad7979bc69830002d8190e3,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/zwf6g/files/,5e88a15b430166002ca0a0ff,files,https://api.osf.io/v2/files/5e88a15b430166002ca0a0ff/,https://api.osf.io/v2/preprints/zwf6g/review_actions/,NA,https://api.osf.io/v2/preprints/zwf6g/requests/,https://api.osf.io/v2/preprints/zwf6g/,https://osf.io/preprints/socarxiv/zwf6g/,https://doi.org/10.31235/osf.io/zwf6g
