id,type,attributes.date_created,attributes.date_modified,attributes.date_published,attributes.original_publication_date,attributes.doi,attributes.title,attributes.description,attributes.is_published,attributes.is_preprint_orphan,attributes.tags,attributes.preprint_doi_created,attributes.date_withdrawn,attributes.current_user_permissions,attributes.public,attributes.reviews_state,attributes.date_last_transitioned,attributes.has_coi,attributes.conflict_of_interest_statement,attributes.has_data_links,attributes.why_no_data,attributes.data_links,attributes.has_prereg_links,attributes.why_no_prereg,attributes.prereg_links,attributes.prereg_link_info,attributes.subjects,attributes.license_record.copyright_holders,attributes.license_record.year,relationships.contributors.links.related.href,relationships.bibliographic_contributors.links.related.href,relationships.citation.links.related.href,relationships.citation.data.id,relationships.citation.data.type,relationships.identifiers.links.related.href,relationships.node.links.self.href,relationships.node.links.related.href,relationships.node.data.id,relationships.node.data.type,relationships.license.links.related.href,relationships.license.data.id,relationships.license.data.type,relationships.provider.links.related.href,relationships.provider.data.id,relationships.provider.data.type,relationships.files.links.related.href,relationships.primary_file.links.related.href,relationships.primary_file.data.id,relationships.primary_file.data.type,relationships.review_actions.links.related.href,relationships.requests.links.related.href,links.self,links.html,links.preprint_doi
83ra7,preprints,2019-11-20T22:08:35.723535,2019-11-21T17:10:23.197444,2019-11-21T17:10:05.210486,NA,NA,"Stigmatizing Microaggressions, Depression Symptoms, and Suicide Ideation among a Geographically-diverse Sample of Sexual Minority Persons","This study examined the relation of sexual identity-related victimization in the form of stigmatizing microaggressions with past-year depression symptoms and suicide ideation among a sample of sexual minority (SM) persons (𝑛 = 167). Multiple logistic regression models found that for each event increase in average weekly frequency of stigmatizing microaggression events, odds of past-year suicide ideation increased by 68% (adjusted odds ratio [AOR] = 1.68, 95% confidence interval [CI] [1.14, 2.43]), past-year hopelessness or sadness for two weeks or more increased by 56% (AOR = 1.56, 95% CI [1.04, 2.30]), and past-year withdrawal from regular activities increased by 186% (AOR = 2.86, 95% CI [1.52, 4.94]). An additional socioecological factor, living in the U.S. South, was associated with substantially increased odds of suicide ideation (AOR = 3.89, 95% CI [1.15, 13.84]) and hopelessness/sadness (AOR = 4.32, 95% CI [1.28, 15.91]). Findings of this study indicate that frequent and more subtle sexual identity-related victimization in the form of microaggressions, in addition to overt victimization such as physical or sexual violence, may negatively impact the mental health of SM persons.",TRUE,FALSE,depression|microaggressions|sexual minority|stigma|suicide,2019-11-21T17:10:23.173270,NA,,TRUE,accepted,2019-11-21T17:10:05.210486,NA,NA,NA,NA,,NA,NA,,NA,5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d98|5a8c80f8c698300375c76da4|Social and Behavioral Sciences|Psychology|Health Psychology|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e29|Social and Behavioral Sciences|Sociology|Sexualities|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e2e|Social and Behavioral Sciences|Sociology|Mental Health,,2019,https://api.osf.io/v2/preprints/83ra7/contributors/,https://api.osf.io/v2/preprints/83ra7/bibliographic_contributors/,https://api.osf.io/v2/preprints/83ra7/citation/,83ra7,preprints,https://api.osf.io/v2/preprints/83ra7/identifiers/,https://api.osf.io/v2/preprints/83ra7/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/5ad7979bc69830002d8190e3/,5ad7979bc69830002d8190e3,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/83ra7/files/,https://api.osf.io/v2/files/5dd5b9701d56d2000cdfec17/,5dd5b9701d56d2000cdfec17,files,https://api.osf.io/v2/preprints/83ra7/review_actions/,https://api.osf.io/v2/preprints/83ra7/requests/,https://api.osf.io/v2/preprints/83ra7/,https://osf.io/preprints/socarxiv/83ra7/,https://doi.org/10.31235/osf.io/83ra7
guq6r,preprints,2019-11-20T12:10:37.918502,2019-11-20T12:28:22.331622,2019-11-20T12:28:08.201378,NA,NA,Research note: Infant mortality in Denmark from 1835 to 1854 using the Human Mortality Database,"This short research note explains a specific issue concerning  historical data for Denmark in the Human Mortality Database: for the period 1835-1854, Danish infant mortality is considerably over-estimated in the HMD, as the stillbirths
are mistakenly included among the deaths at age 0. The impact of this issue on other general measures of mortality (such as life expectancy at birth) is demonstrated, and a solution is proposed (including the necessary data in Appendix).",TRUE,FALSE,Denmark|Historical demography|Human Mortality Database,2019-11-20T12:28:22.312556,NA,,TRUE,accepted,2019-11-20T12:28:08.201378,NA,NA,NA,NA,,NA,NA,,NA,5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d96|Social and Behavioral Sciences|Other Social and Behavioral Sciences,,2019,https://api.osf.io/v2/preprints/guq6r/contributors/,https://api.osf.io/v2/preprints/guq6r/bibliographic_contributors/,https://api.osf.io/v2/preprints/guq6r/citation/,guq6r,preprints,https://api.osf.io/v2/preprints/guq6r/identifiers/,https://api.osf.io/v2/preprints/guq6r/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/guq6r/files/,https://api.osf.io/v2/files/5dd52d4183135e000cc12615/,5dd52d4183135e000cc12615,files,https://api.osf.io/v2/preprints/guq6r/review_actions/,https://api.osf.io/v2/preprints/guq6r/requests/,https://api.osf.io/v2/preprints/guq6r/,https://osf.io/preprints/socarxiv/guq6r/,https://doi.org/10.31235/osf.io/guq6r
w8g9e,preprints,2019-11-20T09:19:02.037592,2019-11-20T12:27:22.292836,2019-11-20T12:26:59.672732,NA,NA,"Consequences of infant adoption in Taiwan, 1906-1945: The impact of regional context and household composition on child mortality","Little is known about health outcomes after adoption in historical non-Western settings and previous studies have found contradictory results of the influence of adoption on mortality risks. This study investigates if, and how, adoption of infants increased child mortality risks compared to non-adopted children. Moreover, it goes further than existing studies by investigating if, and how, after adoption, household composition and regional context influenced child mortality risks of these adopted children in Taiwan during the period 1906-1945. It uses the Taiwan Historical Household Register Database to answer these questions, estimating univariate and multivariate Cox proportional hazard models. The study demonstrates that child mortality risks of both male and female adopted children were much higher compared to non-adopted children. After adoption, household composition was especially important for adopted girls. In particular, similarly aged siblings increased child mortality risks of girls, indicating that the adoptees suffered the consequences of a reallocation of resources. The negative effect of infant adoption on child mortality was the same in all regional contexts. In sum, household composition and regional context should be taken into account when investigating child mortality risks, or other indicators of health inequalities, of adopted children.",TRUE,FALSE,Child Adoption|Child Mortality|Resource dilution|Sibling Composition|Taiwan,2019-11-20T12:27:22.275189,NA,,TRUE,accepted,2019-11-20T12:26:59.672732,NA,NA,NA,NA,,NA,NA,,NA,5a8c80f2c698300375c76c7d|Arts and Humanities|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|Social and Behavioral Sciences|Sociology,,2019,https://api.osf.io/v2/preprints/w8g9e/contributors/,https://api.osf.io/v2/preprints/w8g9e/bibliographic_contributors/,https://api.osf.io/v2/preprints/w8g9e/citation/,w8g9e,preprints,https://api.osf.io/v2/preprints/w8g9e/identifiers/,https://api.osf.io/v2/preprints/w8g9e/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/w8g9e/files/,https://api.osf.io/v2/files/5dd5050e82d216000e51ecad/,5dd5050e82d216000e51ecad,files,https://api.osf.io/v2/preprints/w8g9e/review_actions/,https://api.osf.io/v2/preprints/w8g9e/requests/,https://api.osf.io/v2/preprints/w8g9e/,https://osf.io/preprints/socarxiv/w8g9e/,https://doi.org/10.31235/osf.io/w8g9e
7w4sp,preprints,2019-11-20T05:36:36.092444,2019-11-26T14:22:28.223628,2019-11-20T12:22:22.260066,NA,NA,"Ad Astra Academy: Using Space Exploration to Promote Student Learning and Motivation in the City of God, Rio de Janeiro, Brazil","Motivation is a primary determinant of a student’s academic success, but in many under-resourced educational contexts around the world, opportunities to develop motivation are lacking. In the City of God neighborhood of Rio de Janeiro, Brazil, we (a group of scientists and science educators) enacted brief, interactive interventions targeting teenage students at risk of dropping out of school. Students participated in an immersive 5-day program, followed by a six-month break, before completing the second, 3-day program. Participants learned how to use the scientific method in real-world settings to generate new knowledge. In order to consolidate these knowledge gains and bolster the program’s inspirational power, capstone projects empowered participants to speak with NASA mission managers and, in some cases, acquire never-before-seen images of Mars. While longitudinal study and a more robust sample size are required to bolster conclusions about the efficacy of our approach, initial results suggest that Ad Astra programs significantly enhance self-efficacy and science-oriented career ambitions.",TRUE,FALSE,Astrobiology|Astronomy education|Mars exploration|Outreach for development|Student motivation,2019-11-20T12:22:42.397122,NA,,TRUE,accepted,2019-11-20T12:22:22.260066,NA,NA,NA,NA,,NA,NA,,NA,5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d69|Education|Science and Mathematics Education|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d6f|Education|Educational Psychology|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d70|Education|Educational Methods,,2019,https://api.osf.io/v2/preprints/7w4sp/contributors/,https://api.osf.io/v2/preprints/7w4sp/bibliographic_contributors/,https://api.osf.io/v2/preprints/7w4sp/citation/,7w4sp,preprints,https://api.osf.io/v2/preprints/7w4sp/identifiers/,https://api.osf.io/v2/preprints/7w4sp/relationships/node/,https://api.osf.io/v2/nodes/z8vng/,z8vng,nodes,https://api.osf.io/v2/licenses/5ad7979bc69830002d8190e3/,5ad7979bc69830002d8190e3,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/7w4sp/files/,https://api.osf.io/v2/files/5dd4d0f31d56d2000ddf57bb/,5dd4d0f31d56d2000ddf57bb,files,https://api.osf.io/v2/preprints/7w4sp/review_actions/,https://api.osf.io/v2/preprints/7w4sp/requests/,https://api.osf.io/v2/preprints/7w4sp/,https://osf.io/preprints/socarxiv/7w4sp/,https://doi.org/10.31235/osf.io/7w4sp
tczvw,preprints,2019-11-19T16:26:47.643082,2019-11-20T12:21:03.024510,2019-11-20T12:20:40.326979,NA,NA,Complex Contagions in Charitable Donations,"Cascades over social networks can spread information, beliefs, diseases, technologies, and behaviors. Simple cascades spread from mere contact and produce submodular influence curves. Complex cascades assume agents with thresholding behavior and may produce non-submodular influence curves. In this study, we run three experiments that request charitable donations from human participants and experimentally manipulate whether and where their peers donate. We find evidence that we can (1) direct donations to an otherwise unpopular charity and (2) elicit complex contagion as evidenced by a non-submodular influence curve. The findings represent the most straightforward evidence to date of treatment-induced complex contagion - explicitly and formally defined - in human decision-making.",TRUE,FALSE,charity|complex contagion|donations|experiment|social influence,2019-11-20T12:21:02.992512,NA,,TRUE,accepted,2019-11-20T12:20:40.326979,NA,NA,NA,NA,,NA,NA,,NA,5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d98|5a8c80f7c698300375c76d9d|Social and Behavioral Sciences|Psychology|Cognitive Psychology|5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d98|5a8c80f7c698300375c76da2|Social and Behavioral Sciences|Psychology|Social Psychology|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e4b|Social and Behavioral Sciences|Sociology|Social Psychology and Interaction|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e4d|Social and Behavioral Sciences|Sociology|Mathematical Sociology,,2019,https://api.osf.io/v2/preprints/tczvw/contributors/,https://api.osf.io/v2/preprints/tczvw/bibliographic_contributors/,https://api.osf.io/v2/preprints/tczvw/citation/,tczvw,preprints,https://api.osf.io/v2/preprints/tczvw/identifiers/,https://api.osf.io/v2/preprints/tczvw/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/tczvw/files/,https://api.osf.io/v2/files/5dd417ce83135e000ec0ad00/,5dd417ce83135e000ec0ad00,files,https://api.osf.io/v2/preprints/tczvw/review_actions/,https://api.osf.io/v2/preprints/tczvw/requests/,https://api.osf.io/v2/preprints/tczvw/,https://osf.io/preprints/socarxiv/tczvw/,https://doi.org/10.31235/osf.io/tczvw
ut8r9,preprints,2019-11-19T16:14:13.095106,2019-11-20T12:24:02.768902,2019-11-20T12:23:42.957441,NA,NA,Can the EU Buy Public Support?,"The European Union targets up to a quarter of its budget towards underdeveloped
regions. Do these investments have an impact on citizens' attitudes towards the EU?
The previous literature on this question is scarce and inconclusive. I use a regression-
discontinuity design to tackle this question. The analysis is based on a large dataset of
geocoded individual-level survey responses from every member state that spans more
than twenty years. Point estimates for the effect of the funds on public opinion are
relatively small and statistically insignificant. Large effects can be ruled out. At the
same time, I show that pre-existing attitudes towards European integration correlate
with the EU's allocation decisions. Finally, I show that the funds do not have an
impact on EU-related attitudes due to informational problems and explore whether
the EU's activities may be misattributed to national political actors.",TRUE,FALSE,European Union|Political Economy|Public Opinion|RDD|regression discontinuity|Structural Funds,2019-11-20T12:24:02.728712,NA,,TRUE,accepted,2019-11-20T12:23:42.957441,NA,NA,NA,NA,,NA,NA,,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76daf|5a8c80f8c698300375c76db2|Social and Behavioral Sciences|Political Science|Comparative Politics,,2019,https://api.osf.io/v2/preprints/ut8r9/contributors/,https://api.osf.io/v2/preprints/ut8r9/bibliographic_contributors/,https://api.osf.io/v2/preprints/ut8r9/citation/,ut8r9,preprints,https://api.osf.io/v2/preprints/ut8r9/identifiers/,https://api.osf.io/v2/preprints/ut8r9/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/ut8r9/files/,https://api.osf.io/v2/files/5dd414dd2fefe5000e7ba64b/,5dd414dd2fefe5000e7ba64b,files,https://api.osf.io/v2/preprints/ut8r9/review_actions/,https://api.osf.io/v2/preprints/ut8r9/requests/,https://api.osf.io/v2/preprints/ut8r9/,https://osf.io/preprints/socarxiv/ut8r9/,https://doi.org/10.31235/osf.io/ut8r9
whb75,preprints,2019-11-19T08:56:33.760638,2019-11-20T12:25:03.902021,2019-11-20T12:24:40.298845,NA,NA,Steering capital: the growing private authority of index providers in the age of passive asset management,"Since the global financial crisis, there is a massive shift of assets towards index funds. Rather than picking stocks, index funds replicate stock indices such as the S&amp;P 500. But where do these indices actually come from? This paper analyzes the politico-economic role of index providers, a small group of highly profitable firms including MSCI, S&amp;P DJI, and FTSE Russell, and develops a research agenda from an IPE perspective. We argue that these index providers have become actors that exercise growing private authority as they steer investments through the indices they create and maintain. While technical expertise is a precondition, their brand is the primary source of index provider authority, which is entrenched through network externalities. Rather than a purely technical exercise, constructing indices is inherently political. Which companies or countries are included into an index or excluded (i.e. receive investment in- or outflows) is based on criteria defined by index providers, thereby setting standards for corporate governance and investor access. Hence, in this new age of passive asset management index providers are becoming gatekeepers that exert de facto regulatory power and thus may have important effects on corporate governance and the economic policies of countries.",TRUE,FALSE,capital flows|index funds|index providers|passive asset management|private authority|stock market indices,2019-11-20T12:25:03.872419,NA,,TRUE,accepted,2019-11-20T12:24:40.298845,NA,NA,NA,NA,,NA,NA,,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76daf|5a8c80f8c698300375c76db3|Social and Behavioral Sciences|Political Science|Other Political Science,,2019,https://api.osf.io/v2/preprints/whb75/contributors/,https://api.osf.io/v2/preprints/whb75/bibliographic_contributors/,https://api.osf.io/v2/preprints/whb75/citation/,whb75,preprints,https://api.osf.io/v2/preprints/whb75/identifiers/,https://api.osf.io/v2/preprints/whb75/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/5ad7979bc69830002d8190e3/,5ad7979bc69830002d8190e3,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/whb75/files/,https://api.osf.io/v2/files/5dd3ae461d56d2000cde5a66/,5dd3ae461d56d2000cde5a66,files,https://api.osf.io/v2/preprints/whb75/review_actions/,https://api.osf.io/v2/preprints/whb75/requests/,https://api.osf.io/v2/preprints/whb75/,https://osf.io/preprints/socarxiv/whb75/,https://doi.org/10.31235/osf.io/whb75
2v59j,preprints,2019-11-18T17:02:06.061132,2021-04-15T17:14:34.750630,2019-11-20T12:25:51.330738,2019-11-16T23:00:00,NA,Explaining the Rise of Moralizing Religions: A test of competing hypotheses using the Seshat Databank,"The causes, consequences, and timing of the rise of moralizing religions in world history have been the focus of intense debate. Progress has been limited by the availability of quantitative data to test competing theories, by divergent ideas regarding both predictor and outcomes variables, and by differences of opinion over methodology. To address all these problems, we utilize Seshat: Global History Databank, a large storehouse of information designed to test theories concerning the evolutionary drivers of social complexity in world history. In addition to the Big Gods hypothesis, which proposes that moralizing religion contributed to the success of increasingly large-scale complex societies, we consider the role of warfare, animal husbandry, and agricultural productivity in the rise of moralizing religions. Using a broad range of new measures of belief in moralizing supernatural punishment, we find strong support for previous research showing that such beliefs did not drive the rise of social complexity in world history. By contrast, our analyses indicate that intergroup warfare, supported by resource availability, played the most significant role in the evolution of both social complexity and moralizing religions. Thus, the correlation between social complexity and moralizing religion would seem to result from shared evolutionary drivers, rather than from strong direct causal relationships between these two variables. The data, methods, and results presented in this paper have been made publicly available online for others to inspect and critique, allowing additional analyses to be run and alternative assumptions to be tested, prior to peer review and publication.",TRUE,FALSE,cultural evolution|empirical test of theories|religion|social complexity|warfare,2019-11-20T12:26:23.381642,NA,,TRUE,accepted,2019-11-20T12:25:51.330738,FALSE,NA,available,NA,http://seshatdatabank.info/datasets/,not_applicable,NA,,,5a8c80f7c698300375c76d84|5a8c80f9c698300375c76df6|5a8c80f9c698300375c76dfa|Social and Behavioral Sciences|Anthropology|Social and Cultural Anthropology,,2019,https://api.osf.io/v2/preprints/2v59j/contributors/,https://api.osf.io/v2/preprints/2v59j/bibliographic_contributors/,https://api.osf.io/v2/preprints/2v59j/citation/,2v59j,preprints,https://api.osf.io/v2/preprints/2v59j/identifiers/,https://api.osf.io/v2/preprints/2v59j/relationships/node/,https://api.osf.io/v2/nodes/pa4qf/,pa4qf,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/2v59j/files/,https://api.osf.io/v2/files/5dd2ce9383135e000cbf46a8/,5dd2ce9383135e000cbf46a8,files,https://api.osf.io/v2/preprints/2v59j/review_actions/,https://api.osf.io/v2/preprints/2v59j/requests/,https://api.osf.io/v2/preprints/2v59j/,https://osf.io/preprints/socarxiv/2v59j/,https://doi.org/10.31235/osf.io/2v59j
srcg2,preprints,2019-11-18T03:14:40.369969,2019-11-18T03:39:42.584361,2019-11-18T03:39:11.779349,NA,NA,"Electoral Systems, Competition, and Incentives for Corruption","What is the effect of electoral rules on political corruption? While the influence of electoral systems on accountability and representation has been widely studied, the link between electoral systems and corruption remains sparse. This paper develops a model for the interplay between corruption and electoral rules, considering the incentives for challengers to expose the corruption undertaken by the incumbents. I identify two major components: first, rules that increase competition create incentives for freeriding, as challengers would prefer that other challengers pay the cost of exposure. Second, larger district sizes create coordination problems, as the same incumbent may be overexposed, while others were not exposed at all. These characteristics make a mix of high competitiveness and PR the worst system regarding incentives for corruption. I show that these predictions hold empirically using quasi-experimental data from Brazilian municipalities. This study has implications for the design of electoral institutions.",TRUE,FALSE,Competition|Corruption|Electoral systems|Incentives|Parties|Representation,2019-11-18T03:39:42.560750,NA,,TRUE,accepted,2019-11-18T03:39:11.779349,NA,NA,NA,NA,,NA,NA,,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76daf|5a8c80f8c698300375c76db1|Social and Behavioral Sciences|Political Science|Models and Methods,,2019,https://api.osf.io/v2/preprints/srcg2/contributors/,https://api.osf.io/v2/preprints/srcg2/bibliographic_contributors/,https://api.osf.io/v2/preprints/srcg2/citation/,srcg2,preprints,https://api.osf.io/v2/preprints/srcg2/identifiers/,https://api.osf.io/v2/preprints/srcg2/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/srcg2/files/,https://api.osf.io/v2/files/5dd20ca49a42520012175d59/,5dd20ca49a42520012175d59,files,https://api.osf.io/v2/preprints/srcg2/review_actions/,https://api.osf.io/v2/preprints/srcg2/requests/,https://api.osf.io/v2/preprints/srcg2/,https://osf.io/preprints/socarxiv/srcg2/,https://doi.org/10.31235/osf.io/srcg2
hcnzu,preprints,2019-11-18T03:06:00.510508,2020-11-25T13:57:35.262845,2019-11-18T03:37:51.376725,NA,NA,Investment Capacity and the Electoral Marketplace: Evidence from Brazil,"The importance of money in elections is a hallmark of contemporary democracies. In this paper, we study how investment capacity, defined as the resources remaining after the municipality perform the mandatory expenditures, influences elections in Brazil. We theorize that when a politician wins the election, this generates commitment problems in low investment capacity municipalities, as new mayors are unable to reward the firms that contributed to their campaigns. We test these claims by considering a close-elections regression discontinuity design coupled with heterogeneous quantile effects for Brazilian municipalities between 2000 and 2012. We find that incumbent mayors in towns with low investment capacity receive less campaign donation afterward and are more disadvantaged in their reelection contests. The results are robust to design variations and changes in party labels or mayoral characteristics. Our findings have implications for the influence of money on politics in democratic countries.",TRUE,FALSE,Brazil|Campaign Contributions|Close-elections Regression Discontinuity Design|Incumbency Effect|Investment Capacity,2019-11-18T03:38:05.489323,NA,,TRUE,accepted,2019-11-18T03:37:51.376725,NA,NA,NA,NA,,NA,NA,,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76daf|5a8c80f8c698300375c76db2|Social and Behavioral Sciences|Political Science|Comparative Politics,,2019,https://api.osf.io/v2/preprints/hcnzu/contributors/,https://api.osf.io/v2/preprints/hcnzu/bibliographic_contributors/,https://api.osf.io/v2/preprints/hcnzu/citation/,hcnzu,preprints,https://api.osf.io/v2/preprints/hcnzu/identifiers/,https://api.osf.io/v2/preprints/hcnzu/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/hcnzu/files/,https://api.osf.io/v2/files/5dd20aa45b97bd000b58ed9c/,5dd20aa45b97bd000b58ed9c,files,https://api.osf.io/v2/preprints/hcnzu/review_actions/,https://api.osf.io/v2/preprints/hcnzu/requests/,https://api.osf.io/v2/preprints/hcnzu/,https://osf.io/preprints/socarxiv/hcnzu/,https://doi.org/10.31235/osf.io/hcnzu
