id,type,attributes.date_created,attributes.date_modified,attributes.date_published,attributes.original_publication_date,attributes.doi,attributes.title,attributes.description,attributes.is_published,attributes.is_preprint_orphan,attributes.tags,attributes.preprint_doi_created,attributes.date_withdrawn,attributes.withdrawal_justification,attributes.current_user_permissions,attributes.public,attributes.reviews_state,attributes.date_last_transitioned,attributes.has_coi,attributes.conflict_of_interest_statement,attributes.has_data_links,attributes.why_no_data,attributes.data_links,attributes.has_prereg_links,attributes.why_no_prereg,attributes.prereg_links,attributes.prereg_link_info,attributes.subjects,attributes.license_record.copyright_holders,attributes.license_record.year,relationships.contributors.links.related.href,relationships.bibliographic_contributors.links.related.href,relationships.citation.data.id,relationships.citation.data.type,relationships.citation.links.related.href,relationships.identifiers.data,relationships.identifiers.links.related.href,relationships.node.data.id,relationships.node.data.type,relationships.node.links.related.href,relationships.node.links.self.href,relationships.license.links.related.href,relationships.license.data.id,relationships.license.data.type,relationships.provider.links.related.href,relationships.provider.data.id,relationships.provider.data.type,relationships.files.data,relationships.files.links.related.href,relationships.primary_file.data.id,relationships.primary_file.data.type,relationships.primary_file.links.related.href,relationships.review_actions.links.related.href,relationships.requests.data,relationships.requests.links.related.href,links.self,links.html,links.preprint_doi,links.doi
wpesb,preprints,2019-03-23T22:15:12.527049,2019-10-07T02:56:13.516473,2019-03-24T19:07:46.931631,NA,NA,.,,NA,NA,|accreditation|bullying|education|graduate|medical|mistreatment|research|sexual harassment|sexual misconduct|STEM,NA,2019-10-07T02:56:13.001599,"As the author, I request withdrawal. I am being threatened by the administration at Baylor College of Medicine with expulsion if not removed by 5 PM Central Standard Time October 11th 2019. I emailed contact@cos.io on Saturday 10/5/19 asking for info on withdrawal, but found this form. Please include the following metadata only: “Removed at author’s request.”  Separately, to what extent is it possible to remove title and other metadata? Ideally would want to remove all, but please let me know if metadata is permanent. Email is itspronouncedhenner@gmail.com.",,TRUE,withdrawn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5a8c80f0c698300375c76c07|5a8c80f0c698300375c76c0e|Law|Privacy Law|5a8c80f0c698300375c76c07|5a8c80f0c698300375c76c12|Law|Business Organizations Law|5a8c80f0c698300375c76c07|5a8c80f0c698300375c76c15|Law|Science and Technology Law|5a8c80f0c698300375c76c07|5a8c80f0c698300375c76c16|Law|Law and Gender|5a8c80f0c698300375c76c07|5a8c80f0c698300375c76c17|Law|Evidence|5a8c80f0c698300375c76c07|5a8c80f1c698300375c76c25|Law|Education Law|5a8c80f0c698300375c76c07|5a8c80f1c698300375c76c33|Law|Labor and Employment Law|5a8c80f0c698300375c76c07|5a8c80f1c698300375c76c35|Law|Sexuality and the Law|5a8c80f0c698300375c76c07|5a8c80f1c698300375c76c3a|Law|Civil Law|5a8c80f0c698300375c76c07|5a8c80f1c698300375c76c3b|Law|Civil Rights and Discrimination|5a8c80f0c698300375c76c07|5a8c80f1c698300375c76c3d|Law|Dispute Resolution and Arbitration|5a8c80f0c698300375c76c07|5a8c80f1c698300375c76c3e|Law|Constitutional Law|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c52|Law|Criminal Law|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c59|Law|Organizations Law|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c5c|Law|Contracts|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c5e|Law|Law and Race|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c61|Law|Torts|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c6a|Law|First Amendment|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c71|Law|Health Law and Policy|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c7b|Law|Common Law|5a8c80f2c698300375c76c7d|5a8c80f3c698300375c76c89|Arts and Humanities|Race, Ethnicity and Post-Colonial Studies|5a8c80f2c698300375c76c7d|5a8c80f5c698300375c76d02|Arts and Humanities|Feminist, Gender, and Sexuality Studies|5a8c80f6c698300375c76d4e|5a8c80f6c698300375c76d56|Education|Adult and Continuing Education|5a8c80f6c698300375c76d4e|5a8c80f6c698300375c76d5b|Education|Community College Leadership|5a8c80f6c698300375c76d4e|5a8c80f6c698300375c76d5c|Education|Higher Education|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d62|Education|Student Counseling and Personnel Services|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d68|Education|Educational Leadership|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d69|Education|Science and Mathematics Education|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d6a|Education|Disability and Equity in Education|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d71|Education|Educational Administration and Supervision|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d7a|Education|Teacher Education and Professional Development|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76db8|Social and Behavioral Sciences|Legal Studies|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dd1|Social and Behavioral Sciences|Leadership Studies|5a8c80f7c698300375c76d84|5a8c80f9c698300375c76e1f|Social and Behavioral Sciences|Organization Development",Alejandro R. Gener,2019,https://api.osf.io/v2/preprints/wpesb/contributors/,https://api.osf.io/v2/preprints/wpesb/bibliographic_contributors/,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e965/,563c1cf88c5e4a3877f9e965,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,NA,NA,NA,NA,https://api.osf.io/v2/preprints/wpesb/review_actions/,NA,NA,https://api.osf.io/v2/preprints/wpesb/,https://osf.io/preprints/socarxiv/wpesb/,https://doi.org/10.31235/osf.io/wpesb,NA
dy9aw,preprints,2019-03-22T17:19:03.693255,2019-04-02T16:41:03.708119,2019-03-22T19:01:41.325333,NA,NA,Effects of Measurement Error in the American Community Survey on Statistical Analysis: An Example using County and Census Tract Mortality Rates.,"The American Community Survey (ACS) summary file data provide rolling 5-
year estimates of demographic and socioeconomic indicator data for small geographies
throughout the United States. These estimates are commonly used as indicators for
regression models to measure conditions in communities. The Margins of Error (MOE) in
the ACS estimates for small geographic areas can often be very large, and without taking
them into account, regression analyses using them can be mis-specified, leading to bias in
regression coefficients and model standard errors. This paper directly compares
measurement error model specifications to naive model specifications for a mortality
outcome in Texas Census tracts using Bayesian model specializations. The results show
that there is bias in the naive regression model results. We urge users of the ACS
summary file data to be aware of such bias as it can potentially impact interpretation of
model results and hypothesis tests.",TRUE,FALSE,American Community Survey|Bayesian models|Demography|Mortality|Uncertainty,2019-03-22T19:02:03.548878,NA,NA,,TRUE,accepted,2019-03-22T19:01:41.325333,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f9c698300375c76e0c|Social and Behavioral Sciences|Social Statistics,,2019,https://api.osf.io/v2/preprints/dy9aw/contributors/,https://api.osf.io/v2/preprints/dy9aw/bibliographic_contributors/,dy9aw,preprints,https://api.osf.io/v2/preprints/dy9aw/citation/,NA,https://api.osf.io/v2/preprints/dy9aw/identifiers/,etmwz,nodes,https://api.osf.io/v2/nodes/etmwz/,https://api.osf.io/v2/preprints/dy9aw/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96c/,563c1cf88c5e4a3877f9e96c,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/dy9aw/files/,5c95190aae813800198cd31f,files,https://api.osf.io/v2/files/5c95190aae813800198cd31f/,https://api.osf.io/v2/preprints/dy9aw/review_actions/,NA,https://api.osf.io/v2/preprints/dy9aw/requests/,https://api.osf.io/v2/preprints/dy9aw/,https://osf.io/preprints/socarxiv/dy9aw/,https://doi.org/10.31235/osf.io/dy9aw,NA
ar9x6,preprints,2019-03-22T17:10:38.988621,2020-07-16T13:33:31.558459,2019-03-22T19:01:09.085108,NA,10.1007/s13178-019-00389-x,Preventing Intimate Partner Violence among Young People – A Qualitative Study Examining the Role of Comprehensive Sexuality Education,"Comprehensive sexuality education may help prevent intimate partner violence, but few evaluations of sexuality education courses have measured this. Here we explore how such a course that encourages critical reflection about gendered social norms might help prevent partner violence among young people in Mexico. We conducted a longitudinal quasi-experimental study at a state-run technical secondary school in Mexico City, with data collection including in-depth interviews and focus groups with students, teachers and health educators. We found that the course supported both prevention of and response to partner violence among young people. The data suggest the course promoted critical reflection that appeared to lead to changes in beliefs, intentions and behaviors related to gender, sexuality and violence. We identify four elements of the course that seem crucial to preventing partner violence. First, encouraging participants’ reflection about romantic relationships, which helped them question whether jealousy and possessive behaviors are signs of love; second, helping them develop skills to communicate about sexuality, inequitable relationships and reproductive health; third, encouraging care-seeking behavior; and fourth, addressing norms around gender and sexuality, for example demystifying and decreasing discrimination towards sexually diverse populations. The findings reinforce the importance of schools for violence prevention and have implications for educational policy regarding sexuality education. The results suggest that this promising and relatively short-term intervention should be considered as a school-based strategy to prevent and respond to partner violence.",TRUE,FALSE,comprehensive sexuality education|gender norms|intimate partner violence|Mexico|violence prevention|young people,2019-03-22T19:01:22.000897,NA,NA,,TRUE,accepted,2019-03-22T19:01:09.085108,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d96|Social and Behavioral Sciences|Other Social and Behavioral Sciences,,2019,https://api.osf.io/v2/preprints/ar9x6/contributors/,https://api.osf.io/v2/preprints/ar9x6/bibliographic_contributors/,ar9x6,preprints,https://api.osf.io/v2/preprints/ar9x6/citation/,NA,https://api.osf.io/v2/preprints/ar9x6/identifiers/,NA,NA,NA,https://api.osf.io/v2/preprints/ar9x6/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/ar9x6/files/,5c951715ae813800178cd351,files,https://api.osf.io/v2/files/5c951715ae813800178cd351/,https://api.osf.io/v2/preprints/ar9x6/review_actions/,NA,https://api.osf.io/v2/preprints/ar9x6/requests/,https://api.osf.io/v2/preprints/ar9x6/,https://osf.io/preprints/socarxiv/ar9x6/,https://doi.org/10.31235/osf.io/ar9x6,https://doi.org/10.1007/s13178-019-00389-x
85cze,preprints,2019-03-22T15:25:47.109810,2020-07-16T13:34:27.579464,2019-03-22T16:35:44.113473,NA,NA,The role of reputation systems in digital discrimination,"Reputation systems are often proposed as the most promising solution to (ethnic) discrimination in online
markets. This claim is based on earlier studies showing that the ethnic gap is smaller for users with reviews than for
users without reviews. Using simulations, we show that this conclusion may be premature, as reviews can only be
written after completed interactions. Hence, initial differences between users in the probability to be selected as transaction partner may accumulate over time, thereby diminishing the potential of reputation systems to decrease
discrimination. We use a unique dataset that contains information on all interactions that ever took place on a peerto-peer motorcycle rental platform to test this hypothesis. We find that per filed request, renters with an ethnic minority background receive fewer reviews than renters with an ethnic majority background with otherwise similar characteristics. Moreover, with time the reputation system does not reduce the initial inequalities between otherwise comparable renters of different ethnicity.",TRUE,FALSE,Discrimination|Ethnicity|Inequality|Information asymmetry|Platform economy|Ratings|Reputation systems|Sharing economy|Uncertainty,2019-03-22T16:36:07.226058,NA,NA,,TRUE,accepted,2019-03-22T16:35:44.113473,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e2d|Social and Behavioral Sciences|Sociology|Economic Sociology,,2019,https://api.osf.io/v2/preprints/85cze/contributors/,https://api.osf.io/v2/preprints/85cze/bibliographic_contributors/,85cze,preprints,https://api.osf.io/v2/preprints/85cze/citation/,NA,https://api.osf.io/v2/preprints/85cze/identifiers/,493bg,nodes,https://api.osf.io/v2/nodes/493bg/,https://api.osf.io/v2/preprints/85cze/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/85cze/files/,5c94fe84b23968001a1794ac,files,https://api.osf.io/v2/files/5c94fe84b23968001a1794ac/,https://api.osf.io/v2/preprints/85cze/review_actions/,NA,https://api.osf.io/v2/preprints/85cze/requests/,https://api.osf.io/v2/preprints/85cze/,https://osf.io/preprints/socarxiv/85cze/,https://doi.org/10.31235/osf.io/85cze,NA
v2ygb,preprints,2019-03-22T15:19:59.820802,2019-03-22T16:35:07.816471,2019-03-22T16:34:36.492881,2019-01-05T17:00:00,NA,Pengintegrasian TPACK dalam Pembelajaran  Geometri SMA untuk Mengembangkan Profesionalitas Guru Matematika,"Artikel ini membahas mengenai cara pengintegrasian kerangka Technological, Pedagogical and Content Knowledge (TPACK) dalam pembelajaran transformasi geometri SMA untuk mengembangkan profesionalitas guru matematika. Artikel ini merupakan hasil kajian pustaka dengan sumber kajian berupa artikel jurnal, undang-undang dan laman web yang bertemakan TPACK, Uji Kompetensi Guru (UKG), profesionalitas guru, dan penggunaan GeoGebra dalam pembelajaran. Penulisan artikel ini dilatarbelakangi oleh capaian rata-rata Uji Kompetensi Guru (UKG) pada bidang studi matematika yang mengindikasikan perlu adanya pengembangan profesionalitas guru matematika, terutama pada kompetensi pedagogik dan profesional. Salah satu kerangka yang memfasilitasi pengembangan dua kompetensi tersebut adalah Technological, Pedagogical and Content Knowledge (TPACK). Melalui TPACK, guru matematika diharapkan dapat mengintegrasikan teknologi dalam pembelajaran pada materi matematika yang bersifat abstrak, seperti transformasi geometri. Berdasarkan hasil kajian, pengintegrasian TPACK dapat mengembangkan profesionalitas guru matematika melalui kegiatan workshop penggunaan GeoGebra dalam pembelajaran transformasi geometri SMA.",TRUE,FALSE,Profesionalitas guru|TPACK|transformasi geometri SMA|workshop penggunaan GeoGebra,2019-03-22T16:35:07.770918,NA,NA,,TRUE,accepted,2019-03-22T16:34:36.492881,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d69|Education|Science and Mathematics Education,,2019,https://api.osf.io/v2/preprints/v2ygb/contributors/,https://api.osf.io/v2/preprints/v2ygb/bibliographic_contributors/,v2ygb,preprints,https://api.osf.io/v2/preprints/v2ygb/citation/,NA,https://api.osf.io/v2/preprints/v2ygb/identifiers/,NA,NA,NA,https://api.osf.io/v2/preprints/v2ygb/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/v2ygb/files/,5c94fd332ea47a001c790f6d,files,https://api.osf.io/v2/files/5c94fd332ea47a001c790f6d/,https://api.osf.io/v2/preprints/v2ygb/review_actions/,NA,https://api.osf.io/v2/preprints/v2ygb/requests/,https://api.osf.io/v2/preprints/v2ygb/,https://osf.io/preprints/socarxiv/v2ygb/,https://doi.org/10.31235/osf.io/v2ygb,NA
brwgs,preprints,2019-03-22T15:12:35.462876,2019-03-22T16:34:03.839045,2019-03-22T16:33:35.383520,2019-01-05T17:00:00,NA,Analisis Kesulitan Calon Guru Sekolah Dasar Dalam Menyelesaikan Soal Pemecahan Masalah Matematis Berdasarkan Prosedur Newman,"Tujuan penelitian ini untuk; (1) Memberikan gambaran mengenai profil calon guru Sekolah Dasar dalam pemecahan masalah matematis berdasarkan prosedur Newman; (2) Mendeskripsikan faktor-faktor yang menjadi penyebab mahasiswa mengalami kesulitan dalam setiap langkah pemecahan masalah berdasarkan prosedur Newman; (3) Memaparkan dampak yang ditimbulkan dari kesulitan mahasiswa dalam pemecahan masalah matematis; (4) Menemukan cara yang tepat dalam mengatasi kesalahan mahasiswa dalam pemecahan masalah matematis.Populasi penelitan adalah Mahasiswa Calon Guru Sekolah Dasar Universitas Majalengka. Sampel adalah semester V pada matakuliah Pemecahan Masalah Matematika. Pengambilan data diperoleh dengan pedoman wawancara, lembar observasi mahasiswa dan lembar soal tes untuk melihak kemampuan pemecahan masalah matematis mahasiswa. yang kemudian dianalisis melalui langkah-langkah; (1) Reduksi Data; (2)Penyajian Data; (3) Verifikasi. Hasil penelitian adalah Jenis kesulitan yang dilakukan mahasiswa dalam menyelesaikan soal pemecahan masalah berdasarkan prosedur Newman; (1) Terdapat 33,33% subjek penelitian mengalami jenis kesulitan pada tahap comprehension; (2) Terdapat 16,67% subjek penelitian yang kesulitan pada tahap transformation; (3) Terdapat 16,67% subjek penelitian yang kesulitan pada tahap process skill; (4) Terdapat 16,67% subjek penelitian yang kesulitan pada tahap encoding; (5) terdapat 16,67% subjek penelitian yang tidak menggunakan prosedur Newman dalam menyelesaikan masalahnya.",TRUE,FALSE,Kesulitan Calon Guru SD|Pemecahan masalah matematis|Prosedur Newman,2019-03-22T16:34:03.816142,NA,NA,,TRUE,accepted,2019-03-22T16:33:35.383520,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d69|Education|Science and Mathematics Education,,2019,https://api.osf.io/v2/preprints/brwgs/contributors/,https://api.osf.io/v2/preprints/brwgs/bibliographic_contributors/,brwgs,preprints,https://api.osf.io/v2/preprints/brwgs/citation/,NA,https://api.osf.io/v2/preprints/brwgs/identifiers/,NA,NA,NA,https://api.osf.io/v2/preprints/brwgs/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/brwgs/files/,5c94fb7534062c0019216169,files,https://api.osf.io/v2/files/5c94fb7534062c0019216169/,https://api.osf.io/v2/preprints/brwgs/review_actions/,NA,https://api.osf.io/v2/preprints/brwgs/requests/,https://api.osf.io/v2/preprints/brwgs/,https://osf.io/preprints/socarxiv/brwgs/,https://doi.org/10.31235/osf.io/brwgs,NA
c3va8,preprints,2019-03-22T14:54:08.658706,2020-07-16T13:34:22.081193,2019-03-22T15:05:32.541071,2019-03-22T05:00:00,NA,"Coercion, Construction, and 'ODF paper pe': Swachh Bharat According to Local Officials","The Swachh Bharat Mission has turned out to be a top-down programme in which villagers are often coerced into building latrines, with relatively little focus on latrine use. A field survey challenges the official narrative that the SBM is a ""people's movement"".",TRUE,FALSE,Coercion|Development|India|Sanitation|Social Policy,2019-03-22T15:05:47.787863,NA,NA,,TRUE,accepted,2019-03-22T15:05:32.541071,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d8e|Social and Behavioral Sciences|International and Area Studies|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76ddb|Social and Behavioral Sciences|Public Affairs, Public Policy and Public Administration|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|Social and Behavioral Sciences|Sociology",,2019,https://api.osf.io/v2/preprints/c3va8/contributors/,https://api.osf.io/v2/preprints/c3va8/bibliographic_contributors/,c3va8,preprints,https://api.osf.io/v2/preprints/c3va8/citation/,NA,https://api.osf.io/v2/preprints/c3va8/identifiers/,NA,NA,NA,https://api.osf.io/v2/preprints/c3va8/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/c3va8/files/,5c94f71434062c0019215c05,files,https://api.osf.io/v2/files/5c94f71434062c0019215c05/,https://api.osf.io/v2/preprints/c3va8/review_actions/,NA,https://api.osf.io/v2/preprints/c3va8/requests/,https://api.osf.io/v2/preprints/c3va8/,https://osf.io/preprints/socarxiv/c3va8/,https://doi.org/10.31235/osf.io/c3va8,NA
b8mye,preprints,2019-03-22T13:49:57.874201,2020-07-16T13:34:13.905882,2019-03-26T00:18:04.156134,NA,NA,Analysing elite careers,"In this paper, we propose a methodological framework to analyse cross-sectorial elite career using sequence analysis to identify particular career trajectories. As empirical case, we use 416 members of the Danish power elite, found in the core of the Danish elite networks. We describe how career data can be constructed based on CV’s, how career states can be coded and how sequence analysis in combination with optimal matching and of hierarchical agglomerative clustering can be used to develop typologies of careers.",TRUE,FALSE,careers|cluster analysis|elites|optimal matching|sequence analysis,2019-07-24T23:36:09.149115,NA,NA,,TRUE,accepted,2019-03-26T00:18:04.156134,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80f9c698300375c76e0c|Social and Behavioral Sciences|Social Statistics|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e2c|Social and Behavioral Sciences|Sociology|Methodology|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e35|Social and Behavioral Sciences|Sociology|Inequality, Poverty, and Mobility|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e44|Social and Behavioral Sciences|Sociology|Race, Gender, and Class|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e46|Social and Behavioral Sciences|Sociology|Aging and the Life Course",,2019,https://api.osf.io/v2/preprints/b8mye/contributors/,https://api.osf.io/v2/preprints/b8mye/bibliographic_contributors/,b8mye,preprints,https://api.osf.io/v2/preprints/b8mye/citation/,NA,https://api.osf.io/v2/preprints/b8mye/identifiers/,NA,NA,NA,https://api.osf.io/v2/preprints/b8mye/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/b8mye/files/,5c94e80a34062c0019214677,files,https://api.osf.io/v2/files/5c94e80a34062c0019214677/,https://api.osf.io/v2/preprints/b8mye/review_actions/,NA,https://api.osf.io/v2/preprints/b8mye/requests/,https://api.osf.io/v2/preprints/b8mye/,https://osf.io/preprints/socarxiv/b8mye/,https://doi.org/10.31235/osf.io/b8mye,NA
7m9uv,preprints,2019-03-22T12:51:08.300941,2019-04-08T18:49:49.303079,2019-03-22T13:08:01.914829,2018-11-30T23:00:00,NA,Bystander Intervention in Street Violence: Current Evidence and Implications for Practice,"In street violence, bystanders are a potential resource for crime prevention, as they tend to be present when the police are absent. This paper describes evidence of bystanders taking an active role in the prevention of violence and considers implications for crime prevention initiatives.",TRUE,FALSE,,2019-03-22T13:08:21.613927,NA,NA,,TRUE,accepted,2019-03-22T13:08:01.914829,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e53|Social and Behavioral Sciences|Sociology|Altruism, Morality, and Social Solidarity",Authors,2019,https://api.osf.io/v2/preprints/7m9uv/contributors/,https://api.osf.io/v2/preprints/7m9uv/bibliographic_contributors/,7m9uv,preprints,https://api.osf.io/v2/preprints/7m9uv/citation/,NA,https://api.osf.io/v2/preprints/7m9uv/identifiers/,NA,NA,NA,https://api.osf.io/v2/preprints/7m9uv/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e965/,563c1cf88c5e4a3877f9e965,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/7m9uv/files/,5c94da422ea47a001c78f7ef,files,https://api.osf.io/v2/files/5c94da422ea47a001c78f7ef/,https://api.osf.io/v2/preprints/7m9uv/review_actions/,NA,https://api.osf.io/v2/preprints/7m9uv/requests/,https://api.osf.io/v2/preprints/7m9uv/,https://osf.io/preprints/socarxiv/7m9uv/,https://doi.org/10.31235/osf.io/7m9uv,NA
6u5ha,preprints,2019-03-22T11:40:10.490859,2019-03-22T12:31:21.038736,2019-03-22T12:30:51.264310,2016-01-08T03:00:00,NA,"Arqueología de las ocupaciones prehispánicas en el bosque montano de las cumbres calchaquíes (Anfama, Tucumán)","Las áreas pedemontanas meridionales del Noroeste Argentino han ocupado un lugar marginal en los estudios arqueológicos hasta épocas recientes (Tartusi y Núñez Regueiro 2003), siendo investigadas únicamente en algunos casos excepcionales (Heredia 1975; Berberián et al. 1977). La dificultad de acceso y permanencia en estos espacios, así como las tradiciones disciplinarias orientadas especialmente a otras áreas como los valles intermontanos
o los bolsones puneños, relegaron a los mismos a lugares
pasivos dentro de los procesos de desarrollo histórico y social del NOA. En los últimos años se han iniciado algunos proyectos que están generando datos originales que tienen la posibilidad de transformar radicalmente el
estado de conocimiento sobre las poblaciones que habitaron esta zona y deconstruir las bases de esas apreciaciones apriorísticas que no cuentan
con asidero empírico (Caria 2004; Miguez 2012; Miguez y Caria 2015). Anfama (26°44’10.39”S; 65°35’20.36”O) se emplaza en la vertiente oriental de las Cumbres Calchaquíes (entre 1.300 y 3.000 msnm) en el departamento Tafí Viejo, Noroeste de la Provincia de Tucumán. Esta localidad forma parte de la ecoregión de las Yungas, específicamente de su piso más elevado: el bosque montano. Esta franja altitudinal, lindante con los pastizales de neblina hacia arriba y con la selva montana hacia abajo,
muestra la mayor heterogeneidad estructural dentro de las yungas. La topografía es muy escarpada, combinando quebradas muy profundas, con estrechas zonas de cumbres las cuales son levemente planas y dan asiento
a la mayoría de las estructuras arqueológicas identificadas. En algunos sectores, especialmente en aquellos próximos a los fondos de la cuenca, se extienden terrenos de menores pendientes con mayor depositación de sedimentos.
Esta localidad fue explorada muy tempranamente por Quiroga (1899). Sin embargo, a pesar de estar en un espacio neurálgico que vincula al valle de Tafí con las yungas a través de la Ciénega, Anfama aún permanece
como un ámbito casi desconocido para la arqueología del NOA.
En este contexto, y en el marco de un convenio de trabajo firmado con la Comunidad Indígena del Pueblo Diaguita de Anfama, desde el año 2014 venimos realizando trabajos de prospección, relevamiento y excavaciones en un área que cubre unas 15.000 ha.
En esta comunicación presentamos los resultados de los trabajos realizados entre julio de 2014 y octubre de 2015. Analizamos las distintas modalidades de construcción del paisaje, considerando características superficiales de las ocupaciones y su distribución, y la temporalidad de las mismas, teniendo en cuenta indicadores cronológicos relativos y el primer fechado absoluto para el área de estudio.",TRUE,FALSE,Anfama|Archaeology|Arqueología|Northwestern Argentina|Paisaje|Piedemonte|Primer milenio|temporalidad,2019-03-22T12:31:21.017147,NA,NA,,TRUE,accepted,2019-03-22T12:30:51.264310,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f9c698300375c76df6|5a8c80f9c698300375c76dfb|Social and Behavioral Sciences|Anthropology|Archaeological Anthropology,,2019,https://api.osf.io/v2/preprints/6u5ha/contributors/,https://api.osf.io/v2/preprints/6u5ha/bibliographic_contributors/,6u5ha,preprints,https://api.osf.io/v2/preprints/6u5ha/citation/,NA,https://api.osf.io/v2/preprints/6u5ha/identifiers/,NA,NA,NA,https://api.osf.io/v2/preprints/6u5ha/relationships/node/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/6u5ha/files/,5c94c99f2ea47a001c78ee10,files,https://api.osf.io/v2/files/5c94c99f2ea47a001c78ee10/,https://api.osf.io/v2/preprints/6u5ha/review_actions/,NA,https://api.osf.io/v2/preprints/6u5ha/requests/,https://api.osf.io/v2/preprints/6u5ha/,https://osf.io/preprints/socarxiv/6u5ha/,https://doi.org/10.31235/osf.io/6u5ha,NA
