id,type,attributes.date_created,attributes.date_modified,attributes.date_published,attributes.original_publication_date,attributes.doi,attributes.title,attributes.description,attributes.is_published,attributes.is_preprint_orphan,attributes.tags,attributes.preprint_doi_created,attributes.date_withdrawn,attributes.current_user_permissions,attributes.public,attributes.reviews_state,attributes.date_last_transitioned,attributes.has_coi,attributes.conflict_of_interest_statement,attributes.has_data_links,attributes.why_no_data,attributes.data_links,attributes.has_prereg_links,attributes.why_no_prereg,attributes.prereg_links,attributes.prereg_link_info,attributes.subjects,attributes.withdrawal_justification,attributes.license_record.copyright_holders,attributes.license_record.year,relationships.contributors.links.related.href,relationships.bibliographic_contributors.links.related.href,relationships.citation.links.related.href,relationships.citation.data.id,relationships.citation.data.type,relationships.identifiers.data,relationships.identifiers.links.related.href,relationships.node.links.self.href,relationships.node.links.related.href,relationships.node.data.id,relationships.node.data.type,relationships.license.links.related.href,relationships.license.data.id,relationships.license.data.type,relationships.provider.links.related.href,relationships.provider.data.id,relationships.provider.data.type,relationships.files.data,relationships.files.links.related.href,relationships.primary_file.links.related.href,relationships.primary_file.data.id,relationships.primary_file.data.type,relationships.review_actions.links.related.href,relationships.requests.data,relationships.requests.links.related.href,links.self,links.html,links.doi,links.preprint_doi
nu36j,preprints,2019-03-25T20:52:53.005440,2020-07-16T13:32:46.141010,2019-03-26T00:20:36.845737,2019-02-19T08:00:00,10.3768/rtipress.2018.rr.0033.1902,Alternative and independent: The universe of technology-related “bootcamps”,"In recent years, nontraditional workforce training programs have proliferated inside and outside of traditional post-secondary institutions. A subset of these programs, bootcamps, advertise high job placement rates and have been hailed by policymakers as key to training skilled workers. However, few formal data exist on the number, types, prices, location, or other descriptive details of program offerings. We fill this void by studying the universe of bootcamp programs offered as of June 30, 2017. In this report, we discuss the attributes of the 1,010 technology-related programs offered in the United States, Canada, and online. We find more diversity among bootcamp providers and programs than would be expected from public discourse. This primarily relates to the mode of delivery (online vs. in person), intensity (part time/full time), cost, and program types. Based on the data we collected, we present a classification structure for bootcamps focused on five distinct program types.",TRUE,FALSE,education; alternative postsecondary education; for-profit; STEM education and training,2019-07-24T23:36:15.626470,NA,,TRUE,accepted,2019-03-26T00:20:36.845737,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f6c698300375c76d4e|5a8c80f6c698300375c76d56|Education|Adult and Continuing Education|5a8c80f6c698300375c76d4e|5a8c80f6c698300375c76d5c|Education|Higher Education|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d69|Education|Science and Mathematics Education|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d82|Education|Online and Distance Education|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e24|Social and Behavioral Sciences|Sociology|Sociological Practice and Public Sociology|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e26|Social and Behavioral Sciences|Sociology|Sociology of Education,NA,,2019,https://api.osf.io/v2/preprints/nu36j/contributors/,https://api.osf.io/v2/preprints/nu36j/bibliographic_contributors/,https://api.osf.io/v2/preprints/nu36j/citation/,nu36j,preprints,NA,https://api.osf.io/v2/preprints/nu36j/identifiers/,https://api.osf.io/v2/preprints/nu36j/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/nu36j/files/,https://api.osf.io/v2/files/5c993faef718460019b3ed66/,5c993faef718460019b3ed66,files,https://api.osf.io/v2/preprints/nu36j/review_actions/,NA,https://api.osf.io/v2/preprints/nu36j/requests/,https://api.osf.io/v2/preprints/nu36j/,https://osf.io/preprints/socarxiv/nu36j/,https://doi.org/10.3768/rtipress.2018.rr.0033.1902,https://doi.org/10.31235/osf.io/nu36j
aswz9,preprints,2019-03-25T20:00:19.119219,2019-07-24T23:36:13.885843,2019-03-26T00:19:50.540803,NA,NA,The future of energy: Energy prospects for a budding inter-planetary civilization,"The only prospect for the long-term survival of humankind is space colonization: The establishment of permanent and self-sustaining human habitats beyond Earth. One necessary condition for space colonization is energy. In order to successfully colonize space, future generations will have to have suitable sources of energy at their disposal. In this discussion paper, existing as well as possible future energy sources are analyzed in terms of their utility for space colonization. The conclusion is sobering: Among existing energy sources, Solar power and nuclear fission are most promising. However, without the (rapid) development of space-based Solar power and nuclear fusion technologies, humankind might not be able to sustain extraterrestrial habitats - humankind might go extinct if we do not develop new sources of energy quickly enough. This existential energy challenge is proposed as a novel and general explanation for the Fermi paradox (the apparent absence of technologically advanced intelligence in our galaxy other than humankind).",TRUE,FALSE,energy|existential risks|fission|fusion|future of humankind|nuclear|solar|space colonization,2019-07-24T23:36:13.873173,NA,,TRUE,accepted,2019-03-26T00:19:50.540803,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f2c698300375c76c7d|Arts and Humanities|5a8c80f7c698300375c76d84|Social and Behavioral Sciences,NA,,2019,https://api.osf.io/v2/preprints/aswz9/contributors/,https://api.osf.io/v2/preprints/aswz9/bibliographic_contributors/,https://api.osf.io/v2/preprints/aswz9/citation/,aswz9,preprints,NA,https://api.osf.io/v2/preprints/aswz9/identifiers/,https://api.osf.io/v2/preprints/aswz9/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/aswz9/files/,https://api.osf.io/v2/files/5c993356f718460019b3e75e/,5c993356f718460019b3e75e,files,https://api.osf.io/v2/preprints/aswz9/review_actions/,NA,https://api.osf.io/v2/preprints/aswz9/requests/,https://api.osf.io/v2/preprints/aswz9/,https://osf.io/preprints/socarxiv/aswz9/,NA,https://doi.org/10.31235/osf.io/aswz9
sazxj,preprints,2019-03-25T13:39:16.750884,2020-03-02T09:10:48.110497,2019-03-26T00:19:11.714840,2019-03-20T23:00:00,10.1093/esr/jcz009,The Gender Wage Gap Opens Long before Motherhood. Panel Evidence on Early Careers in Switzerland,"According to a popular argument in economics, the gender wage gap persists not because of employer discrimination against women, but because of the differential investment of fathers and mothers into paid work and the household. We test this argument by comparing the evolution of wages between men and women before the onset of family formation and gendered household specialization. We use a cohort study of young adults for Switzerland (TREE 2000–2014) and match the two sexes on their intellectual ability and educational attainment before they enter the labour market. We then use the ensuing survey waves to account for human capital and job characteristics as well as for values towards work and family. We replicate our analysis with a second panel study of Swiss graduate students. We find in both cohort studies an unexplained gender wage gap of between 3 to 6 percent in favour of men. This result suggests that young women earn lower wages than young men with the same productive characteristics long before they have children. Translated into annual wages, this means that young women lose out on half a monthly wage each year in comparison to young men.",TRUE,FALSE,Early career|Gender Inequality|Gender Wage Gap|Labour market|Switzerland,2019-07-24T23:36:09.022436,NA,,TRUE,accepted,2019-03-26T00:19:11.714840,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dbe|5a8c80f8c698300375c76dc3|Social and Behavioral Sciences|Economics|Labor Economics|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e2d|Social and Behavioral Sciences|Sociology|Economic Sociology|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e44|Social and Behavioral Sciences|Sociology|Race, Gender, and Class|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e49|Social and Behavioral Sciences|Sociology|Sex and Gender",NA,,2019,https://api.osf.io/v2/preprints/sazxj/contributors/,https://api.osf.io/v2/preprints/sazxj/bibliographic_contributors/,https://api.osf.io/v2/preprints/sazxj/citation/,sazxj,preprints,NA,https://api.osf.io/v2/preprints/sazxj/identifiers/,https://api.osf.io/v2/preprints/sazxj/relationships/node/,https://api.osf.io/v2/nodes/cnb4f/,cnb4f,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/sazxj/files/,https://api.osf.io/v2/files/5c98da0c5a0cd30019f41546/,5c98da0c5a0cd30019f41546,files,https://api.osf.io/v2/preprints/sazxj/review_actions/,NA,https://api.osf.io/v2/preprints/sazxj/requests/,https://api.osf.io/v2/preprints/sazxj/,https://osf.io/preprints/socarxiv/sazxj/,https://doi.org/10.1093/esr/jcz009,https://doi.org/10.31235/osf.io/sazxj
u79pg,preprints,2019-03-25T10:25:02.999004,2021-02-04T10:38:37.825684,2019-03-26T19:43:12.060480,2019-03-19T23:00:00,10.1080/19460171.2019.1594328,The Incommensurables: The arduous art of making a regulatory indicator,"The stress test of the European Central Bank has become one of the primary regulatory tools for the European banking system. In order to make such a regulatory indicator, different national banks need to be  made comparable according to a common metric. Despite a substantive literature, little empirical work has been done on the social and political processes through which these indicators are made. We use Actor-Network Theory (ANT) to study how commensuration is negotiated. We find that despite a preference for commensuration, regulators allow ‘incommensurable’ categories to exist because of their unrecognised regulatory benefits.",TRUE,FALSE,Actor-Network Theory (ANT)|capture|commensuration|gaming|Regulatory indicators|transnational knowledge controversies,2019-07-24T23:36:07.922433,NA,,TRUE,accepted,2019-03-26T19:43:12.060480,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80f8c698300375c76daf|5a8c80f8c698300375c76db4|Social and Behavioral Sciences|Political Science|Political Theory|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76ddb|5a8c80f9c698300375c76df1|Social and Behavioral Sciences|Public Affairs, Public Policy and Public Administration|Public Administration",NA,,2019,https://api.osf.io/v2/preprints/u79pg/contributors/,https://api.osf.io/v2/preprints/u79pg/bibliographic_contributors/,https://api.osf.io/v2/preprints/u79pg/citation/,u79pg,preprints,NA,https://api.osf.io/v2/preprints/u79pg/identifiers/,https://api.osf.io/v2/preprints/u79pg/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96c/,563c1cf88c5e4a3877f9e96c,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/u79pg/files/,https://api.osf.io/v2/files/5c98ac8674462c0018aeefd9/,5c98ac8674462c0018aeefd9,files,https://api.osf.io/v2/preprints/u79pg/review_actions/,NA,https://api.osf.io/v2/preprints/u79pg/requests/,https://api.osf.io/v2/preprints/u79pg/,https://osf.io/preprints/socarxiv/u79pg/,https://doi.org/10.1080/19460171.2019.1594328,https://doi.org/10.31235/osf.io/u79pg
nfjb6,preprints,2019-03-25T08:41:19.181697,2020-07-16T13:33:01.640640,2019-03-25T21:22:18.050010,NA,NA,Rinse and repeat: understanding the value of replication across different ways of knowing,"The increasing pursuit of replicable research and actual replication of research is a political project that articulates a very specific technology of accountability for science. This project was initiated in response to concerns about the openness and trustworthiness of science and is applicable and valuable in many fields. Here, we argue that this value cannot be extended everywhere, since the epistemic content of fields, as well as their accountability infrastructures, differ. Furthermore, we argue that there are limits to replicability across all fields; but in some fields, including parts of the humanities, these limits severely undermine the value of replication to account for the value of research.",TRUE,FALSE,accountability|epistemic pluralism|humanities|replicability|replication|reproducibility|reproduction,2019-07-24T23:36:16.903209,NA,,TRUE,accepted,2019-03-25T21:22:18.050010,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f2c698300375c76c7d|5a8c80f5c698300375c76cf4|Arts and Humanities|Philosophy|5a8c80f7c698300375c76d84|5a8c80f9c698300375c76df4|Social and Behavioral Sciences|Science and Technology Studies,NA,,2019,https://api.osf.io/v2/preprints/nfjb6/contributors/,https://api.osf.io/v2/preprints/nfjb6/bibliographic_contributors/,https://api.osf.io/v2/preprints/nfjb6/citation/,nfjb6,preprints,NA,https://api.osf.io/v2/preprints/nfjb6/identifiers/,https://api.osf.io/v2/preprints/nfjb6/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/nfjb6/files/,https://api.osf.io/v2/files/5c98943e74462c0016afb7f5/,5c98943e74462c0016afb7f5,files,https://api.osf.io/v2/preprints/nfjb6/review_actions/,NA,https://api.osf.io/v2/preprints/nfjb6/requests/,https://api.osf.io/v2/preprints/nfjb6/,https://osf.io/preprints/socarxiv/nfjb6/,NA,https://doi.org/10.31235/osf.io/nfjb6
wpesb,preprints,2019-03-23T22:15:12.527049,2019-10-07T02:56:13.516473,2019-03-24T19:07:46.931631,NA,NA,.,,NA,NA,|accreditation|bullying|education|graduate|medical|mistreatment|research|sexual harassment|sexual misconduct|STEM,NA,2019-10-07T02:56:13.001599,,TRUE,withdrawn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5a8c80f0c698300375c76c07|5a8c80f0c698300375c76c0e|Law|Privacy Law|5a8c80f0c698300375c76c07|5a8c80f0c698300375c76c12|Law|Business Organizations Law|5a8c80f0c698300375c76c07|5a8c80f0c698300375c76c15|Law|Science and Technology Law|5a8c80f0c698300375c76c07|5a8c80f0c698300375c76c16|Law|Law and Gender|5a8c80f0c698300375c76c07|5a8c80f0c698300375c76c17|Law|Evidence|5a8c80f0c698300375c76c07|5a8c80f1c698300375c76c25|Law|Education Law|5a8c80f0c698300375c76c07|5a8c80f1c698300375c76c33|Law|Labor and Employment Law|5a8c80f0c698300375c76c07|5a8c80f1c698300375c76c35|Law|Sexuality and the Law|5a8c80f0c698300375c76c07|5a8c80f1c698300375c76c3a|Law|Civil Law|5a8c80f0c698300375c76c07|5a8c80f1c698300375c76c3b|Law|Civil Rights and Discrimination|5a8c80f0c698300375c76c07|5a8c80f1c698300375c76c3d|Law|Dispute Resolution and Arbitration|5a8c80f0c698300375c76c07|5a8c80f1c698300375c76c3e|Law|Constitutional Law|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c52|Law|Criminal Law|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c59|Law|Organizations Law|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c5c|Law|Contracts|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c5e|Law|Law and Race|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c61|Law|Torts|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c6a|Law|First Amendment|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c71|Law|Health Law and Policy|5a8c80f0c698300375c76c07|5a8c80f2c698300375c76c7b|Law|Common Law|5a8c80f2c698300375c76c7d|5a8c80f3c698300375c76c89|Arts and Humanities|Race, Ethnicity and Post-Colonial Studies|5a8c80f2c698300375c76c7d|5a8c80f5c698300375c76d02|Arts and Humanities|Feminist, Gender, and Sexuality Studies|5a8c80f6c698300375c76d4e|5a8c80f6c698300375c76d56|Education|Adult and Continuing Education|5a8c80f6c698300375c76d4e|5a8c80f6c698300375c76d5b|Education|Community College Leadership|5a8c80f6c698300375c76d4e|5a8c80f6c698300375c76d5c|Education|Higher Education|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d62|Education|Student Counseling and Personnel Services|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d68|Education|Educational Leadership|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d69|Education|Science and Mathematics Education|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d6a|Education|Disability and Equity in Education|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d71|Education|Educational Administration and Supervision|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d7a|Education|Teacher Education and Professional Development|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76db8|Social and Behavioral Sciences|Legal Studies|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dd1|Social and Behavioral Sciences|Leadership Studies|5a8c80f7c698300375c76d84|5a8c80f9c698300375c76e1f|Social and Behavioral Sciences|Organization Development","As the author, I request withdrawal. I am being threatened by the administration at Baylor College of Medicine with expulsion if not removed by 5 PM Central Standard Time October 11th 2019. I emailed contact@cos.io on Saturday 10/5/19 asking for info on withdrawal, but found this form. Please include the following metadata only: “Removed at author’s request.”  Separately, to what extent is it possible to remove title and other metadata? Ideally would want to remove all, but please let me know if metadata is permanent. Email is itspronouncedhenner@gmail.com.",Alejandro R. Gener,2019,https://api.osf.io/v2/preprints/wpesb/contributors/,https://api.osf.io/v2/preprints/wpesb/bibliographic_contributors/,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e965/,563c1cf88c5e4a3877f9e965,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,NA,NA,NA,NA,https://api.osf.io/v2/preprints/wpesb/review_actions/,NA,NA,https://api.osf.io/v2/preprints/wpesb/,https://osf.io/preprints/socarxiv/wpesb/,NA,https://doi.org/10.31235/osf.io/wpesb
dy9aw,preprints,2019-03-22T17:19:03.693255,2019-04-02T16:41:03.708119,2019-03-22T19:01:41.325333,NA,NA,Effects of Measurement Error in the American Community Survey on Statistical Analysis: An Example using County and Census Tract Mortality Rates.,"The American Community Survey (ACS) summary file data provide rolling 5-
year estimates of demographic and socioeconomic indicator data for small geographies
throughout the United States. These estimates are commonly used as indicators for
regression models to measure conditions in communities. The Margins of Error (MOE) in
the ACS estimates for small geographic areas can often be very large, and without taking
them into account, regression analyses using them can be mis-specified, leading to bias in
regression coefficients and model standard errors. This paper directly compares
measurement error model specifications to naive model specifications for a mortality
outcome in Texas Census tracts using Bayesian model specializations. The results show
that there is bias in the naive regression model results. We urge users of the ACS
summary file data to be aware of such bias as it can potentially impact interpretation of
model results and hypothesis tests.",TRUE,FALSE,American Community Survey|Bayesian models|Demography|Mortality|Uncertainty,2019-03-22T19:02:03.548878,NA,,TRUE,accepted,2019-03-22T19:01:41.325333,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f9c698300375c76e0c|Social and Behavioral Sciences|Social Statistics,NA,,2019,https://api.osf.io/v2/preprints/dy9aw/contributors/,https://api.osf.io/v2/preprints/dy9aw/bibliographic_contributors/,https://api.osf.io/v2/preprints/dy9aw/citation/,dy9aw,preprints,NA,https://api.osf.io/v2/preprints/dy9aw/identifiers/,https://api.osf.io/v2/preprints/dy9aw/relationships/node/,https://api.osf.io/v2/nodes/etmwz/,etmwz,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96c/,563c1cf88c5e4a3877f9e96c,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/dy9aw/files/,https://api.osf.io/v2/files/5c95190aae813800198cd31f/,5c95190aae813800198cd31f,files,https://api.osf.io/v2/preprints/dy9aw/review_actions/,NA,https://api.osf.io/v2/preprints/dy9aw/requests/,https://api.osf.io/v2/preprints/dy9aw/,https://osf.io/preprints/socarxiv/dy9aw/,NA,https://doi.org/10.31235/osf.io/dy9aw
ar9x6,preprints,2019-03-22T17:10:38.988621,2020-07-16T13:33:31.558459,2019-03-22T19:01:09.085108,NA,10.1007/s13178-019-00389-x,Preventing Intimate Partner Violence among Young People – A Qualitative Study Examining the Role of Comprehensive Sexuality Education,"Comprehensive sexuality education may help prevent intimate partner violence, but few evaluations of sexuality education courses have measured this. Here we explore how such a course that encourages critical reflection about gendered social norms might help prevent partner violence among young people in Mexico. We conducted a longitudinal quasi-experimental study at a state-run technical secondary school in Mexico City, with data collection including in-depth interviews and focus groups with students, teachers and health educators. We found that the course supported both prevention of and response to partner violence among young people. The data suggest the course promoted critical reflection that appeared to lead to changes in beliefs, intentions and behaviors related to gender, sexuality and violence. We identify four elements of the course that seem crucial to preventing partner violence. First, encouraging participants’ reflection about romantic relationships, which helped them question whether jealousy and possessive behaviors are signs of love; second, helping them develop skills to communicate about sexuality, inequitable relationships and reproductive health; third, encouraging care-seeking behavior; and fourth, addressing norms around gender and sexuality, for example demystifying and decreasing discrimination towards sexually diverse populations. The findings reinforce the importance of schools for violence prevention and have implications for educational policy regarding sexuality education. The results suggest that this promising and relatively short-term intervention should be considered as a school-based strategy to prevent and respond to partner violence.",TRUE,FALSE,comprehensive sexuality education|gender norms|intimate partner violence|Mexico|violence prevention|young people,2019-03-22T19:01:22.000897,NA,,TRUE,accepted,2019-03-22T19:01:09.085108,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d96|Social and Behavioral Sciences|Other Social and Behavioral Sciences,NA,,2019,https://api.osf.io/v2/preprints/ar9x6/contributors/,https://api.osf.io/v2/preprints/ar9x6/bibliographic_contributors/,https://api.osf.io/v2/preprints/ar9x6/citation/,ar9x6,preprints,NA,https://api.osf.io/v2/preprints/ar9x6/identifiers/,https://api.osf.io/v2/preprints/ar9x6/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/ar9x6/files/,https://api.osf.io/v2/files/5c951715ae813800178cd351/,5c951715ae813800178cd351,files,https://api.osf.io/v2/preprints/ar9x6/review_actions/,NA,https://api.osf.io/v2/preprints/ar9x6/requests/,https://api.osf.io/v2/preprints/ar9x6/,https://osf.io/preprints/socarxiv/ar9x6/,https://doi.org/10.1007/s13178-019-00389-x,https://doi.org/10.31235/osf.io/ar9x6
85cze,preprints,2019-03-22T15:25:47.109810,2021-04-27T09:03:01.287935,2019-03-22T16:35:44.113473,2021-04-25T22:00:00,10.1093/ser/mwab012,The role of reputation systems in digital discrimination,"Reputation systems are often proposed as the most promising solution to (ethnic) discrimination in online
markets. This claim is based on earlier studies showing that the ethnic gap is smaller for users with reviews than for
users without reviews. Using simulations, we show that this conclusion may be premature, as reviews can only be
written after completed interactions. Hence, initial differences between users in the probability to be selected as transaction partner may accumulate over time, thereby diminishing the potential of reputation systems to decrease
discrimination. We use a unique dataset that contains information on all interactions that ever took place on a peerto-peer motorcycle rental platform to test this hypothesis. We find that per filed request, renters with an ethnic minority background receive fewer reviews than renters with an ethnic majority background with otherwise similar characteristics. Moreover, with time the reputation system does not reduce the initial inequalities between otherwise comparable renters of different ethnicity.",TRUE,FALSE,Discrimination|Ethnicity|Inequality|Information asymmetry|Platform economy|Ratings|Reputation systems|Sharing economy|Uncertainty,2019-03-22T16:36:07.226058,NA,,TRUE,accepted,2019-03-22T16:35:44.113473,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e2d|Social and Behavioral Sciences|Sociology|Economic Sociology,NA,,2019,https://api.osf.io/v2/preprints/85cze/contributors/,https://api.osf.io/v2/preprints/85cze/bibliographic_contributors/,https://api.osf.io/v2/preprints/85cze/citation/,85cze,preprints,NA,https://api.osf.io/v2/preprints/85cze/identifiers/,https://api.osf.io/v2/preprints/85cze/relationships/node/,https://api.osf.io/v2/nodes/493bg/,493bg,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/85cze/files/,https://api.osf.io/v2/files/5c94fe84b23968001a1794ac/,5c94fe84b23968001a1794ac,files,https://api.osf.io/v2/preprints/85cze/review_actions/,NA,https://api.osf.io/v2/preprints/85cze/requests/,https://api.osf.io/v2/preprints/85cze/,https://osf.io/preprints/socarxiv/85cze/,https://doi.org/10.1093/ser/mwab012,https://doi.org/10.31235/osf.io/85cze
v2ygb,preprints,2019-03-22T15:19:59.820802,2019-03-22T16:35:07.816471,2019-03-22T16:34:36.492881,2019-01-05T17:00:00,NA,Pengintegrasian TPACK dalam Pembelajaran  Geometri SMA untuk Mengembangkan Profesionalitas Guru Matematika,"Artikel ini membahas mengenai cara pengintegrasian kerangka Technological, Pedagogical and Content Knowledge (TPACK) dalam pembelajaran transformasi geometri SMA untuk mengembangkan profesionalitas guru matematika. Artikel ini merupakan hasil kajian pustaka dengan sumber kajian berupa artikel jurnal, undang-undang dan laman web yang bertemakan TPACK, Uji Kompetensi Guru (UKG), profesionalitas guru, dan penggunaan GeoGebra dalam pembelajaran. Penulisan artikel ini dilatarbelakangi oleh capaian rata-rata Uji Kompetensi Guru (UKG) pada bidang studi matematika yang mengindikasikan perlu adanya pengembangan profesionalitas guru matematika, terutama pada kompetensi pedagogik dan profesional. Salah satu kerangka yang memfasilitasi pengembangan dua kompetensi tersebut adalah Technological, Pedagogical and Content Knowledge (TPACK). Melalui TPACK, guru matematika diharapkan dapat mengintegrasikan teknologi dalam pembelajaran pada materi matematika yang bersifat abstrak, seperti transformasi geometri. Berdasarkan hasil kajian, pengintegrasian TPACK dapat mengembangkan profesionalitas guru matematika melalui kegiatan workshop penggunaan GeoGebra dalam pembelajaran transformasi geometri SMA.",TRUE,FALSE,Profesionalitas guru|TPACK|transformasi geometri SMA|workshop penggunaan GeoGebra,2019-03-22T16:35:07.770918,NA,,TRUE,accepted,2019-03-22T16:34:36.492881,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d69|Education|Science and Mathematics Education,NA,,2019,https://api.osf.io/v2/preprints/v2ygb/contributors/,https://api.osf.io/v2/preprints/v2ygb/bibliographic_contributors/,https://api.osf.io/v2/preprints/v2ygb/citation/,v2ygb,preprints,NA,https://api.osf.io/v2/preprints/v2ygb/identifiers/,https://api.osf.io/v2/preprints/v2ygb/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/v2ygb/files/,https://api.osf.io/v2/files/5c94fd332ea47a001c790f6d/,5c94fd332ea47a001c790f6d,files,https://api.osf.io/v2/preprints/v2ygb/review_actions/,NA,https://api.osf.io/v2/preprints/v2ygb/requests/,https://api.osf.io/v2/preprints/v2ygb/,https://osf.io/preprints/socarxiv/v2ygb/,NA,https://doi.org/10.31235/osf.io/v2ygb
