id,type,attributes.date_created,attributes.date_modified,attributes.date_published,attributes.original_publication_date,attributes.doi,attributes.title,attributes.description,attributes.is_published,attributes.is_preprint_orphan,attributes.tags,attributes.preprint_doi_created,attributes.date_withdrawn,attributes.current_user_permissions,attributes.public,attributes.reviews_state,attributes.date_last_transitioned,attributes.has_coi,attributes.conflict_of_interest_statement,attributes.has_data_links,attributes.why_no_data,attributes.data_links,attributes.has_prereg_links,attributes.why_no_prereg,attributes.prereg_links,attributes.prereg_link_info,attributes.subjects,attributes.withdrawal_justification,attributes.license_record.copyright_holders,attributes.license_record.year,relationships.contributors.links.related.href,relationships.bibliographic_contributors.links.related.href,relationships.citation.links.related.href,relationships.citation.data.id,relationships.citation.data.type,relationships.identifiers.data,relationships.identifiers.links.related.href,relationships.node.links.related.href,relationships.node.links.self.href,relationships.node.data.id,relationships.node.data.type,relationships.license.links.related.href,relationships.license.data.id,relationships.license.data.type,relationships.provider.links.related.href,relationships.provider.data.id,relationships.provider.data.type,relationships.files.data,relationships.files.links.related.href,relationships.primary_file.links.related.href,relationships.primary_file.data.id,relationships.primary_file.data.type,relationships.review_actions.links.related.href,relationships.requests.data,relationships.requests.links.related.href,links.self,links.html,links.preprint_doi,links.doi
253vc,preprints,2017-03-10T14:57:26.475000,2019-03-20T13:57:00.571853,2017-03-10T15:02:13.097000,NA,NA,"The invention, transmission and evolution of writing: Insights from the new scripts of West Africa","West Africa is a fertile zone for the invention of new scripts. As many as 20 have been devised since the 1830s (Dalby 1967, 1968, 1969, inter alia) including one created as recently as 2002 (Mbaye 2011). Talented individuals with no formal literacy are likely to have invented at least three of these scripts, suggesting that they had reverse-engineered the ‘idea of writing’ on the same pattern as the Cherokee script, i.e. with minimal external input. Influential scholars like Edward Tylor, A. L. Kroeber and I. J. Gelb were to approach West African scripts as naturalistic experiments in which the variable of explicit literacy instruction was eliminated. Thus, writing systems such as Vai and Bamum were invoked as productive models for theorising the dynamics of cultural evolution (Tylor [1865] 1878, Gelb [1952] 1963), the diffusion of novel technologies (Kroeber 1940), the acquisition of literacy (Forbes 1850, Migeod 1911, Scribner and Cole 1981) the cognitive processing of language (Kroeber 1940, Gelb [1952] 1963), and the evolution of writing itself (Gelb [1952] 1963; Dalby 1967, 2). This paper revisits the three West African scripts that are known to have been devised by non-literates. By comparing the linguistic, semiotic and sociohistorical contexts of each known case I suggest various circumstances that may have favoured their invention, transmission and diffusion. I argue that while the originators of scripts drew inspiration from known systems such as Roman and Arabic, they are likely to have drawn on indigenous pictorial culture and annotation systems to develop their own scripts. Once established, their creations were used to circumscribe an alternative politico-religious discourse in direct opposition to the discourses of colonial administrations. The appeal of these scripts were thus tied more to their relative indexical power than their apparent technological or cognitive advantages. Just as earlier theorists imagined, I contend that West African scripts do have the potential to illuminate historical processes of creativity, transmission and evolution, but only when local particularities are given due consideration.",TRUE,FALSE,cultural transmission|evolution|graphic codes|Liberia|Vai|West Africa,2018-07-02T10:45:06.311574,NA,,TRUE,accepted,2017-03-10T15:02:13.097000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f2c698300375c76c7d|5a8c80f3c698300375c76c99|Arts and Humanities|African Languages and Societies|5a8c80f7c698300375c76d84|5a8c80f9c698300375c76df6|5a8c80f9c698300375c76df9|Social and Behavioral Sciences|Anthropology|Linguistic Anthropology,NA,,2017,https://api.osf.io/v2/preprints/253vc/contributors/,https://api.osf.io/v2/preprints/253vc/bibliographic_contributors/,https://api.osf.io/v2/preprints/253vc/citation/,253vc,preprints,NA,https://api.osf.io/v2/preprints/253vc/identifiers/,https://api.osf.io/v2/nodes/ggybv/,https://api.osf.io/v2/preprints/253vc/relationships/node/,ggybv,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/253vc/files/,https://api.osf.io/v2/files/58c2becf9ad5a1004c56d95c/,58c2becf9ad5a1004c56d95c,files,https://api.osf.io/v2/preprints/253vc/review_actions/,NA,https://api.osf.io/v2/preprints/253vc/requests/,https://api.osf.io/v2/preprints/253vc/,https://osf.io/preprints/socarxiv/253vc/,https://doi.org/10.31235/osf.io/253vc,NA
46xby,preprints,2017-03-09T19:39:19.738000,2018-07-02T10:45:15.414438,2017-03-09T19:48:25.544000,NA,10.1016/j.jeem.2016.09.009,Domestic politics and the formation of international environmental agreements,"We investigate the effect of domestic politics on international environmental policy by incorporating into a classic stage game of coalition formation the phenomenon of lobbying by special-interest groups. In doing so, we contribute to the theory of international environmental agreements, which has overwhelmingly assumed that governments make decisions based on a single set of public-interest motivations. Our results suggest that lobbying on emissions may affect the size of the stable coalition in counterintuitive ways. In particular, a powerful business lobby may increase the government's incentives to sign an agreement, by providing it with strong bargaining power with respect to that lobby at the emission stage. This would result in lower total emissions when the number of countries involved is not too large. We also show that things change radically when lobbying bears directly on the membership decisions, suggesting that both the object and timing of lobbying matter for the way in which membership decisions, emissions and welfare are affected.",TRUE,FALSE,Game theory|International Environmental Agreements|lobbying|special-interest groups,2018-07-02T10:45:15.381510,NA,,TRUE,accepted,2017-03-09T19:48:25.544000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dbe|5a8c80f8c698300375c76dc0|Social and Behavioral Sciences|Economics|Political Economy|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dbe|5a8c80f8c698300375c76dce|Social and Behavioral Sciences|Economics|Public Economics,NA,,2017,https://api.osf.io/v2/preprints/46xby/contributors/,https://api.osf.io/v2/preprints/46xby/bibliographic_contributors/,https://api.osf.io/v2/preprints/46xby/citation/,46xby,preprints,NA,https://api.osf.io/v2/preprints/46xby/identifiers/,https://api.osf.io/v2/nodes/qvqqq/,https://api.osf.io/v2/preprints/46xby/relationships/node/,qvqqq,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96c/,563c1cf88c5e4a3877f9e96c,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/46xby/files/,https://api.osf.io/v2/files/58c1af5eb83f690042a3f119/,58c1af5eb83f690042a3f119,files,https://api.osf.io/v2/preprints/46xby/review_actions/,NA,https://api.osf.io/v2/preprints/46xby/requests/,https://api.osf.io/v2/preprints/46xby/,https://osf.io/preprints/socarxiv/46xby/,https://doi.org/10.31235/osf.io/46xby,https://doi.org/10.1016/j.jeem.2016.09.009
zruy4,preprints,2017-03-09T15:12:12.191000,2018-07-02T10:55:06.761551,2017-03-09T15:13:54.314000,NA,10.1086/669991,In Living Color: Crystal Bridges and its American Color Plate Collection,"Since opening, Crystal Bridges has generated a great deal of interest from the public and cultural institutions. From the construction of a 185,000 square foot facility in the bottom of a ravine, to the much-discussed art acquisitions and features in national media, this attention is hardly surprising. However, beyond the building and the art, Crystal Bridges also has an art research library with many rare books and the most important collection of American color printed books in North America. These diverse resources presented unique challenges to the librarians, as well as to the cataloger, specifically in accurately researching and describing these significant items.",TRUE,FALSE,,2018-07-02T10:55:06.751827,NA,,TRUE,accepted,2017-03-09T15:13:54.314000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dd4|5a8c80f8c698300375c76dd7|Social and Behavioral Sciences|Library and Information Science|Cataloging and Metadata,NA,,2017,https://api.osf.io/v2/preprints/zruy4/contributors/,https://api.osf.io/v2/preprints/zruy4/bibliographic_contributors/,https://api.osf.io/v2/preprints/zruy4/citation/,zruy4,preprints,NA,https://api.osf.io/v2/preprints/zruy4/identifiers/,https://api.osf.io/v2/nodes/gv5vq/,https://api.osf.io/v2/preprints/zruy4/relationships/node/,gv5vq,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/zruy4/files/,https://api.osf.io/v2/files/58c170c36c613b02213d2cf3/,58c170c36c613b02213d2cf3,files,https://api.osf.io/v2/preprints/zruy4/review_actions/,NA,https://api.osf.io/v2/preprints/zruy4/requests/,https://api.osf.io/v2/preprints/zruy4/,https://osf.io/preprints/socarxiv/zruy4/,https://doi.org/10.31235/osf.io/zruy4,https://doi.org/10.1086/669991
4sys8,preprints,2017-03-09T12:19:03.586000,2018-07-02T10:45:19.028658,2017-03-09T12:27:56.751000,NA,10.1093/notesj/gjw239,Beryl Smalley to R.W. Hunt on the Significance of Alexander Neckam,An explanation of R.W. Hunt's delay to publish his influential 1936 doctoral thesis and its relationship to the 1984 book 'The Schools and the Cloister'. Includes the text of an unpublished letter from Beryl Smalley (13 July 1960) on the importance of Alexander Neckam.,TRUE,FALSE,Alexander Neckam|biblical commentaries|encyclopedias|scholarship|Victorines,2018-07-02T10:45:19.016841,NA,,TRUE,accepted,2017-03-09T12:27:56.751000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f2c698300375c76c7d|5a8c80f4c698300375c76ccc|5a8c80f4c698300375c76cd1|Arts and Humanities|History|Intellectual History|5a8c80f2c698300375c76c7d|5a8c80f4c698300375c76ccc|5a8c80f4c698300375c76cdb|Arts and Humanities|History|Medieval History|5a8c80f2c698300375c76c7d|5a8c80f6c698300375c76d21|Arts and Humanities|Medieval Studies,NA,Andrew Dunning,2016,https://api.osf.io/v2/preprints/4sys8/contributors/,https://api.osf.io/v2/preprints/4sys8/bibliographic_contributors/,https://api.osf.io/v2/preprints/4sys8/citation/,4sys8,preprints,NA,https://api.osf.io/v2/preprints/4sys8/identifiers/,https://api.osf.io/v2/nodes/uvcmy/,https://api.osf.io/v2/preprints/4sys8/relationships/node/,uvcmy,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e965/,563c1cf88c5e4a3877f9e965,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/4sys8/files/,https://api.osf.io/v2/files/58c1482d9ad5a10200d6fd1b/,58c1482d9ad5a10200d6fd1b,files,https://api.osf.io/v2/preprints/4sys8/review_actions/,NA,https://api.osf.io/v2/preprints/4sys8/requests/,https://api.osf.io/v2/preprints/4sys8/,https://osf.io/preprints/socarxiv/4sys8/,https://doi.org/10.31235/osf.io/4sys8,https://doi.org/10.1093/notesj/gjw239
wvyhh,preprints,2017-03-09T11:44:27.469000,2018-07-02T10:53:49.819375,2017-03-09T11:57:18.620000,NA,NA,John Lakenheath's rearrangement of the archives of Bury St Edmunds Abbey,"John Lakenheath (d. 1381) was a monk and administrator of the estates of Bury St Edmunds Abbey. He reorganized its archives in 1378–81, still in disorder after it was sacked by the townspeople in 1327. This culminated in the 'Lakenheath Registry' (London, British Library, Harley MS 743), an indexed directory of the Bury charters created in 1379–81. His preface to this book explains the archive's mode of operation, and is here printed for the first time and translated.",TRUE,FALSE,archives|Bury St Edmunds Abbey|diplomatics|Harley MS 743|indexing|manorial administration|Peasants' Revolt,2018-07-02T10:53:49.803549,NA,,TRUE,accepted,2017-03-09T11:57:18.620000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f2c698300375c76c7d|5a8c80f4c698300375c76ccc|5a8c80f4c698300375c76cdb|Arts and Humanities|History|Medieval History|5a8c80f2c698300375c76c7d|5a8c80f6c698300375c76d21|Arts and Humanities|Medieval Studies,NA,Andrew Dunning,2017,https://api.osf.io/v2/preprints/wvyhh/contributors/,https://api.osf.io/v2/preprints/wvyhh/bibliographic_contributors/,https://api.osf.io/v2/preprints/wvyhh/citation/,wvyhh,preprints,NA,https://api.osf.io/v2/preprints/wvyhh/identifiers/,https://api.osf.io/v2/nodes/rr4hf/,https://api.osf.io/v2/preprints/wvyhh/relationships/node/,rr4hf,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e965/,563c1cf88c5e4a3877f9e965,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/wvyhh/files/,https://api.osf.io/v2/files/58c1401b6c613b02213d2c5d/,58c1401b6c613b02213d2c5d,files,https://api.osf.io/v2/preprints/wvyhh/review_actions/,NA,https://api.osf.io/v2/preprints/wvyhh/requests/,https://api.osf.io/v2/preprints/wvyhh/,https://osf.io/preprints/socarxiv/wvyhh/,https://doi.org/10.31235/osf.io/wvyhh,NA
r3d5m,preprints,2017-03-09T09:27:02.303000,2019-08-29T20:05:16.646680,2017-03-09T09:32:44.588000,NA,NA,"“Do Not Cross Your Legs:” Islamic Sociability, Reciprocity and Brotherhood in Turkey","Based on intense fieldwork inside on Islamic community in Istanbul, the paper explores the way Islamic sociability forms structure daily interactions and foster connectedeness into religious brotherhood herein. In a counterweight to what I see as an excess of emphasis that recent trends in the Anthropology of Islam have put on notions of Islamic discipline and ethical self-fashioning, I offer an alternative perspective from which to look at how devout Muslims experience Islam and come to inhabit particular conceptions of self and personhood.",NA,NA,community|embodiment|Islam|selfhood|sociability,NA,2019-08-29T20:05:16.435924,,TRUE,withdrawn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5a8c80f2c698300375c76c7d|Arts and Humanities|5a8c80f7c698300375c76d84|5a8c80f9c698300375c76df6|5a8c80f9c698300375c76dfa|Social and Behavioral Sciences|Anthropology|Social and Cultural Anthropology|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e26|Social and Behavioral Sciences|Sociology|Sociology of Education|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e31|Social and Behavioral Sciences|Sociology|Sociology of Religion|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e34|Social and Behavioral Sciences|Sociology|Communication, Information Technologies, and Media Sociology|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e51|Social and Behavioral Sciences|Sociology|Culture",Thank you for clarifying the copyright status of the paper.,,2017,https://api.osf.io/v2/preprints/r3d5m/contributors/,https://api.osf.io/v2/preprints/r3d5m/bibliographic_contributors/,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96c/,563c1cf88c5e4a3877f9e96c,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,NA,NA,NA,NA,https://api.osf.io/v2/preprints/r3d5m/review_actions/,NA,NA,https://api.osf.io/v2/preprints/r3d5m/,https://osf.io/preprints/socarxiv/r3d5m/,https://doi.org/10.31235/osf.io/r3d5m,NA
dsgrk,preprints,2017-03-09T04:29:09.110000,2018-07-02T10:48:33.215058,2017-03-09T04:31:45.620000,NA,NA,Investigating the Difference in Policy Responses to the 2004 and 2005 Hurricane Seasons and Homeowner Insurance Crises in Florida and Louisiana,"In 2004 and 2005, a series of hurricanes caused record homeowner insurance losses in Florida and Louisiana. Despite comparably sized losses, the two states responded differently to these shocks. Florida expanded state subsidized homeowner insurance, breaking from a free market response, whereas Louisiana actively promoted private market supply. Comparing the two policy processes reveals that the politics and transformation of homeowner insurance evoked by extreme weather events depend on how concentrated the hurricane impact is and whether it effectively mobilizes homeowners into electoral politics. The broader distribution of losses in Florida prompted homeowners to exert sufficient electoral pressure to influence policy responses, fostering political dynamics emphasized by interest group theories of policy, and a break from the market. The more concentrated hurricane impact in Louisiana blocked homeowners from doing the same, leaving Louisiana’s policymakers free to draw on the institutionalized free-market logic to guide their response to hurricane damages and producing trajectories expected by structural-class theories. The findings highlight the contingency of different approaches to the politics of markets and policy, suggesting that the dynamics proposed by the two theories depend on the distribution and political impact of the problems and shocks involved.",TRUE,FALSE,Climate Change|Economic Sociology|Financial Policy|Hurricane|Insurance|Natural Disaster|Policy Change|Political Economy,2018-07-02T10:48:33.199500,NA,,TRUE,accepted,2017-03-09T04:31:45.620000,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e2d|Social and Behavioral Sciences|Sociology|Economic Sociology|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e38|Social and Behavioral Sciences|Sociology|Organizations, Occupations, and Work|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e48|Social and Behavioral Sciences|Sociology|Labor and Labor Movements",NA,,2017,https://api.osf.io/v2/preprints/dsgrk/contributors/,https://api.osf.io/v2/preprints/dsgrk/bibliographic_contributors/,https://api.osf.io/v2/preprints/dsgrk/citation/,dsgrk,preprints,NA,https://api.osf.io/v2/preprints/dsgrk/identifiers/,https://api.osf.io/v2/nodes/p6wgp/,https://api.osf.io/v2/preprints/dsgrk/relationships/node/,p6wgp,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96c/,563c1cf88c5e4a3877f9e96c,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/dsgrk/files/,https://api.osf.io/v2/files/5892a765594d9001faed222f/,5892a765594d9001faed222f,files,https://api.osf.io/v2/preprints/dsgrk/review_actions/,NA,https://api.osf.io/v2/preprints/dsgrk/requests/,https://api.osf.io/v2/preprints/dsgrk/,https://osf.io/preprints/socarxiv/dsgrk/,https://doi.org/10.31235/osf.io/dsgrk,NA
4g93x,preprints,2017-03-08T22:05:03.721000,2018-07-02T10:45:18.501493,2017-03-08T22:07:05.993000,NA,10.1080/01639374.2014.971997,A Process for Original Cataloging of Theses and Dissertations,"The purpose of this paper is to describe the reasoning, methodology, and impact behind a semi-automated cataloging process for electronic theses and dissertations, including explanations of the importance of retention and addition of cataloger created metadata. The authors explain an automated process that is generated by ProQuest and student entered data, and also the addition of metadata including the subject headings, classification number, etc. The study includes a survey of the public service librarians’ perceived usefulness of the cataloger and ProQuest generated metadata to describe theses and dissertations.",TRUE,FALSE,,2018-07-02T10:45:18.489239,NA,,TRUE,accepted,2017-03-08T22:07:05.993000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dd4|5a8c80f8c698300375c76dd7|Social and Behavioral Sciences|Library and Information Science|Cataloging and Metadata,NA,,2017,https://api.osf.io/v2/preprints/4g93x/contributors/,https://api.osf.io/v2/preprints/4g93x/bibliographic_contributors/,https://api.osf.io/v2/preprints/4g93x/citation/,4g93x,preprints,NA,https://api.osf.io/v2/preprints/4g93x/identifiers/,https://api.osf.io/v2/nodes/5bspf/,https://api.osf.io/v2/preprints/4g93x/relationships/node/,5bspf,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/4g93x/files/,https://api.osf.io/v2/files/58c080076c613b02243d2b78/,58c080076c613b02243d2b78,files,https://api.osf.io/v2/preprints/4g93x/review_actions/,NA,https://api.osf.io/v2/preprints/4g93x/requests/,https://api.osf.io/v2/preprints/4g93x/,https://osf.io/preprints/socarxiv/4g93x/,https://doi.org/10.31235/osf.io/4g93x,https://doi.org/10.1080/01639374.2014.971997
5bxyt,preprints,2017-03-08T11:59:12.549000,2018-07-02T10:46:24.295628,2017-03-08T12:05:53.218000,NA,10.3726/978-3-0352-6299-5,"Doja, Albert (2013) Invitation au terrain: Mémoire personnel de la construction du projet socio-anthropologique, Bruxelles: Peter Lang. doi:10.3726/978-3-0352-6299-5.","De l’organisation sociale aux discours et pratiques qui construisent la notion de personne chez les Albanais, en passant par les relations interethniques et les dynamiques interculturelles des valeurs morales dans l’ensemble des Balkans, l’auteur trace le parcours de ses recherches sur les processus symboliques qui structurent les identités sociales, les relations de parenté et de genre, ainsi que les idéologies nationales des cultures, des religions et des langages. Méthodologiquement, s’il a dû s’abstraire de sa propre société et s’en détacher complètement pour pouvoir l’étudier, comme socio-anthropologue, il a dû faire un effort supplémentaire: après en sortir, il a dû y entrer à nouveau afin de la re–connaître et l’expliquer socio-anthropologiquement. À ce niveau, l’expérience transculturelle souligne une conversion des complications et des incertitudes du travail de terrain ethnographique vers la stabilité relative de la connaissance socio-anthropologique. L’objectivité expérientielle d’une telle démarche permet de comprendre de façon plus intime la réalité qualitative exprimée dans les frontières symboliques des identités locales, dans une aire culturelle définie comme un champ composite et instructif. En définitive, si la construction identitaire et la dynamique interculturelle sont importantes, une meilleure appréhension plus précise et plus rigoureuse de la totalité sociale est obtenue via une nouvelle méthodologie permettant de construire un meilleur modèle d’explication théorique.",TRUE,FALSE,,2018-07-02T10:46:24.286842,NA,,TRUE,accepted,2017-03-08T12:05:53.218000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f2c698300375c76c7d|5a8c80f3c698300375c76c92|Arts and Humanities|European Languages and Societies|5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d8e|5a8c80f7c698300375c76d91|Social and Behavioral Sciences|International and Area Studies|Eastern European Studies|5a8c80f7c698300375c76d84|5a8c80f9c698300375c76df6|5a8c80f9c698300375c76dfa|Social and Behavioral Sciences|Anthropology|Social and Cultural Anthropology,NA,,2017,https://api.osf.io/v2/preprints/5bxyt/contributors/,https://api.osf.io/v2/preprints/5bxyt/bibliographic_contributors/,https://api.osf.io/v2/preprints/5bxyt/citation/,5bxyt,preprints,NA,https://api.osf.io/v2/preprints/5bxyt/identifiers/,https://api.osf.io/v2/nodes/y3te5/,https://api.osf.io/v2/preprints/5bxyt/relationships/node/,y3te5,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96c/,563c1cf88c5e4a3877f9e96c,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/5bxyt/files/,https://api.osf.io/v2/files/58bff2096c613b021f3d2a14/,58bff2096c613b021f3d2a14,files,https://api.osf.io/v2/preprints/5bxyt/review_actions/,NA,https://api.osf.io/v2/preprints/5bxyt/requests/,https://api.osf.io/v2/preprints/5bxyt/,https://osf.io/preprints/socarxiv/5bxyt/,https://doi.org/10.31235/osf.io/5bxyt,https://doi.org/10.3726/978-3-0352-6299-5
rxk4r,preprints,2017-03-08T09:29:00.419000,2018-07-02T10:52:06.452078,2017-03-08T09:34:30.045000,NA,NA,"Smart cities, urban technocrats, epistemic communities and advocacy coalitions","In this paper, we argue that the ideas, ideals and the rapid proliferation of smart city rhetoric and initiatives globally have been facilitated and promoted by three inter-related communities. A new set of ‘urban technocrats’ – chief innovation/technology/data officers, project managers, consultants, designers, engineers, change-management civil servants, and academics – many of which have become embedded in city administrations.  A smart cities ‘epistemic community’; that is, a network of knowledge and policy experts that share a worldview and a common set of normative beliefs, values and practices with respect to addressing urban issues, and work to help decision-makers identify and deploy technological solutions to solve city problems.  A wider ‘advocacy coalition’ of smart city stakeholders and vested interests who collaborate to promote the uptake and embedding of a smart city approach to urban management and governance.  We examine the roles of new urban technocrats and the multiscale formation and operation of a smart cities epistemic community and advocacy coalitions, detailing a number of institutional networks at global, supra-national, national, and local scales. In the final section, we consider the translation of the ideas and practices of the smart city into the policies and work of city administrations. In particular, we consider what might be termed the ‘last mile problem’ and the reasons why, despite a vast and active set of technocrats and epistemic community and advocacy coalition, smart city initiatives are yet to become fully mainstreamed and the smart city mission successfully realized in cities across the globe. We illustrate this last mile problem through a discussion of plans to introduce smart lighting in Dublin.",TRUE,FALSE,advocacy coalition|city administration|epistemic community|smart cities|smart lighting|technocrats|urban governance,2018-07-02T10:52:06.440935,NA,,TRUE,accepted,2017-03-08T09:34:30.045000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d86|5a8c80f7c698300375c76d89|Social and Behavioral Sciences|Geography|Human Geography|5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d97|Social and Behavioral Sciences|Urban Studies and Planning,NA,,2017,https://api.osf.io/v2/preprints/rxk4r/contributors/,https://api.osf.io/v2/preprints/rxk4r/bibliographic_contributors/,https://api.osf.io/v2/preprints/rxk4r/citation/,rxk4r,preprints,NA,https://api.osf.io/v2/preprints/rxk4r/identifiers/,https://api.osf.io/v2/nodes/aqak7/,https://api.osf.io/v2/preprints/rxk4r/relationships/node/,aqak7,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96c/,563c1cf88c5e4a3877f9e96c,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,NA,https://api.osf.io/v2/preprints/rxk4r/files/,https://api.osf.io/v2/files/58bfced3b83f6902001a5293/,58bfced3b83f6902001a5293,files,https://api.osf.io/v2/preprints/rxk4r/review_actions/,NA,https://api.osf.io/v2/preprints/rxk4r/requests/,https://api.osf.io/v2/preprints/rxk4r/,https://osf.io/preprints/socarxiv/rxk4r/,https://doi.org/10.31235/osf.io/rxk4r,NA
