id,submitted,updated,title,abstract,authors,affiliations,link_abstract,link_pdf,link_doi,comment,journal_ref,doi,primary_category,categories,article,is_open_data,open_data_category,is_open_code,open_data_statements,open_code_statements
1911.11851v1,2019-11-25T07:57:00Z,2019-11-25T07:57:00Z,"Space-Ground Coherent Optical links: Ground Receiver Performance With
  Adaptive Optics and Digital Phase-Locked Loop","In the framework of optical high data rate satellite-to-ground links, we
investigate the performance of a coherent receiver which combines an adaptive
optics system and a digital carrier synchronization technique. We propose a
digital carrier synchronization system based on a phase-locked loop and use
end-to-end simulations to characterize the impact of the atmospheric turbulence
in the case of a representative low Earth orbit satellite-to-ground
transmission link. The results show that classical digital phase-locked loop
techniques can be a reliable solution to accurately compensate for the Doppler
frequency shift between the incoming signal and the local oscillator at the
ground station, in the presence of a preliminary coarse frequency estimation.
Adaptive optics compensation enables the loop to lock after a few milliseconds
and to accurately track the phase fluctuations. The bit-error-rate performance
is not degraded by the digital loop but suffers from the residual signal
amplitude fluctuations.
",Laurie Paillier|Raphaël Le Bidan|Jean-Marc Conan|Géraldine Artaud|Nicolas Védrenne|Yves Jaouën,NA,http://arxiv.org/abs/1911.11851v1,http://arxiv.org/pdf/1911.11851v1,http://dx.doi.org/10.1109/JLT.2020.3003561,"10 pages 15 figures. The article is submitted to ""Journal of
  Lightwave Technology"" but is still under review",NA,10.1109/JLT.2020.3003561,eess.SP,eess.SP,1911.11851v1.txt,0,,0,,
1909.11670v2,2019-09-25T18:00:01Z,2019-10-11T19:20:45Z,"Probing the Higgs Portal at the Fermilab Short-Baseline Neutrino
  Experiments","The Fermilab Short-Baseline Neutrino (SBN) experiments, MicroBooNE, ICARUS,
and SBND, are expected to have significant sensitivity to light weakly coupled
hidden sector particles. Here we study the capability of the SBN experiments to
probe dark scalars interacting through the Higgs portal. We investigate
production of dark scalars using both the Fermilab Booster 8 GeV and NuMI 120
GeV proton beams, simulating kaons decaying to dark scalars and taking into
account the beamline geometry. We also investigate strategies to mitigate
backgrounds from beam-related neutrino scattering events. We find that SBND,
with its comparatively short ${\cal O}(100\ {\rm m})$ baseline, will have the
best sensitivity to scalars produced with Booster, while ICARUS, with its large
detector volume, will provide the best limits on off-axis dark scalar
production from NuMI. The SBN experiments can provide leading tests of dark
scalars with masses in the 50 - 350 MeV range in the near term. Our results
motivate dedicated experimental searches for dark scalars and other long-lived
hidden sector states at these experiments.
",Brian Batell|Joshua Berger|Ahmed Ismail,NA,http://arxiv.org/abs/1909.11670v2,http://arxiv.org/pdf/1909.11670v2,http://dx.doi.org/10.1103/PhysRevD.100.115039,"34 pages, 16 figures, updated references","Phys. Rev. D 100, 115039 (2019)",10.1103/PhysRevD.100.115039,hep-ph,hep-ph|hep-ex,1909.11670v2.txt,0,,0,,
1912.01759v3,2019-12-04T01:24:14Z,2020-10-20T16:26:08Z,"The Potential of Quantum Annealing for Rapid Solution Structure
  Identification","The recent emergence of novel computational devices, such as quantum
computers, coherent Ising machines, and digital annealers presents new
opportunities for hardware-accelerated hybrid optimization algorithms.
Unfortunately, demonstrations of unquestionable performance gains leveraging
novel hardware platforms have faced significant obstacles. One key challenge is
understanding the algorithmic properties that distinguish such devices from
established optimization approaches. Through the careful design of contrived
optimization tasks, this work provides new insights into the computation
properties of quantum annealing and suggests that this model has the potential
to quickly identify the structure of high-quality solutions. A meticulous
comparison to a variety of algorithms spanning both complete and local search
suggests that quantum annealing's performance on the proposed optimization
tasks is distinct. This result provides new insights into the time scales and
types of optimization problems where quantum annealing has the potential to
provide notable performance gains over established optimization algorithms and
suggests the development of hybrid algorithms that combine the best features of
quantum annealing and state-of-the-art classical approaches.
",Yuchen Pang|Carleton Coffrin|Andrey Y. Lokhov|Marc Vuffray,NA,http://arxiv.org/abs/1912.01759v3,http://arxiv.org/pdf/1912.01759v3,NA,minor revisions to the text,NA,NA,math.OC,math.OC|quant-ph,1912.01759v3.txt,0,,1,,quantum annealing for rapid solution structure identification  23  b reference implementations b.1 d-wave instance generator (dwig) the problems considered in this work were generated with the open-source d-wave instance generator tool which is available at https://github.com/lanl-ansi/dwig.;     b.2 ising model optimization methods the problems considered in this work were solved with the open-source ising-solvers scripts that are available at https://github.com/lanl-ansi/ising-solvers.
1906.11158v1,2019-06-26T15:20:46Z,2019-06-26T15:20:46Z,"Discrete-time autoregressive model for unequally spaced time-series
  observations","Most time-series models assume that the data come from observations that are
equally spaced in time. However, this assumption does not hold in many diverse
scientific fields, such as astronomy, finance, and climatology, among others.
There are some techniques that fit unequally spaced time series, such as the
continuous-time autoregressive moving average (CARMA) processes. These models
are defined as the solution of a stochastic differential equation. It is not
uncommon in astronomical time series, that the time gaps between observations
are large. Therefore, an alternative suitable approach to modeling astronomical
time series with large gaps between observations should be based on the
solution of a difference equation of a discrete process. In this work we
propose a novel model to fit irregular time series called the complex irregular
autoregressive (CIAR) model that is represented directly as a discrete-time
process. We show that the model is weakly stationary and that it can be
represented as a state-space system, allowing efficient maximum likelihood
estimation based on the Kalman recursions. Furthermore, we show via Monte Carlo
simulations that the finite sample performance of the parameter estimation is
accurate. The proposed methodology is applied to light curves from periodic
variable stars, illustrating how the model can be implemented to detect poor
adjustment of the harmonic model. This can occur when the period has not been
accurately estimated or when the variable stars are multiperiodic. Last, we
show how the CIAR model, through its state space representation, allows
unobserved measurements to be forecast.
",Felipe Elorrieta|Susana Eyheramendy|Wilfredo Palma,NA,http://arxiv.org/abs/1906.11158v1,http://arxiv.org/pdf/1906.11158v1,http://dx.doi.org/10.1051/0004-6361/201935560,"12 pages, 8 figures, 1 table. Accepted for publication in Astronomy &
  Astrophysics","A&A 627, A120 (2019)",10.1051/0004-6361/201935560,astro-ph.IM,astro-ph.IM|stat.AP,1906.11158v1.txt,0,,0,,
1904.10771v3,2019-04-24T12:39:25Z,2019-08-16T15:02:55Z,"Homomorphisms of matrix algebras and constructions of Butson-Hadamard
  matrices","An $n \times n$ matrix $H$ is Butson-Hadamard if its entries are
$k^{\text{th}}$ roots of unity and it satisfies $HH^* = nI_n$. Write $BH(n, k)$
for the set of such matrices.
  Suppose that $k = p^{\alpha}q^{\beta}$ where $p$ and $q$ are primes and
$\alpha \geq 1$. A recent result of {\""O}sterg{\aa}rd and Paavola uses a matrix
$H \in BH(n,pk)$ to construct $H' \in BH(pn, k)$. We simplify the proof of this
result and remove the restriction on the number of prime divisors of $k$. More
precisely, we prove that if $k = mt$, and each prime divisor of $k$ divides
$t$, then we can construct a matrix $H' \in BH(mn, t)$ from any $H \in
BH(n,k)$.
",Padraig O Cathain|Eric Swartz,NA,http://arxiv.org/abs/1904.10771v3,http://arxiv.org/pdf/1904.10771v3,NA,5 pages,"Discrete Mathematics, 2019, 342, 12, Article 111606",NA,math.CO,math.CO|05B20,1904.10771v3.txt,0,,0,,
1907.05019v1,2019-07-11T06:47:30Z,2019-07-11T06:47:30Z,"Massively Multilingual Neural Machine Translation in the Wild: Findings
  and Challenges","We introduce our efforts towards building a universal neural machine
translation (NMT) system capable of translating between any language pair. We
set a milestone towards this goal by building a single massively multilingual
NMT model handling 103 languages trained on over 25 billion examples. Our
system demonstrates effective transfer learning ability, significantly
improving translation quality of low-resource languages, while keeping
high-resource language translation quality on-par with competitive bilingual
baselines. We provide in-depth analysis of various aspects of model building
that are crucial to achieving quality and practicality in universal NMT. While
we prototype a high-quality universal translation system, our extensive
empirical analysis exposes issues that need to be further addressed, and we
suggest directions for future research.
",Naveen Arivazhagan|Ankur Bapna|Orhan Firat|Dmitry Lepikhin|Melvin Johnson|Maxim Krikun|Mia Xu Chen|Yuan Cao|George Foster|Colin Cherry|Wolfgang Macherey|Zhifeng Chen|Yonghui Wu,NA,http://arxiv.org/abs/1907.05019v1,http://arxiv.org/pdf/1907.05019v1,NA,NA,NA,NA,cs.CL,cs.CL|cs.LG,1907.05019v1.txt,0,,0,,
1910.11402v2,2019-10-24T19:59:03Z,2019-11-12T17:00:49Z,Deep learning-based beam alignment in mmWave vehicular networks,"Millimeter wave channels exhibit structure that allows beam alignment with
fewer channel measurements than exhaustive beam search. From a compressed
sensing (CS) perspective, the received channel measurements are usually
obtained by multiplying a CS matrix with a sparse representation of the channel
matrix. Due to the constraints imposed by analog processing, designing CS
matrices that efficiently exploit the channel structure is, however,
challenging. In this paper, we propose an end-to-end deep learning technique to
design a structured CS matrix that is well suited to the underlying channel
distribution, leveraging both sparsity and the particular spatial structure
that appears in vehicular channels. The channel measurements acquired with the
designed CS matrix are then used to predict the best beam for link
configuration. Simulation results for vehicular communication channels indicate
that our deep learning-based approach achieves better beam alignment than
standard CS techniques that use the random phase shift-based design.
",Nitin Jonathan Myers|Yuyang Wang|Nuria González-Prelcic|Robert W. Heath Jr,NA,http://arxiv.org/abs/1910.11402v2,http://arxiv.org/pdf/1910.11402v2,NA,submitted to IEEE ICASSP 2020,NA,NA,eess.SP,eess.SP,1910.11402v2.txt,0,,1,,in this section we describe the key components of our network and the training procedure; our implementation is available online on github [13].
1902.06738v2,2019-02-15T16:25:46Z,2019-03-27T07:53:53Z,On the Feynman Rules of Massive Gauge Theory in Physical Gauges,"For a massive gauge theory with Higgs mechanism in a physical gauge, the
longitudinal polarization of gauge bosons can be naturally identified as
mixture of the goldstone component and a remnant gauge component that vanishes
at the limit of zero mass, making the goldstone equivalence manifest. In light
of this observation, we re-examine the Feynman rules of massive gauge theory by
treating gauge fields and their corresponding goldstone fields as single
objects, writing them uniformly as 5-component ""vector"" fields. The gauge group
is taken to be $SU(2)_L$ to preserve custodial symmetry. We find the derivation
of gauge-goldstone propagators becomes rather trivial by noticing there is a
remarkable parallel between massless gauge theory and massive gauge theory in
this notation. We also derive the Feynman rules of all vertices, finding the
vertex for self-interactions of vector (gauge-goldstone) bosons are especially
simplified. We then demonstrate that the new form of the longitudinal
polarization vector and the standard form give the same results for all the
3-point on-shell amplitudes. This on-shell matching confirms similar results
obtained with on-shell approach for massive scattering amplitudes by
Arkani-Hamed et.al. Finally we calculate some $1\rightarrow 2$ collinear
splitting amplitudes by making use of the new Feynman rules and the on-shell
match condition.
",Junmou Chen,NA,http://arxiv.org/abs/1902.06738v2,http://arxiv.org/pdf/1902.06738v2,NA,NA,NA,NA,hep-ph,hep-ph,1902.06738v2.txt,0,,0,,
1908.04974v2,2019-08-14T06:18:58Z,2019-09-26T09:00:17Z,"First demonstration of a bubble-assisted Liquid Hole Multiplier
  operation in liquid argon","We demonstrate, for the time, the operation of a bubble-assisted Liquid Hole
Multiplier (LHM) in liquid argon. The LHM, sensitive to both radiation-induced
ionization electrons and primary scintillation photons, consists of a
perforated electrode immersed in the noble liquid, with a stable gas-bubble
trapped underneath. Electrons deposited in the liquid or scintillation-induced
photoelectrons emitted from a photocathode on the electrode's surface, are
collected into the holes; after crossing the liquid-gas interface, they induce
electroluminescence within the bubble. After having validated in previous works
the LHM concept in liquid xenon, we provide here first preliminary results on
its operation in liquid argon. We demonstrate the bubble containment under a
Thick Gas Electron Multiplier (THGEM) electrode and provide detector response
to alpha particles, recorded with a SiPM - under electroluminescence and with
modest gas multiplication; the imaging capability is also demonstrated.
",Eran Erdal|Andrea Tesi|Amos Breskin|David Vartsky|Shikma Bressler,NA,http://arxiv.org/abs/1908.04974v2,http://arxiv.org/pdf/1908.04974v2,http://dx.doi.org/10.1088/1748-0221/14/11/P11021,NA,NA,10.1088/1748-0221/14/11/P11021,physics.ins-det,physics.ins-det,1908.04974v2.txt,0,,0,,
1908.07626v2,2019-08-20T22:00:33Z,2020-06-04T21:25:50Z,Optimal Investment with Correlated Stochastic Volatility Factors,"The problem of portfolio allocation in the context of stocks evolving in
random environments, that is with volatility and returns depending on random
factors, has attracted a lot of attention. The problem of maximizing a power
utility at a terminal time with only one random factor can be linearized thanks
to a classical distortion transformation. In the present paper, we address the
problem with several factors using a perturbation technique around the case
where these factors are perfectly correlated reducing the problem to the case
with a single factor. We illustrate our result with a particular model for
which we have explicit formulas. A rigorous accuracy result is also derived
using a verification result for the HJB equation involved. In order to keep the
notations as explicit as possible, we treat the case with one stock and two
factors and we describe an extension to the case with two stocks and two
factors.
",Maxim Bichuch|Jean-Pierre Fouque,NA,http://arxiv.org/abs/1908.07626v2,http://arxiv.org/pdf/1908.07626v2,NA,NA,NA,NA,q-fin.MF,"q-fin.MF|math.PR|91G80, 60H30",1908.07626v2.txt,0,,0,,
