id,type,date_created,date_modified,date_published,attributes.original_publication_date,attributes.doi,title,description,attributes.is_published,attributes.is_preprint_orphan,tags,attributes.preprint_doi_created,date_withdrawn,attributes.current_user_permissions,attributes.public,attributes.reviews_state,date_last_transitioned,attributes.has_coi,attributes.conflict_of_interest_statement,attributes.has_data_links,attributes.why_no_data,attributes.data_links,attributes.has_prereg_links,attributes.why_no_prereg,attributes.prereg_links,attributes.prereg_link_info,attributes.subjects,attributes.license_record.copyright_holders,attributes.license_record.year,relationships.contributors.links.related.href,relationships.bibliographic_contributors.links.related.href,relationships.citation.links.related.href,relationships.citation.data.id,relationships.citation.data.type,relationships.identifiers.links.related.href,relationships.node.links.self.href,relationships.node.links.related.href,relationships.node.data.id,relationships.node.data.type,relationships.license.links.related.href,relationships.license.data.id,relationships.license.data.type,relationships.provider.links.related.href,relationships.provider.data.id,relationships.provider.data.type,relationships.files.links.related.href,relationships.primary_file.links.related.href,relationships.primary_file.data.id,relationships.primary_file.data.type,relationships.review_actions.links.related.href,relationships.requests.links.related.href,links.self,links.html,links.preprint_doi,links.doi,attributes.withdrawal_justification,relationships.identifiers.data,relationships.files.data,relationships.requests.data,attributes.license_record
gfm78,preprints,2019-09-03,2019-09-04,2019-09-04,NA,10.24093/awejtls/vol3no3.4,"Silence as a Tactic of Communication in Pragmatics, Novel, and Poetry","This study aims to discuss the meaning of the ‘silence’ notion pragmatically and literary; in novel and poetry. As far as pragmatics is concerned, it means an important means of communication within a context, and it is a culture dependent. As for silence in literature, it offers the example in which silence is not only present and comprehended but also a substantial part of communication that encapsulate a sender and a receiver. In novels, it is considered as a new humanistic tactic through which a writer would force the reader to feel words rather than reading them plus more intensity and strength. Novelists tend to use silence in writing their novels as it is an integral part of voices and a revelation of so many hidden things, but it mistakenly might be understood as a refusal for communication. Finally, the notion of ‘silence’ in poetry offers the readers many examples where the poet invites the readers to hear ""silence."" In some cases, it is even personified and is given a physical being.",TRUE,FALSE,articulation|communication function|pauses|silence|unspeakable,2019-09-04T02:42:45.619845,NA,NA,TRUE,accepted,2019-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f2c698300375c76c7d|5a8c80f5c698300375c76d10|Arts and Humanities|English Language and Literature,NA,2019,https://api.osf.io/v2/preprints/gfm78/contributors/,https://api.osf.io/v2/preprints/gfm78/bibliographic_contributors/,https://api.osf.io/v2/preprints/gfm78/citation/,gfm78,preprints,https://api.osf.io/v2/preprints/gfm78/identifiers/,https://api.osf.io/v2/preprints/gfm78/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/gfm78/files/,https://api.osf.io/v2/files/5d6edd4b6f41fc001b35bcd5/,5d6edd4b6f41fc001b35bcd5,files,https://api.osf.io/v2/preprints/gfm78/review_actions/,https://api.osf.io/v2/preprints/gfm78/requests/,https://api.osf.io/v2/preprints/gfm78/,https://osf.io/preprints/socarxiv/gfm78/,https://doi.org/10.31235/osf.io/gfm78,https://doi.org/10.24093/awejtls/vol3no3.4,NA,NA,NA,NA,NA
96hf3,preprints,2019-02-14,2019-02-14,2019-02-14,2016-01-01T00:00:00,10.1007/978-3-531-18966-6_39,Journalismus und Politik,"Die Interrelation von Journalismus und Politik ist, in einem anspruchsvollen Sinn, zentral für das Funktionieren von Demokratie. Das Kapitel gibt eine überschau der wichtigsten normativ-theoretischen Ansprüche an diese Interrelation sowie relevanter empirischer Befunde zu ihr. Es beschreibt zunächst drei zentrale normative Demokratiemodelle und präsentiert sodann Ergebnisse normativ angeleiteter und relevanter empirischer Forschung zu den Beziehungen von Journalismus und Politik. Wir betrachten dabei jeweils Deutschland im internationalen Vergleich und behandeln zunächst die Strukturen, dann die Inhalte und schließlich die Wirkungen des politischen Journalismus.",TRUE,FALSE,democracy|democratic theory|journalism|media content|media effects|political communication|public sphere,2019-02-14T17:27:08.123191,NA,NA,TRUE,accepted,2019-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76daf|Social and Behavioral Sciences|Political Science|5a8c80f7c698300375c76d84|5a8c80f9c698300375c76e0d|Social and Behavioral Sciences|Communication,Springer Fachmedien,2019,https://api.osf.io/v2/preprints/96hf3/contributors/,https://api.osf.io/v2/preprints/96hf3/bibliographic_contributors/,https://api.osf.io/v2/preprints/96hf3/citation/,96hf3,preprints,https://api.osf.io/v2/preprints/96hf3/identifiers/,https://api.osf.io/v2/preprints/96hf3/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e965/,563c1cf88c5e4a3877f9e965,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/96hf3/files/,https://api.osf.io/v2/files/5c659d3616506900170d5c89/,5c659d3616506900170d5c89,files,https://api.osf.io/v2/preprints/96hf3/review_actions/,https://api.osf.io/v2/preprints/96hf3/requests/,https://api.osf.io/v2/preprints/96hf3/,https://osf.io/preprints/socarxiv/96hf3/,https://doi.org/10.31235/osf.io/96hf3,https://doi.org/10.1007/978-3-531-18966-6_39,NA,NA,NA,NA,NA
n6cgk,preprints,2019-05-15,2020-07-17,2019-05-16,NA,NA,"Reinforcing at the Top or Compensating at the Bottom? Family Background and Academic Performance in Germany, Norway, and the United States","Research on educational mobility usually fails to consider variation in the association between social origin and academic performance across the distribution of children’s academic performance. However, theories of social mobility as well as theories about resource allocation within families predict such variation. We use quantile regression models to estimate variations in the associations between different indicators of family background (parental education, occupation, earnings, and wealth) and children’s educational performance across the performance distribution. We apply this approach to data on Germany, Norway, and the United States, three countries that represent different kinds of welfare and education regimes that may affect the intergenerational transmission of educational advantage. We find a stronger association between family background and academic performance at the bottom than in the middle and the weakest association at the top of the performance distribution. These findings are virtually identical across all four indicators of family background. We also find no cross-national differences in the variation of the association between family background and academic performance across the performance distribution.",TRUE,FALSE,academic performance|cross-national comparison|education|quantile regression|social mobility,2019-05-16T02:55:07.754622,NA,NA,TRUE,accepted,2019-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e26|Social and Behavioral Sciences|Sociology|Sociology of Education|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e35|Social and Behavioral Sciences|Sociology|Inequality, Poverty, and Mobility",NA,2019,https://api.osf.io/v2/preprints/n6cgk/contributors/,https://api.osf.io/v2/preprints/n6cgk/bibliographic_contributors/,https://api.osf.io/v2/preprints/n6cgk/citation/,n6cgk,preprints,https://api.osf.io/v2/preprints/n6cgk/identifiers/,https://api.osf.io/v2/preprints/n6cgk/relationships/node/,https://api.osf.io/v2/nodes/nmj5q/,nmj5q,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/n6cgk/files/,https://api.osf.io/v2/files/5cdc0a83db3c0a0016d210cd/,5cdc0a83db3c0a0016d210cd,files,https://api.osf.io/v2/preprints/n6cgk/review_actions/,https://api.osf.io/v2/preprints/n6cgk/requests/,https://api.osf.io/v2/preprints/n6cgk/,https://osf.io/preprints/socarxiv/n6cgk/,https://doi.org/10.31235/osf.io/n6cgk,NA,NA,NA,NA,NA,NA
t5fj6,preprints,2019-05-10,2020-07-16,2019-05-10,NA,NA,Awe and Epistemology in a Science Museum,"Museums are located at the intersection of awe and learning: When guests arrive, they are expecting to be amazed, inspired, and educated. This is particularly true in science museums, and researchers have pointed to awe as an epistemic emotion that can promote science learning. We present two studies of awe in a science museum. The first study (n = 293) examined how awe—conceptualized as a multifaceted construct associated with positive feelings of liberation/connection, negative feelings of oppression/isolation, chills, and diminished-self perceptions—differed across museum locations and in relation to prior knowledge. The second study (n = 708) expanded the investigation to also examine the relationship between awe and critical thinking. Across both studies, we found that, relative to baseline spaces, vast, beautiful spaces elicited positive awe-related emotions (amazement, curiosity) and stronger awe correlates (chills, diminished-self perceptions); vast, threatening spaces also elicited stronger amazement, chills, and diminished-self perceptions—but also stronger oppression/isolation. In both studies, pre-visit knowledge was associated with awe experiences during the visit. In Study 2, we also found evidence for relationships between awe and skepticism and aesthetic thought, two aspects of critical thinking: Positive aspects of awe (liberation/connection, curiosity) were associated with more skepticism, and negative aspects of awe (oppression/isolation, disorientation) with less skepticism. In terms of aesthetic thinking, diminished-self perceptions were associated being able describe observed roles and actions, and chills were associated with being able to describe personal opinions. These results support the assertion that awe can be used to encourage engagement and learning in informal science settings.",TRUE,FALSE,awe|critical thinking|informal learning|museums|science education,2019-05-10T18:16:22.059778,NA,NA,TRUE,accepted,2019-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f2c698300375c76c7d|5a8c80f6c698300375c76d31|Arts and Humanities|Museum Studies|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d69|Education|Science and Mathematics Education|5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d98|Social and Behavioral Sciences|Psychology,NA,2019,https://api.osf.io/v2/preprints/t5fj6/contributors/,https://api.osf.io/v2/preprints/t5fj6/bibliographic_contributors/,https://api.osf.io/v2/preprints/t5fj6/citation/,t5fj6,preprints,https://api.osf.io/v2/preprints/t5fj6/identifiers/,https://api.osf.io/v2/preprints/t5fj6/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/t5fj6/files/,https://api.osf.io/v2/files/5cd5badc840cae001a6f090c/,5cd5badc840cae001a6f090c,files,https://api.osf.io/v2/preprints/t5fj6/review_actions/,https://api.osf.io/v2/preprints/t5fj6/requests/,https://api.osf.io/v2/preprints/t5fj6/,https://osf.io/preprints/socarxiv/t5fj6/,https://doi.org/10.31235/osf.io/t5fj6,NA,NA,NA,NA,NA,NA
c6rvq,preprints,2019-06-03,2019-06-05,2019-06-05,NA,NA,Review of What is Political Sociology? by Nga Than,"In What is Political Sociology?, Elisabeth S. Clemens offers a smart primer on political sociology that asks what is distinct about this sub-field. By surveying its main concepts and research agendas—power and politics, states, nation-states, social movements, social change, and transnationalism—she shows how political sociology examines social processes that influence both formal politics and the politics that take place in everyday settings. Clemens notes that that political sociology differs from political science in that the former studies politics in various settings and that patterns of political participation and the distribution of political power are shaped by social relations, while the latter studies “the formal institutions and acts of governing” (p.1).",TRUE,FALSE,Political Sociology|Social Cage|Social Closure,2019-06-05T03:16:50.396506,NA,NA,TRUE,accepted,2019-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e3f|Social and Behavioral Sciences|Sociology|Political Sociology,Nga Than,2019,https://api.osf.io/v2/preprints/c6rvq/contributors/,https://api.osf.io/v2/preprints/c6rvq/bibliographic_contributors/,https://api.osf.io/v2/preprints/c6rvq/citation/,c6rvq,preprints,https://api.osf.io/v2/preprints/c6rvq/identifiers/,https://api.osf.io/v2/preprints/c6rvq/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e965/,563c1cf88c5e4a3877f9e965,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/c6rvq/files/,https://api.osf.io/v2/files/5cf509622a50c4001789bd10/,5cf509622a50c4001789bd10,files,https://api.osf.io/v2/preprints/c6rvq/review_actions/,https://api.osf.io/v2/preprints/c6rvq/requests/,https://api.osf.io/v2/preprints/c6rvq/,https://osf.io/preprints/socarxiv/c6rvq/,https://doi.org/10.31235/osf.io/c6rvq,NA,NA,NA,NA,NA,NA
t8hgu,preprints,2019-09-08,2019-09-08,2019-09-08,NA,10.1558/jch.39422,A new era in the study of global history is born but it needs to be nurtured,"In this issue, Slingerland et al. criticize the quality of the data from Seshat: Global History Databank utilized in our Nature paper entitled “Complex Societies Precede Moralizing Gods throughout World History”. Their critique centres around the roles played by research assistants and experts in procuring and curating data, periodization structure, and so-called ‘data pasting’ and ‘data filling’. We show that these criticisms are based on misunderstandings or misrepresentations of the methods used by Seshat researchers. Overall, their critique does not call into question any of our main findings, but it does highlight various shortcomings of Slingerland et al.’s rival database project. Our collective efforts to code and quantify features of global history hold out the promise of a new era in the study of global history but only if critique can be conducted in good faith, rivalries kept in check, and both promises and pitfalls of open science fully recognized.",TRUE,FALSE,|evolution|global history databank|open science|religion|social complexity,2019-09-08T23:41:44.712749,NA,NA,TRUE,accepted,2019-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f2c698300375c76c7d|5a8c80f4c698300375c76ccc|5a8c80f4c698300375c76cd9|Arts and Humanities|History|History of Religion,NA,2019,https://api.osf.io/v2/preprints/t8hgu/contributors/,https://api.osf.io/v2/preprints/t8hgu/bibliographic_contributors/,https://api.osf.io/v2/preprints/t8hgu/citation/,t8hgu,preprints,https://api.osf.io/v2/preprints/t8hgu/identifiers/,https://api.osf.io/v2/preprints/t8hgu/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/t8hgu/files/,https://api.osf.io/v2/files/5d74febc34e7c2001940326e/,5d74febc34e7c2001940326e,files,https://api.osf.io/v2/preprints/t8hgu/review_actions/,https://api.osf.io/v2/preprints/t8hgu/requests/,https://api.osf.io/v2/preprints/t8hgu/,https://osf.io/preprints/socarxiv/t8hgu/,https://doi.org/10.31235/osf.io/t8hgu,https://doi.org/10.1558/jch.39422,NA,NA,NA,NA,NA
cqa3z,preprints,2019-01-11,2019-01-11,2019-01-11,NA,NA,"Bibliometric outlook of the most cited documents in business, management and accounting in Ibero-America","Research on business, management and accounting (BMA) in the past century has been overwhelming. Regardless of its significance, regions such as Ibero-America have been overlooked from exhaustive studies on bibliometrics in the subject of BMA. Here, a bibliometric outlook of the subject of BMA in Ibero-America was conducted by analyzing the ten most cited documents in BMA in each country from 1996 to 2017 using the citation database Scopus. The main findings showed: a rapid increase in documents’ production; both Spain and Portugal domain the overall documents’ production and citations; most of the documents are pay-walled; the most-desired journal in the region is also the most- suspicious; a Pareto distribution in both citations by documents and authors by documents; and institutional status has a significant effect on AACSB accreditation.",TRUE,FALSE,Accounting|Bibliometrics|Business|Ibero-America|Management,2019-01-11T12:45:01.427415,NA,NA,TRUE,accepted,2019-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f6c698300375c76d4e|5a8c80f6c698300375c76d5c|Education|Higher Education|5a8c80f6c698300375c76d4e|5a8c80f7c698300375c76d79|Education|Education Economics,Julián Cortés,2019,https://api.osf.io/v2/preprints/cqa3z/contributors/,https://api.osf.io/v2/preprints/cqa3z/bibliographic_contributors/,https://api.osf.io/v2/preprints/cqa3z/citation/,cqa3z,preprints,https://api.osf.io/v2/preprints/cqa3z/identifiers/,https://api.osf.io/v2/preprints/cqa3z/relationships/node/,https://api.osf.io/v2/nodes/mp9nq/,mp9nq,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e965/,563c1cf88c5e4a3877f9e965,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/cqa3z/files/,https://api.osf.io/v2/files/5c37dd3a7cf3f50019b502e4/,5c37dd3a7cf3f50019b502e4,files,https://api.osf.io/v2/preprints/cqa3z/review_actions/,https://api.osf.io/v2/preprints/cqa3z/requests/,https://api.osf.io/v2/preprints/cqa3z/,https://osf.io/preprints/socarxiv/cqa3z/,https://doi.org/10.31235/osf.io/cqa3z,NA,NA,NA,NA,NA,NA
h4f7g,preprints,2019-06-15,2020-07-19,2019-06-15,2019-07-08T04:00:00,10.1111/ruso.12293,A more complete picture: Rural residents’ relative support for seven forms of natural resource related economic development,"Understanding rural resident support for various forms of natural resource related economic development has been a common research topic in rural sociology. However, the vast majority of research has only evaluated support for one form of natural resource use at a time. The little research that has explored support for a wide variety of uses has found that residents are likely to support many of the suggested forms of development. We assessed rural resident support for seven forms of natural resource development: commercial logging, natural gas, mining, real estate, wind energy, tourism, and outdoor recreation. Using social exchange theory, this study examines the influence of perceived impacts of development, industry trust, and perceived industry power on general support for the seven forms of natural resource-related economic development using a fixed effects generalized linear model among a sample of residents of rural Pennsylvania communities. Additionally, we use mixed logit discreet choice modeling to evaluate the drivers of relative support, meaning a stated preference for one form of development over other possible options. The drivers of general support and relative support were similar, with trust in industry and impacts to quality of life emerging as the primary drivers of both.",TRUE,FALSE,Environment and Natural Resources|Extraction|Leisure|Quantitative Methods|Recreation|Tourism,2019-06-15T20:21:02.037464,NA,NA,TRUE,accepted,2019-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e2f|Social and Behavioral Sciences|Sociology|Environmental Sociology|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e33|Social and Behavioral Sciences|Sociology|Development,NA,2019,https://api.osf.io/v2/preprints/h4f7g/contributors/,https://api.osf.io/v2/preprints/h4f7g/bibliographic_contributors/,https://api.osf.io/v2/preprints/h4f7g/citation/,h4f7g,preprints,https://api.osf.io/v2/preprints/h4f7g/identifiers/,https://api.osf.io/v2/preprints/h4f7g/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/h4f7g/files/,https://api.osf.io/v2/files/5d0520cba844d4001abce65c/,5d0520cba844d4001abce65c,files,https://api.osf.io/v2/preprints/h4f7g/review_actions/,https://api.osf.io/v2/preprints/h4f7g/requests/,https://api.osf.io/v2/preprints/h4f7g/,https://osf.io/preprints/socarxiv/h4f7g/,https://doi.org/10.31235/osf.io/h4f7g,https://doi.org/10.1111/ruso.12293,NA,NA,NA,NA,NA
hkbwn,preprints,2019-06-13,2019-06-14,2019-06-14,NA,NA,"Resilience, Adaptation and Expected Support for Food Security among the Malaysian East Coast Poor Households","Purpose: Sustainable food security at the household level is one of the emerging issues for all nations. It is expected that the patterns of household resilience factors and adaptation practices have a strong linkage with household food security. The aim of this study was to seek an effective technique of adaptation for food security and the required types of support for adaptation to food insecurity among the poor and low income households in Malaysia.
Design/methodology/approach: This study was based on primary data that were collected in Jul-Oct 2012 through a questionnaire survey among 460 poor and low income households from the Pahang, Kelantan, and Terengganu states of Malaysia. The samples were selected from E-Kasih poor household database based on a two-stage cluster random sampling technique. The study considered household food security as household food availability and food accessibility, and ran ordinal regressions to find out the linkages of household food security with household resilience factors, adaptation practices, and expected support for adaptation to food security.
Findings: The study concludes that several resilience factors and adaptation practices were statistically significant to household food security, and several external supports were statistically and significantly needed to ensure household food security. Therefore, to ensure sustainable household food security in Malaysia, the food security programs needs to be integrated with Sustainable Development Goals (SDGs) and climatic changes adaptation programs, and the involvement of relevant stakeholders are crucial.
Originality/value: This study is a pioneer work based on primary data that empirically measured the linkages of household food security with household resilience factors, adaptation practices, and expected support for adaptation to food security in Malaysia. This study also discussed some issues related to the climate change linkage, which would help future climate change research. The findings of the study will be beneficial for all the stakeholders, including policy makers related to the food security and climate change adaptation.",TRUE,FALSE,NA,2019-06-14T09:57:51.836912,NA,NA,TRUE,accepted,2019-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dbe|Social and Behavioral Sciences|Economics,NA,2019,https://api.osf.io/v2/preprints/hkbwn/contributors/,https://api.osf.io/v2/preprints/hkbwn/bibliographic_contributors/,https://api.osf.io/v2/preprints/hkbwn/citation/,hkbwn,preprints,https://api.osf.io/v2/preprints/hkbwn/identifiers/,https://api.osf.io/v2/preprints/hkbwn/relationships/node/,https://api.osf.io/v2/nodes/9ngtd/,9ngtd,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96c/,563c1cf88c5e4a3877f9e96c,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/hkbwn/files/,https://api.osf.io/v2/files/5d0226ca35988f001ade3f1e/,5d0226ca35988f001ade3f1e,files,https://api.osf.io/v2/preprints/hkbwn/review_actions/,https://api.osf.io/v2/preprints/hkbwn/requests/,https://api.osf.io/v2/preprints/hkbwn/,https://osf.io/preprints/socarxiv/hkbwn/,https://doi.org/10.31235/osf.io/hkbwn,NA,NA,NA,NA,NA,NA
kn9z7,preprints,2019-04-09,2019-04-09,2019-04-09,2019-04-08T23:00:00,10.1177/0038038519838752,"The Rhetoric of Recessions: How British Newspapers Talk about the Poor When Unemployment Rises, 1896–2000","Recessions appear to coincide with an increasingly stigmatising presentation of poverty in parts of the media. Previous research on the connection between high unemployment and media discourse has often relied on case studies of periods when stigmatising rhetoric about the poor was increasing. We build on earlier work on how economic context affects media representations of poverty by creating a unique dataset that measures how often stigmatising descriptions of the poor are used in five centrist and right-wing British newspapers between 1896 and 2000. Our results suggest stigmatising rhetoric about the poor increases when unemployment rises, except at the peak of very deep recessions (e.g. the 1930s and 1980s). This pattern is consistent with the idea that newspapers deploy deeply embedded Malthusian explanations for poverty when those ideas resonate with the economic context, and so this stigmatising rhetoric of recessions is likely to recur during future economic crises.",TRUE,FALSE,media|poverty|recession,2019-04-09T19:22:27.684619,NA,NA,TRUE,accepted,2019-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e35|Social and Behavioral Sciences|Sociology|Inequality, Poverty, and Mobility",NA,2019,https://api.osf.io/v2/preprints/kn9z7/contributors/,https://api.osf.io/v2/preprints/kn9z7/bibliographic_contributors/,https://api.osf.io/v2/preprints/kn9z7/citation/,kn9z7,preprints,https://api.osf.io/v2/preprints/kn9z7/identifiers/,https://api.osf.io/v2/preprints/kn9z7/relationships/node/,https://api.osf.io/v2/nodes/atse3/,atse3,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/kn9z7/files/,https://api.osf.io/v2/files/5cace0ace3915600165d2a6e/,5cace0ace3915600165d2a6e,files,https://api.osf.io/v2/preprints/kn9z7/review_actions/,https://api.osf.io/v2/preprints/kn9z7/requests/,https://api.osf.io/v2/preprints/kn9z7/,https://osf.io/preprints/socarxiv/kn9z7/,https://doi.org/10.31235/osf.io/kn9z7,https://doi.org/10.1177/0038038519838752,NA,NA,NA,NA,NA
