id,submitted,updated,title,abstract,authors,affiliations,link_abstract,link_pdf,link_doi,comment,journal_ref,doi,primary_category,categories
2106.03130v1,2021-06-06T14:08:48Z,2021-06-06T14:08:48Z,"Connection between forest fire emission and COVID-19 incidents in West
  Coast regions of the United States","Forest fires impact on soil, water and biota resources has been widely
researched. Although forest fires profoundly impact the atmosphere and air
quality across the ecosystems, much less research has been developed to examine
its impact on the current pandemic. In-situ air pollution data were utilized to
examine the effects of the 2020 forest fire on atmosphere and coronavirus
(COVID 19) casualties. The spatiotemporal concentrations of particulate matter
(PM2.5 and PM10) and Nitrogen Dioxide (NO2) were collected from August 1 to
October 30 for 2020 (fire year) and 2019 (reference year). Both spatial
(Multiscale Geographically Weighted Regression) and non spatial (negative
binomial regression) regression analysis was performed to assess the adverse
effects of fire emission on human health. The in situ data led measurements
showed that the maximum increases in PM2.5, PM10, and NO2 concentrations were
clustered in the West Coastal fire-prone states during the August 1 to October
30 period. The average concentration of particulate matter (PM2.5 and PM10) and
NO2 were increased in all the fire states affected badly by forest fires. The
average PM2.5 concentration over the period was recorded as 7.9, 6.3, 5.5, and
5.2 for California, Colorado, Oregon, and Washington in 2019, which was
increased up to 24.9, 13.4, 25, and 17 in 2020. Both spatial and non-spatial
regression models exhibited a statistically significant association between
fire emission and COVID 19 incidents. A total of 30 models were developed for
analyzing the spatial non-stationary and local association between the
predictor and response factors. All these spatial models have demonstrated a
statistically significant association between fire emissions and COVID counts.
More thorough research is needed to better understand the complex association
between forest fire and human health.
",Srikanta Sannigrahi|Arabinda Maiti|Francesco Pilla|Qi Zhang|Somnath Bar|Saskia Keesstra|Artemi Cerda,NA,http://arxiv.org/abs/2106.03130v1,http://arxiv.org/pdf/2106.03130v1,NA,35 pages,NA,NA,stat.AP,stat.AP
2006.00926v1,2020-06-01T13:21:55Z,2020-06-01T13:21:55Z,"SEI1I2HRSVM model applied to the coronavirus pandemic (COVID-19) in
  Paraguay","In the present article a mathematical model is proposed to research the
current coronavirus outbreak (SARS-CoV-2) in Paraguay, describing the multiple
transmission paths in the infection dynamics, following the susceptible,
exposed, infectious, hospitalized, with lost immunity and recovered
individuals, as well as the role of the virus in the environment and deaths
from COVID-19 or other reasons. In order to reflect the impact of the control
measures adopted by the government and the population, the model employs
variable transmission rates that change with the epidemiological status and
environmental conditions. The model is validated, and its application is
demonstrated with data publicly available.
",Juan A. Gonzalez Cuevas,NA,http://arxiv.org/abs/2006.00926v1,http://arxiv.org/pdf/2006.00926v1,NA,in Spanish,NA,NA,q-bio.PE,q-bio.PE
2005.06465v1,2020-05-13T13:04:37Z,2020-05-13T13:04:37Z,MosMedData: Chest CT Scans With COVID-19 Related Findings Dataset,"This dataset contains anonymised human lung computed tomography (CT) scans
with COVID-19 related findings, as well as without such findings. A small
subset of studies has been annotated with binary pixel masks depicting regions
of interests (ground-glass opacifications and consolidations). CT scans were
obtained between 1st of March, 2020 and 25th of April, 2020, and provided by
municipal hospitals in Moscow, Russia. Permanent link:
https://mosmed.ai/datasets/covid19_1110. This dataset is licensed under a
Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND
3.0) License. Key words: artificial intelligence, COVID-19, machine learning,
dataset, CT, chest, imaging
",S. P. Morozov|A. E. Andreychenko|N. A. Pavlov|A. V. Vladzymyrskyy|N. V. Ledikhova|V. A. Gombolevskiy|I. A. Blokhin|P. B. Gelezhe|A. V. Gonchar|V. Yu. Chernina,NA,http://arxiv.org/abs/2005.06465v1,http://arxiv.org/pdf/2005.06465v1,NA,NA,NA,NA,cs.CY,cs.CY|cs.LG|eess.IV
2012.08000v1,2020-12-14T23:09:10Z,2020-12-14T23:09:10Z,"Discovering Airline-Specific Business Intelligence from Online Passenger
  Reviews: An Unsupervised Text Analytics Approach","To understand the important dimensions of service quality from the
passenger's perspective and tailor service offerings for competitive advantage,
airlines can capitalize on the abundantly available online customer reviews
(OCR). The objective of this paper is to discover company- and
competitor-specific intelligence from OCR using an unsupervised text analytics
approach. First, the key aspects (or topics) discussed in the OCR are extracted
using three topic models - probabilistic latent semantic analysis (pLSA) and
two variants of Latent Dirichlet allocation (LDA-VI and LDA-GS). Subsequently,
we propose an ensemble-assisted topic model (EA-TM), which integrates the
individual topic models, to classify each review sentence to the most
representative aspect. Likewise, to determine the sentiment corresponding to a
review sentence, an ensemble sentiment analyzer (E-SA), which combines the
predictions of three opinion mining methods (AFINN, SentiStrength, and VADER),
is developed. An aspect-based opinion summary (AOS), which provides a snapshot
of passenger-perceived strengths and weaknesses of an airline, is established
by consolidating the sentiments associated with each aspect. Furthermore, a
bi-gram analysis of the labeled OCR is employed to perform root cause analysis
within each identified aspect. A case study involving 99,147 airline reviews of
a US-based target carrier and four of its competitors is used to validate the
proposed approach. The results indicate that a cost- and time-effective
performance summary of an airline and its competitors can be obtained from OCR.
Finally, besides providing theoretical and managerial implications based on our
results, we also provide implications for post-pandemic preparedness in the
airline industry considering the unprecedented impact of coronavirus disease
2019 (COVID-19) and predictions on similar pandemics in the future.
",Sharan Srinivas|Surya Ramachandiran,NA,http://arxiv.org/abs/2012.08000v1,http://arxiv.org/pdf/2012.08000v1,NA,"34 pages, 8 figures, 4 tables",NA,NA,cs.IR,cs.IR|cs.AI|cs.LG
2006.14295v1,2020-06-25T10:30:24Z,2020-06-25T10:30:24Z,"Structural Identifiability and Observability of Compartmental Models of
  the COVID-19 Pandemic","The recent coronavirus disease (COVID-19) outbreak has dramatically increased
the public awareness and appreciation of the utility of dynamic models. At the
same time, the dissemination of contradictory model predictions has highlighted
their limitations. If some parameters and/or state variables of a model cannot
be determined from output measurements, its ability to yield correct insights
-- as well as the possibility of controlling the system -- may be compromised.
Epidemic dynamics are commonly analysed using compartmental models, and many
variations of such models have been used for analysing and predicting the
evolution of the COVID-19 pandemic. In this paper we survey the different
models proposed in the literature, assembling a list of 36 model structures and
assessing their ability to provide reliable information. We address the problem
using the control theoretic concepts of structural identifiability and
observability. Since some parameters can vary during the course of an epidemic,
we consider both the constant and time-varying parameter assumptions. We
analyse the structural identifiability and observability of all of the models,
considering all plausible choices of outputs and time-varying parameters, which
leads us to analyse 255 different model versions. We classify the models
according to their structural identifiability and observability under the
different assumptions and discuss the implications of the results. We also
illustrate with an example several alternative ways of remedying the lack of
observability of a model. Our analyses provide guidelines for choosing the most
informative model for each purpose, taking into account the available knowledge
and measurements.
",Gemma Massonis|Julio R. Banga|Alejandro F. Villaverde,NA,http://arxiv.org/abs/2006.14295v1,http://arxiv.org/pdf/2006.14295v1,NA,"25 pages, 7 figures",NA,NA,q-bio.PE,q-bio.PE|physics.soc-ph|q-bio.QM
2011.12510v3,2020-11-25T04:26:08Z,2021-03-12T21:57:11Z,"COVID-19 and Social Distancing: Disparities in Mobility Adaptation
  between Income Groups","In response to the coronavirus disease 2019 (COVID-19) pandemic, governments
have encouraged and ordered citizens to practice social distancing,
particularly by working and studying at home. Intuitively, only a subset of
people have the ability to practice remote work. However, there has been little
research on the disparity of mobility adaptation across different income groups
in US cities during the pandemic. The authors worked to fill this gap by
quantifying the impacts of the pandemic on human mobility by income in Greater
Houston, Texas. In this paper, we determined human mobility using
pseudonymized, spatially disaggregated cell phone location data. A longitudinal
study across estimated income groups was conducted by measuring the total
travel distance, radius of gyration, number of visited locations, and per-trip
distance in April 2020 compared to the data in a baseline. An apparent
disparity in mobility was found across estimated income groups. In particular,
there was a strong negative correlation ($\rho$ = -0.90) between a traveler's
estimated income and travel distance in April. Disparities in mobility
adaptability were further shown since those in higher income brackets
experienced larger percentage drops in the radius of gyration and the number of
distinct visited locations than did those in lower income brackets. The
findings of this study suggest a need to understand the reasons behind the
mobility inflexibility among low-income populations during the pandemic. The
study illuminates an equity issue which may be of interest to policy makers and
researchers alike in the wake of an epidemic.
","Kentaro Iio|Xiaoyu Guo|Xiaoqiang ""Jack"" Kong|Kelly Rees|Xiubin Bruce Wang",NA,http://arxiv.org/abs/2011.12510v3,http://arxiv.org/pdf/2011.12510v3,http://dx.doi.org/10.1016/j.trip.2021.100333,"13 pages, 7 figures","Transportation Research Interdisciplinary Perspectives (2021):
  100333",10.1016/j.trip.2021.100333,cs.CY,cs.CY|physics.soc-ph
2005.11524v6,2020-05-23T12:22:28Z,2021-06-01T12:37:22Z,"Deep Learning for Reliable Classification of COVID-19, MERS, and SARS
  from Chest X-Ray Images","Novel Coronavirus disease (COVID-19) is an extremely contagious and quickly
spreading Coronavirus infestation. Severe Acute Respiratory Syndrome (SARS) and
Middle East Respiratory Syndrome (MERS), which outbreak in 2002 and 2011, and
the current COVID-19 pandemic are all from the same family of coronavirus. This
work aims to classify COVID-19, SARS, and MERS chest X-ray (CXR) images using
deep Convolutional Neural Networks (CNNs). A unique database was created,
so-called QU-COVID-family, consisting of 423 COVID-19, 144 MERS, and 134 SARS
CXR images. Besides, a robust COVID-19 recognition system was proposed to
identify lung regions using a CNN segmentation model (U-Net), and then classify
the segmented lung images as COVID-19, MERS, or SARS using a pre-trained CNN
classifier. Furthermore, the Score-CAM visualization method was utilized to
visualize classification output and understand the reasoning behind the
decision of deep CNNs. Several Deep Learning classifiers were trained and
tested; four outperforming algorithms were reported. Original and preprocessed
images were used individually and all together as the input(s) to the networks.
Two recognition schemes were considered: plain CXR classification and segmented
CXR classification. For plain CXRs, it was observed that InceptionV3
outperforms other networks with a 3-channel scheme and achieves sensitivities
of 99.5%, 93.1%, and 97% for classifying COVID-19, MERS, and SARS images,
respectively. In contrast, for segmented CXRs, InceptionV3 outperformed using
the original CXR dataset and achieved sensitivities of 96.94%, 79.68%, and
90.26% for classifying COVID-19, MERS, and SARS images, respectively. All
networks showed high COVID-19 detection sensitivity (>96%) with the segmented
lung images. This indicates the unique radiographic signature of COVID-19 cases
in the eyes of AI, which is often a challenging task for medical doctors.
",Anas Tahir|Yazan Qiblawey|Amith Khandakar|Tawsifur Rahman|Uzair Khurshid|Farayi Musharavati|M. T. Islam|Serkan Kiranyaz|Muhammad E. H. Chowdhury,NA,http://arxiv.org/abs/2005.11524v6,http://arxiv.org/pdf/2005.11524v6,NA,"10 Figures, 4 Tables",NA,NA,eess.IV,eess.IV|cs.CV|cs.LG
2006.08830v2,2020-06-15T23:48:50Z,2021-01-27T20:23:36Z,Examining the Global Spread of COVID-19 Misinformation,"The global COVID-19 pandemic has led to the online proliferation of health-,
political-, and conspiratorial-based misinformation. Understanding the reach
and belief in this misinformation is vital to managing this crisis, as well as
future crises. The results from our global survey finds a troubling reach of
and belief in COVID-related misinformation, as well as a correlation with those
that primarily consume news from social media, and, in the United States, a
strong correlation with political leaning.
",Sophie Nightingale|Hany Farid,NA,http://arxiv.org/abs/2006.08830v2,http://arxiv.org/pdf/2006.08830v2,NA,NA,NA,NA,cs.SI,cs.SI|physics.soc-ph
2006.10495v2,2020-05-25T18:50:26Z,2020-06-19T14:42:54Z,"A Modified Epidemiological Model to Understand the Uneven Impact of
  COVID-19 on Vulnerable Individuals and the Approaches Required to Help them
  Emerge from Lockdown","COVID-19 has shown a relatively low mortality rate in young healthy
individuals, with the majority of this group being asymptomatic or having mild
symptoms, while the severity of the disease among individuals with underlying
health conditions has caused signiffcant mortality rates worldwide.
Understanding these differences in mortality amongst different sectors of
society and modelling this will enable the different levels of risk and
vulnerabilities to be determined to enable strategies exit the lockdown.
However, epidemiological models do not account for the variability encountered
in the severity of the SARS-CoV-2 disease across different population groups.
To overcome this limitation, it is proposed that a modiffed SEIR model, namely
SEIR-v, through which the population is separated into two groups regarding
their vulnerability to SARS-CoV-2 is applied. This enables the analysis of the
spread of the epidemic when different contention measures are applied to
different groups in society regarding their vulnerability to the disease. A
Monte Carlo simulation indicates a large number of deaths could be avoided by
slightly decreasing the exposure of vulnerable groups to the disease. From this
modelling a number of mechanisms can be proposed to limit the exposure of
vulnerable individuals to the disease in order to reduce the mortality rate
among this group. One option could be the provision of a wristband to
vulnerable people and those without a contact-tracing app. By combining very
dense contact tracing data from smartphone apps and wristband signals with
information about infection status and symptoms, vulnerable people can be
protected and kept safer. Widespread utilisation would extend the protection
further beyond these high risk groups.
",Dario Ortega Anderez|Eiman Kanjo|Ganna Pogrebna|Shane Johnson|John Alan Hunt,NA,http://arxiv.org/abs/2006.10495v2,http://arxiv.org/pdf/2006.10495v2,NA,NA,NA,NA,physics.soc-ph,physics.soc-ph|cs.SI
2007.16177v1,2020-07-31T17:05:28Z,2020-07-31T17:05:28Z,"Screening and evaluation of potential clinically significant HIV drug
  combinations against SARS-CoV-2 virus","In this study, we investigated the inhibition of SARS-CoV-2 spike
glycoprotein with HIV drugs and their combinations. This glycoprotein is
essential for the reproduction of the SARS-COV-2 virus, so its inhibition opens
new avenues for the treatment of patients with COVID-19 disease. In doing so,
we used the VINI in silico model of cancer, whose high accuracy in finding
effective drugs and their combinations was confirmed in vitro by comparison
with existing results from NCI-60 bases, and in vivo by comparison with
existing clinical trial results. In the first step, the VINI model calculated
the inhibition efficiency of SARS-CoV-2 spike glycoprotein with 44 FDA-approved
antiviral drugs. Of these drugs, HIV drugs have been shown to be effective,
while others mainly have shown weak or no efficiency. Subsequently, the VINI
model calculated the inhibition efficiency of all possible double and triple
HIV drug combinations, and among them identified ten with the highest
inhibition efficiency. These ten combinations were analyzed by Medscape
drug-drug interaction software and LexiComp Drug Interactions. All combinations
except the combination of cobicistat_abacavir_rilpivirine appear to have
serious interactions (risk rating category D) when dosage
adjustments/reductions are required for possible toxicity. Finally, the VINI
model compared the inhibition efficiency of cobicistat_abacivir_rilpivirine
combination with cocktails and individual drugs already used or planned to be
tested against SARS-CoV-2. Combination cobicistat_abacivir_rilpivirine
demonstrated the highest inhibition of SARS-CoV-2 spike glycoprotein over
others. Thus, this combination seems to be a promising candidate for the
further in vitro testing and clinical trials.
",Draško Tomić|Karolj Skala|Attila Marcel Szasz|Melinda Rezeli|Vesna Bačić Vrca|Boris Pirkić|Jozsef Petrik|Vladimir Janđel|Marija Milković Periša|Branka Medved Rogina|Josip Mesarić|Davor Davidović|Tomislav Lipić,"Center for Informatics and Computing, Ruđer Bošković Institute, Zagreb, Croatia|Center for Informatics and Computing, Ruđer Bošković Institute, Zagreb, Croatia|Department of Bioinformatics and Cancer Center, Semmelweis University Budapest, Hungary|Department of Biomedical Engineering, Lund University, Lund, Sweden|Central Hospital Pharmacy, Clinical Hospital Center Dubrava, Zagreb, Croatia|Surgery, Orthopedics and Ophthalmology Clinic, Faculty of Veterinary Medicine, University of Zagreb, Zagreb, Croatia|Department of Medical Biochemistry and Hematology, Faculty of Pharmacy and Biochemistry, University of Zagreb, Zagreb, Croatia|Deprtment of Obstetricy, Clinical Hospital Centre Zagreb|Institute of Pathology, School of Medicine University of Zagreb, Zagreb, Croatia|Laboratory for Information and Signal Processing, Division of Electronics, Ruđer Bosković Institute, Zagreb, Croatia|Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia|Center for Informatics and Computing, Ruđer Bošković Institute, Zagreb, Croatia|Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia",http://arxiv.org/abs/2007.16177v1,http://arxiv.org/pdf/2007.16177v1,NA,"8 pages, 4 figures",NA,NA,q-bio.QM,q-bio.QM
