join_id,doi,title,authors,author_corresponding,author_corresponding_institution,date,version,license,category,jatsxml,abstract,published,node,link_page,link_pdf,article,is_open_data,open_data_category,is_open_code,open_data_statements,open_code_statements
2020.01.22.915660,10.1101/2020.01.22.915660,"Functional assessment of cell entry and receptor usage for lineage B β-coronaviruses, including 2019-nCoV","Letko, M. C.; Munster, V.",Michael C Letko,NIH/NIAID,2020-01-22,1,cc_no,Microbiology,https://www.biorxiv.org/content/early/2020/01/22/2020.01.22.915660.source.xml,"Over the past 20 years, several coronaviruses have crossed the species barrier into humans, causing outbreaks of severe, and often fatal, respiratory illness. Since SARS- CoV was first identified in animal markets, global viromics projects have discovered thousands of coronavirus sequences in diverse animals and geographic regions. Unfortunately, there are few tools available to functionally test these novel viruses for their ability to infect humans, which has severely hampered efforts to predict the next zoonotic viral outbreak. Here we developed an approach to rapidly screen lineage B betacoronaviruses, such as SARS-CoV and the recent 2019-nCoV, for receptor usage and their ability to infect cell types from different species. We show that host protease processing during viral entry is a significant barrier for several lineage B viruses and that bypassing this barrier allows several lineage B viruses to enter human cells through an unknown receptor. We also demonstrate how different lineage B viruses can recombine to gain entry into human cells and confirm that human ACE2 is the receptor for the recently emerging 2019-nCoV.",1,380,https://www.biorxiv.org/content/10.1101/2020.01.22.915660v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2020.01.22.915660v1.full.pdf,_10.1101_2020.01.22.915660.txt,0,NA,0,NA,NA
2020.01.23.916726,10.1101/2020.01.23.916726,Modelling the epidemic trend of the 2019 novel coronavirus outbreak in China,"Shen, M.; Peng, Z.; Xiao, Y.; Zhang, L.",Lei Zhang,Xi'an Jiaotong University,2020-01-25,1,cc_by_nc_nd,Microbiology,https://www.biorxiv.org/content/early/2020/01/25/2020.01.23.916726.source.xml,"We present a timely evaluation of the Chinese 2019-nCov epidemic in its initial phase, where 2019-nCov demonstrates comparable transmissibility but lower fatality rates than SARS and MERS. A quick diagnosis that leads to case isolation and integrated interventions will have a major impact on its future trend. Nevertheless, as China is facing its Spring Festival travel rush and the epidemic has spread beyond its borders, further investigation on its potential spatiotemporal transmission pattern and novel intervention strategies are warranted.",1,196,https://www.biorxiv.org/content/10.1101/2020.01.23.916726v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2020.01.23.916726v1.full.pdf,_10.1101_2020.01.23.916726.txt,0,NA,0,NA,NA
2020.01.26.920249,10.1101/2020.01.26.920249,Full-genome evolutionary analysis of the novel corona virus (2019-nCoV) rejects the hypothesis of emergence as a result of a recent recombination event,"Paraskevis, D.; Kostaki, E. G.; Magiorkinis, G.; Panayiotakopoulos, G.; Tsiodras, S.",Dimitrios Paraskevis,"Department of Hygiene Epidemiology and Medical Statistics, Medical School, National and Kapodistrian University of Athens, Athens, Greece",2020-01-27,1,cc_no,Microbiology,https://www.biorxiv.org/content/early/2020/01/27/2020.01.26.920249.source.xml,"BackgroundA novel coronavirus (2019-nCoV) associated with human to human transmission and severe human infection has been recently reported from the city of Wuhan in China. Our objectives were to characterize the genetic relationships of the 2019-nCoV and to search for putative recombination within the subgenus of sarbecovirus.

MethodsPutative recombination was investigated by RDP4 and Simplot v3.5.1 and discordant phylogenetic clustering in individual genomic fragments was confirmed by phylogenetic analysis using maximum likelihood and Bayesian methods.

ResultsOur analysis suggests that the 2019-nCoV although closely related to BatCoV RaTG13 sequence throughout the genome (sequence similarity 96.3%), shows discordant clustering with the Bat-SARS-like coronavirus sequences. Specifically, in the 5-part spanning the first 11,498 nucleotides and the last 3-part spanning 24,341-30,696 positions, 2019-nCoV and RaTG13 formed a single cluster with Bat-SARS-like coronavirus sequences, whereas in the middle region spanning the 3-end of ORF1a, the ORF1b and almost half of the spike regions, 2019-nCoV and RaTG13 grouped in a separate distant lineage within the sarbecovirus branch.

ConclusionsThe levels of genetic similarity between the 2019-nCoV and RaTG13 suggest that the latter does not provide the exact variant that caused the outbreak in humans, but the hypothesis that 2019-nCoV has originated from bats is very likely. We show evidence that the novel coronavirus (2019-nCov) is not-mosaic consisting in almost half of its genome of a distinct lineage within the betacoronavirus. These genomic features and their potential association with virus characteristics and virulence in humans need further attention.",1,163,https://www.biorxiv.org/content/10.1101/2020.01.26.920249v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2020.01.26.920249v1.full.pdf,_10.1101_2020.01.26.920249.txt,0,NA,0,NA,NA
2020.01.28.923011,10.1101/2020.01.28.923011,Potent binding of 2019 novel coronavirus spike protein by a SARS coronavirus-specific human monoclonal antibody,"Tian, X.; Li, C.; Huang, A.; Xia, S.; Lu, S.; Shi, Z.; Lu, L.; Jiang, S.; Yang, Z.; Wu, Y.; Ying, T.",Tianlei Ying,Fudan University,2020-01-28,1,cc_no,Microbiology,https://www.biorxiv.org/content/early/2020/01/28/2020.01.28.923011.source.xml,"The newly identified 2019 novel coronavirus (2019-nCoV) has caused more than 800 laboratory-confirmed human infections, including 25 deaths, posing a serious threat to human health. Currently, however, there is no specific antiviral treatment or vaccine. Considering the relatively high identity of receptor binding domain (RBD) in 2019-nCoV and SARS-CoV, it is urgent to assess the cross-reactivity of anti-SARS-CoV antibodies with 2019-nCoV spike protein, which could have important implications for rapid development of vaccines and therapeutic antibodies against 2019-nCoV. Here, we report for the first time that a SARS-CoV-specific human monoclonal antibody, CR3022, could bind potently with 2019-nCoV RBD (KD of 6.3 nM). The epitope of CR3022 does not overlap with the ACE2 binding site within 2019-nCoV RBD. Therefore, CR3022 has the potential to be developed as candidate therapeutics, alone or in combination with other neutralizing antibodies, for the prevention and treatment of 2019-nCoV infections. Interestingly, some of the most potent SARS-CoV-specific neutralizing antibodies (e.g., m396, CR3014) that target the ACE2 binding site of SARS-CoV failed to bind 2019-nCoV spike protein, indicating that the difference in the RBD of SARS-CoV and 2019-nCoV has a critical impact for the cross-reactivity of neutralizing antibodies, and that it is still necessary to develop novel monoclonal antibodies that could bind specifically to 2019-nCoV RBD.",1,335,https://www.biorxiv.org/content/10.1101/2020.01.28.923011v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2020.01.28.923011v1.full.pdf,_10.1101_2020.01.28.923011.txt,0,NA,0,NA,NA
2020.01.29.925354,10.1101/2020.01.29.925354,Interpretable detection of novel human viruses from genome sequencing data,"Bartoszewicz, J. M.; Seidel, A.; Renard, B. Y.",Jakub M. Bartoszewicz,Robert Koch Institute,2021-01-04,7,cc_by_nd,Bioinformatics,https://www.biorxiv.org/content/early/2021/01/04/2020.01.29.925354.source.xml,"Viruses evolve extremely quickly, so reliable methods for viral host prediction are necessary to safeguard biosecurity and biosafety alike. Novel human-infecting viruses are difficult to detect with standard bioinformatics workflows. Here, we predict whether a virus can infect humans directly from next-generation sequencing reads. We show that deep neural architectures significantly outperform both shallow machine learning and standard, homology-based algorithms, cutting the error rates in half and generalizing to taxonomic units distant from those presented during training. Further, we develop a suite of interpretability tools and show that it can be applied also to other models beyond the host prediction task. We propose a new approach for convolutional filter visualization to disentangle the information content of each nucleotide from its contribution to the final classification decision. Nucleotide-resolution maps of the learned associations between pathogen genomes and the infectious phenotype can be used to detect regions of interest in novel agents, for example the SARS-CoV-2 coronavirus, unknown before it caused a COVID-19 pandemic in 2020. All methods presented here are implemented as easy-to-install packages enabling analysis of NGS datasets without requiring any deep learning skills, but also allowing advanced users to easily train and explain new models for genomics.",1,6,https://www.biorxiv.org/content/10.1101/2020.01.29.925354v7?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2020.01.29.925354v7.full.pdf,_10.1101_2020.01.29.925354.txt,1,data availability statement,1,data availability) and a command line tool easily installable with bioconda (86). data availability the datasets of simulated reads with associated metadata are hosted at https://doi,source code of the plugin shipping the trained models config files describing the architectures used and the models themselves are available at https://gitlab.com/dacs-hpi/deepac-vir.
2020.01.30.927889,10.1101/2020.01.30.927889,Machine intelligence design of 2019-nCoV drugs,"Nguyen, D. D.; Gao, K.; Wang, R.; Wei, G.",Guowei Wei,Michigan State University,2020-02-04,1,cc_by_nc,Bioinformatics,https://www.biorxiv.org/content/early/2020/02/04/2020.01.30.927889.source.xml,"Wuhan coronavirus, called 2019-nCoV, is a newly emerged virus that infected more than 9692 people and leads to more than 213 fatalities by January 30, 2020. Currently, there is no effective treatment for this epidemic. However, the viral protease of a coronavirus is well-known to be essential for its replication and thus is an effective drug target. Fortunately, the sequence identity of the 2019-nCoV protease and that of severe-acute respiratory syndrome virus (SARS-CoV) is as high as 96.1%. We show that the protease inhibitor binding sites of 2019-nCoV and SARS-CoV are almost identical, which means all potential anti-SARS-CoV chemotherapies are also potential 2019-nCoV drugs. Here, we report a family of potential 2019-nCoV drugs generated by a machine intelligence-based generative network complex (GNC). The potential effectiveness of treating 2019-nCoV by using some existing HIV drugs is also analyzed.",1,275,https://www.biorxiv.org/content/10.1101/2020.01.30.927889v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2020.01.30.927889v1.full.pdf,_10.1101_2020.01.30.927889.txt,1,field-specific repository,0,under the current health emergency many researchers around the world engaged in the investigation of the genetic and functional data of 2019-ncov and compare to other coronaviruses to design proper infection control strategy2 3 and seek potential drugs that can prevent and/or cure this serious epidemic.4–7 on january 10 the genome sequence of 2019-ncov was first released on genbank (accession mn908947) by yong-zhen zhang’s group at fudan university.8 subsequently phylogenetic analysis revealed that 2019ncov belonged to the betacoronavirus genera and its closest whole-genome relatives are two sars-like coronaviruses from bats i.e. zc45 and zxc21 which shared about 89% sequence identity with 2019-ncov.6 7 moreover detailed sequence alignment data indicates that there is significant genetics distance between the 2019-ncov and the human sars-cov.,NA
2020.01.31.929547,10.1101/2020.01.31.929547,"Predicting commercially available antiviral drugs that may act on the novel coronavirus (2019-nCoV), Wuhan, China through a drug-target interaction deep learning model","Beck, B. R.; Shin, B.; Choi, Y.; Park, S.; Kang, K.",Keunsoo Kang,"Department of Microbiology, College of Natural Sciences, Dankook University, Cheonan, Republic of Korea",2020-02-02,1,cc_by_nc_nd,Microbiology,https://www.biorxiv.org/content/early/2020/02/02/2020.01.31.929547.source.xml,"The infection of a novel coronavirus found in Wuhan of China (2019-nCoV) is rapidly spreading, and the incidence rate is increasing worldwide. Due to the lack of effective treatment options for 2019-nCoV, various strategies are being tested in China, including drug repurposing. In this study, we used our pretrained deep learning-based drug-target interaction model called Molecule Transformer-Drug Target Interaction (MT-DTI) to identify commercially available drugs that could act on viral proteins of 2019-nCoV. The result showed that atazanavir, an antiretroviral medication used to treat and prevent the human immunodeficiency virus (HIV), is the best chemical compound, showing a inhibitory potency with Kd of 94.94 nM against the 2019-nCoV 3C-like proteinase, followed by efavirenz (199.17 nM), ritonavir (204.05 nM), and dolutegravir (336.91 nM). Interestingly, lopinavir, ritonavir, and darunavir are all designed to target viral proteinases. However, in our prediction, they may also bind to the replication complex components of 2019-nCoV with an inhibitory potency with Kd < 1000 nM. In addition, we also found that several antiviral agents, such as Kaletra, could be used for the treatment of 2019-nCoV, although there is no real-world evidence supporting the prediction. Overall, we suggest that the list of antiviral drugs identified by the MT-DTI model should be considered, when establishing effective treatment strategies for 2019-nCoV.",1,186,https://www.biorxiv.org/content/10.1101/2020.01.31.929547v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2020.01.31.929547v1.full.pdf,_10.1101_2020.01.31.929547.txt,0,NA,0,NA,NA
2020.02.01.929976,10.1101/2020.02.01.929976,Potent neutralization of 2019 novel coronavirus by recombinant ACE2-Ig,"Lei, C.; Fu, W.; Qian, K.; Li, T.; Zhang, S.; Ding, M.; Hu, S.",Shi Hu,Second Militarily Medical University,2020-02-03,2,cc_no,Bioengineering,https://www.biorxiv.org/content/early/2020/02/03/2020.02.01.929976.source.xml,"2019-nCoV, which is a novel coronavirus emerged in Wuhan, China, at the end of 2019, has caused at least infected 11,844 as of Feb 1, 2020. However, there is no specific antiviral treatment or vaccine currently. Very recently report had suggested that novel CoV would use the same cell entry receptor, ACE2, as the SARS-CoV. In this report, we generated a novel recombinant protein by connecting the extracellular domain of human ACE2 to the Fc region of the human immunoglobulin IgG1. An ACE2 mutant with low catalytic activity was also used in the study. The fusion proteins were then characterized. Both fusion proteins has high affinity binding to the receptor-binding domain (RBD) of SARS-CoV and 2019-nCoV and exerted desired pharmacological properties. Moreover, fusion proteins potently neutralized SARS-CoV and 2019-nCoV in vitro. As these fusion proteins exhibit cross-reactivity against coronaviruses, they could have potential applications for diagnosis, prophylaxis, and treatment of 2019-nCoV.",1,208,https://www.biorxiv.org/content/10.1101/2020.02.01.929976v2?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2020.02.01.929976v2.full.pdf,_10.1101_2020.02.01.929976.txt,0,NA,0,NA,NA
2020.02.02.931162,10.1101/2020.02.02.931162,Genomic variance of the 2019-nCoV coronavirus,"Ceraolo, C.; Giorgi, F. M.",Federico M Giorgi,University of Bologna,2020-02-05,2,cc_by_nc,Bioinformatics,https://www.biorxiv.org/content/early/2020/02/05/2020.02.02.931162.source.xml,"There is rising global concern for the recently emerged novel Coronavirus (2019-nCov). Full genomic sequences have been released by the worldwide scientific community in the last few weeks in order to understand the evolutionary origin and molecular characteristics of this virus. Taking advantage of all the genomic information currently available, we constructed a phylogenetic tree including also representatives of other coronaviridae, such as Bat coronavirus (BCoV) and SARS. We confirm high sequence similarity (>99%) between all sequenced 2019-nCoVs genomes available, with the closest BCoV sequence sharing 96.2% sequence identity, confirming the notion of a zoonotic origin of 2019-nCoV. Despite the low heterogeneity of the 2019-nCoV genomes, we could identify at least two hyper-variable genomic hotspots, one of which is responsible for a Serine/Leucine variation in the viral ORF8-encoded protein. Finally, we perform a full proteomic comparison with other coronaviridae, identifying key aminoacidic differences to be considered for antiviral strategies deriving from previous anti-coronavirus approaches.",1,233,https://www.biorxiv.org/content/10.1101/2020.02.02.931162v2?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2020.02.02.931162v2.full.pdf,_10.1101_2020.02.02.931162.txt,1,field-specific repository,0,4  results  phylogenetic analysis  5 6 7 8 9 10 11 12 13 14  we collected 53 full genomic 2019-ncov sequences from the gisaid database (supplementary table s1) plus the genbank-deposited sequence from the wuhan seafood market pneumonia virus isolate wuhanhu-1 (nc_045512.2) and two partial sequences from italian isolates (epi_isl_406959 and epi_isl_406960).;     the closest 3d model to 2019-ncov orf8 available in protein data bank [14] is a short 22 aminoacid stretch in the protein entry 6p65 with a non-significant e-value of 0.848.,NA
2020.02.03.931766,10.1101/2020.02.03.931766,Specific ACE2 Expression in Cholangiocytes May Cause Liver Damage After 2019-nCoV Infection,"Chai, X.; Hu, L.; Zhang, Y.; Han, W.; Lu, Z.; Ke, A.; Zhou, J.; Shi, G.; Fang, N.; Fan, J.; Cai, J.; Fan, J.; Lan, F.",Jiabin Cai,"Department of Liver Surgery and Transplantation, Liver Cancer Institute, Zhongshan Hospital, Fudan University; Key Laboratory of Carcinogenesis and Cancer Invas",2020-02-04,1,cc_by_nc_nd,Genomics,https://www.biorxiv.org/content/early/2020/02/04/2020.02.03.931766.source.xml,"A newly identified coronavirus, 2019-nCoV, has been posing significant threats to public health since December 2019. ACE2, the host cell receptor for severe acute respiratory syndrome coronavirus (SARS), has recently been demonstrated in mediating 2019-nCoV infection. Interestingly, besides the respiratory system, substantial proportion of SARS and 2019-nCoV patients showed signs of various degrees of liver damage, the mechanism and implication of which have not yet been determined. Here, we performed an unbiased evaluation of cell type specific expression of ACE2 in healthy liver tissues using single cell RNA-seq data of two independent cohorts, and identified specific expression in cholangiocytes. The results indicated that virus might directly bind to ACE2 positive cholangiocytes but not necessarily hepatocytes. This finding suggested the liver abnormalities of SARS and 2019-nCoV patients may not be due to hepatocyte damage, but cholangiocyte dysfunction and other causes such as drug induced and systemic inflammatory response induced liver injury. Our findings indicate that special care of liver dysfunction should be installed in treating 2019-nCoV patients during the hospitalization and shortly after cure.",1,267,https://www.biorxiv.org/content/10.1101/2020.02.03.931766v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2020.02.03.931766v1.full.pdf,_10.1101_2020.02.03.931766.txt,0,NA,0,NA,NA
