ID,title,abstract,authors,date,category,doi,version,author_corresponding,author_corresponding_institution,link_page,link_pdf,license,published
9905,A Digital Protein Microarray for COVID-19 Cytokine Storm Monitoring,"Despite widespread concern for cytokine storms leading to severe morbidity in COVID-19, rapid cytokine assays are not routinely available for monitoring critically ill patients. We report the clinical application of a machine learning-based digital protein microarray platform for rapid multiplex quantification of cytokines from critically ill COVID-19 patients admitted to the intensive care unit (ICU) at the University of Michigan Hospital. The platform comprises two low-cost modules: (i) a semi-automated fluidic dispensing/mixing module that can be operated inside a biosafety cabinet to minimize the exposure of technician to the virus infection and (ii) a 12-12-15 inch compact fluorescence optical scanner for the potential near-bedside readout. The platform enabled daily cytokine analysis in clinical practice with high sensitivity (<0.4pg/mL), inter-assay repeatability ([~]10% CV), and near-real-time operation with a 10min assay incubation. A cytokine profiling test with the platform allowed us to observe clear interleukin -6 (IL-6) elevations after receiving tocilizumab (IL-6 inhibitor) while significant cytokine profile variability exists across all critically ill COVID-19 patients and to discover a weak correlation between IL-6 to clinical biomarkers, such as Ferritin and CRP. Our data revealed large subject-to-subject variability in a patients response to anti-inflammatory treatment for COVID-19, reaffirming the need for a personalized strategy guided by rapid cytokine assays.","Song, Y.; Ye, Y.; Su, S.-H.; Stephens, A.; Cai, T.; Chung, M.-T.; Han, M.; Newstead, M. W.; Frame, D.; Singer, B. H.; Kurabayashi, K.",2020-06-17,Infectious Diseases,10.1101/2020.06.15.20131870,1,Katsuo Kurabayashi,University of Michigan,https://www.medrxiv.org/content/10.1101/2020.06.15.20131870v1?versioned=TRUE,https://www.medrxiv.org/content/10.1101/2020.06.15.20131870v1.full.pdf,cc_no,10.1039/D0LC00678E
2760,Spatial Visualization of Cluster-Specific COVID-19 Transmission Network in South Korea During the Early Epidemic Phase,"BackgroundCoronavirus disease 2019 (COVID-19) has been rapidly spreading throughout China and other countries including South Korea. As of March 12, 2020, a total number of 7,869 cases and 66 deaths had been documented in South Korea. Although the first confirmed case in South Korea was identified on January 20, 2020, the number of confirmed cases showed a rapid growth on February 19, 2020 with a total number of 1,261 cases with 12 deaths based on the Korea Centers for Disease Control and Prevention (KCDC).

MethodUsing the data of confirmed cases of COVID-19 in South Korea that are publicly available from the KCDC, this paper aims to create spatial visualizations of COVID-19 transmission between January 20, 2020 and February 19, 2020.

ResultsUsing spatial visualization, this paper identified two early transmission clusters in South Korea (Daegu cluster and capital area cluster). Using a degree-weighted centrality measure, this paper proposes potential super-spreaders of the virus in the visualized clusters.

ConclusionCompared to various epidemiological measures such as the basic reproduction number, spatial visualizations of the cluster-specific transmission networks and the proposed centrality measure may be more useful to characterize super-spreaders and the spread of the virus especially in the early epidemic phase.","Park, J. Y.",2020-03-27,Public And Global Health,10.1101/2020.03.18.20038638,2,James Yeongjun Park,Harvard T.H. Chan School of Public Health,https://www.medrxiv.org/content/10.1101/2020.03.18.20038638v2?versioned=TRUE,https://www.medrxiv.org/content/10.1101/2020.03.18.20038638v2.full.pdf,cc_by,"NA"
9227,"COVID 19 Pandemic: A Real-time Forecasts & Prediction of Confirmed Cases, Active Cases using the ARIMA model &Public Health in West Bengal, India.","BackgroundCOVID-19 is an emerging infectious disease which has been declared a Pandemic by the World Health Organization (WHO) on March 11 2020. This pandemic has spread over the world in more than 200 countries. India is also adversely affected by this pandemic, and there are no signs of slowing down of the virus in coming time. The absence of a vaccine for COVID-19 is making the situation worse for the already overstretched Indian public health care system. As economic burden makes it increasingly difficult for our country to continue imposing control measures, it is vital for states like West Bengal to make predictions using time series forecasting for the upcoming cases, test kits, health care and estimated the requirement of Quarantine centers, isolation beds, ICU beds and ventilators for COVID-19 patients.

ObjectiveThis study is forecasting the confirmed and active cases for COVID-19 until August, using time series ARIMA model & Public Health in West Bengal, India.

MethodsWe used ARIMA model, and Auto ARIMA model for forecasting confirmed and active cases till the end of August month using time series data of COVID-19 cases in West Bengal, India from March 1, 2020, to June 4, 2020.

ResultsWe are expecting that West Bengal will have around 62279 {+/-} 5000 Cases by the end of August based on our forecasts. Meanwhile Maharashtra, Punjab, Gujarat and Delhi (UT) will be the most affected states, having the highest number of active and confirmed cases at the end of August.

Discussion and ConclusionThis forecasts show a very crucial situation for West Bengal in coming days and, the actual numbers can go higher than our estimates of confirmed case as Lockdown 5.0 & Unlock 1.0 will be implemented from 1st June 2020 in India, West Bengal will be observing a partial lift of the lockdown and in that case, there will be a surge in the number of daily confirmed and active cases. The requirement of Health care sector needs to be further improved isolation beds, ICUs and ventilators will also be needed to increase in that scenario. Inter State & Intra State Movement restrictions are lifted. Hence, Migrants returning to their homes due to loss of livelihood and income in the lockdown period may lead to a rise in the number of cases, which could not be accounted for in our projections. We suggest more of Public-Private Partnership (PPP) model in the health sector to accommodate COVID-19 patients adequately and reduce the burden of the already overstretched Indian public health care system, which will directly or indirectly affect the States in the time of crisis.","Sarkar, D.",2020-06-08,Public And Global Health,10.1101/2020.06.06.20124180,1,Dibash Sarkar,Adamas University,https://www.medrxiv.org/content/10.1101/2020.06.06.20124180v1?versioned=TRUE,https://www.medrxiv.org/content/10.1101/2020.06.06.20124180v1.full.pdf,cc_by_nc_nd,"NA"
9494,Disproportionate COVID-19 Related Mortality Amongst African Americans in Four Southern States in the United States,"BackgroundAfrican Americans have been severely affected by COVID-19 noted with the rising mortality rates within the African American community. Health disparities, health inequities and issues with systemic health access are some of the pre-existing issues African Americans were subjected to within the southern states in the United States. Second, social distancing is a critical non-pharmacological intervention to reduce the spread of COVID-19. However, social distancing was not practical and presented a challenge within the African American community, specifically, in the southern states.

ObjectiveThis article assesses the effect of COVID-19 on African Americans in the southern states.

MethodologyThis short communication queried the publicly available Department of Health statistics on COVID-19 related mortality and underlying health conditions in four southern states (Alabama [AL], Georgia [GA], Louisiana [LA] and Mississippi [MS]) with a high proportion of African American residents. Second, the unacast COVID-19 toolkit was used to derive a social distancing (SD) grade for any given state, based on three different metrics: (i) percent change in average distance travelled (ii) percent change in non-essential visits and (iii) decrease in human encounters (compared to national baseline).

ResultsAcross the four states, on average, as many as 54% of COVID-19 related deaths are in the African American community, although this minority group comprises only 32% of the population cumulatively. This article finds that all four southern states received a social distancing grade of F. COVID-19 have demonstrated that adverse outcomes are higher in individuals with underlying health conditions such as diabetes, cardiovascular diseases, or pre-existing pulmonary compromise.

ConclusionThe COVID-19 pandemic has exposed racial disparities in our healthcare system that disproportionately impacts African Americans within the four states of the southern United States. In addition, the lack of diversity in the healthcare system likely impacts this disproportionate impact on African American communities because it is not able to address its primary obligations within minority communities. Recognizing that there is a great need for African American representation or diversity in the health workforce would be able to better address the health disparities.","Betson, D. N.; Maitra, D. A.",2020-06-16,Epidemiology,10.1101/2020.06.08.20124297,2,Dr.nicole Betson,UT MD Anderson Cancer Center,https://www.medrxiv.org/content/10.1101/2020.06.08.20124297v2?versioned=TRUE,https://www.medrxiv.org/content/10.1101/2020.06.08.20124297v2.full.pdf,cc_by_nc_nd,"NA"
10461,Treatment of ARDS and hyperinflammation in COVID-19 with IL-6 antagonist Tocilizumab: a tertiary care experience from Pakistan,"Cytokine release syndrome in COVID-19 is characterized by hyperinflammation which manifests as ARDS, multi-organ failure, and high inflammatory parameters. Tocilizumab, an IL-6 antagonist has been used in COVID-19 acute respiratory distress syndrome (ARDS) with conflicting results from different parts of the world. We conducted a retrospective descriptive study from Feb 2020 to May 2020 on COVID-19 patients with ARDS and hyperinflammation characterized by raised CRP and/or ferritin. A total of 244 patients with COVID-19 were admitted out of which 107 had ARDS. Thirty patients had both ARDS and hyperinflammation and received tocilizumab. The mean age was 62.5 years (SD: 13.5) and the majority were male (83%). The mean CRP pre-treatment was 217.5 mg/L and post 48 to 72 hours of tocilizumab treatment was 98.5 mg/L. Twenty-one patients (70%) also received concomitant intravenous methylprednisolone. Of the 30 patients, 7 died and 20 recovered. Ten patients required intensive care unit admission and nine developed nosocomial infections. COVID-19 associated aspergillosis was diagnosed in three patients post tocilizumab treatment. Mortality was significantly higher in patients who developed a nosocomial infection and who required intermittent positive pressure ventilation (IPPV). Our study is the first to describe the treatment outcomes with tocilizumab from a low-middle income country. The availability and cost of tocilizumab in our region which makes it imperative to understand its potential for use in our setting. Our study supports the use of tocilizumab in a select patient population with COVID-19 and recommends monitoring of nosocomial infections and opportunistic infections.","Nasir, N.; Mahmood, S. F.; Habib, K.; Khanum, I.; Jamil, B.",2020-06-26,Infectious Diseases,10.1101/2020.06.23.20134072,1,Nosheen Nasir,Aga Khan University,https://www.medrxiv.org/content/10.1101/2020.06.23.20134072v1?versioned=TRUE,https://www.medrxiv.org/content/10.1101/2020.06.23.20134072v1.full.pdf,cc_no,"NA"
17617,"Association of COVID-19 RT-qPCR test false-negative rate with patient age, sex and time since diagnosis","BackgroundRoutine testing for SARS-CoV-2 in the community is essential for guiding key epidemiological decisions from the quarantine of individual patients to enrolling regional and national preventive measures. Yet, the primary testing tool, the RT-qPCR based testing, is notoriously known for its low sensitivity, i.e. high risk of missed detection of carriers. Quantifying the false-negative rate (FNR) of the RT-qPCR test at the community settings and its dependence on patient demographic and disease progression is therefore key in designing and refining strategies for disease spread prevention.

MethodsAnalyzing 843,917 test results of 521,696 patients, we identified false-negative (FN) and true-positive (TP) results as negative and positive results preceded by a COVID-19 diagnosis and followed by a later positive test. Regression analyses were used to determine associations of false-negative results with time of sampling after diagnosis, patient demographics and viral loads based on RT-qPCR Ct values of the next positive tests.

FindingsThe overall FNR was 22.8%, which is consistent with previous studies. Yet, this rate was much lower at the first 5 days following diagnosis (10.7%) and only increased in later dates. Furthermore, the FNR was strongly associated with demographics, with odds ratio of 1.74 (95% CI: 1.58-1.90) for women over men and 1.36 (95% CI: 1.34-1.39) for 10 years younger patients. Finally, FNR was associated with viral loads (p-value 0.0005), with a difference of 1.50 (95% CI: 0.70-2.30) between the average Ct of the N gene in a positive test following a false-negative compared to a positive test following a true-positive.

InterpretationOur results show that in the first few days following diagnosis, when results are critical for quarantine decisions, RT-qPCR testing is more reliable than previously reported. Yet the reliability of the test result is reduced in later days as well as for women and younger patients, where the viral loads are typically lower.

FundingThis research was supported by the ISRAEL SCIENCE FOUNDATION (grant No. 3633/19) within the KillCorona - Curbing Coronavirus Research Program.","Levine-Tiefenbrun, M.; Yelin, I.; Uriel, H.; Kuint, J.; Schreiber, L.; Herzel, E.; Katz, R.; Ben-Tov, A.; Patalon, T.; Chodick, G.; Kishony, R.",2020-11-17,Infectious Diseases,10.1101/2020.10.30.20222935,2,Idan Yelin,Technion-Israel Institute of Technology,https://www.medrxiv.org/content/10.1101/2020.10.30.20222935v2?versioned=TRUE,https://www.medrxiv.org/content/10.1101/2020.10.30.20222935v2.full.pdf,cc_by_nc,"NA"
8376,A systematic review and meta-analysis of cancer patients affected by a novel coronavirus,"BackgroundCancer patients with COVID-19 disease have been reported to have double the case fatality rate of the general population.

Materials and methodsA systematic search of PubMed/MEDLINE, Embase, Cochrane Central, Google Scholar, and MedRxiv was done for studies on cancer patients with COVID-19. Pooled proportions were calculated for categorical variables.Odds ratio and forest plots were constructed for both primary and secondary outcomes. The random-effects model was used to account for heterogeneity between studies.

ResultsThis systematic review of 31 studies and meta-analysis of 181,323 patients from 26 studies involving 23,736 cancer patients is the largest meta-analysis to the best of our knowledge assessing outcomes in cancer patients affected by COVID-19. Our meta-analysis shows that cancer patients with COVID-19 have a higher likelihood of death (odds ratio, OR 2.54), which was largely driven by mortality among patients in China. Cancer patients were more likely to be intubated, although ICU admission rates were not statistically significant. Among cancer subtypes, the mortality was highest in hematological malignancies (OR 2.43) followed by lung cancer (OR 1.8). There was no association between receipt of a particular type of oncologic therapy and mortality. Our study showed that cancer patients affected by COVID-19 are a decade older than the normal population and have a higher proportion of co-morbidities. There was insufficient data to assess the association of COVID-directed therapy and survival outcomes in cancer patients. Despite the heterogeneity of studies and inconsistencies in reported variables and outcomes, these data could guide clinical practice and oncologic care during this unprecedented global health pandemic.

ConclusionCancer patients with COVID-19 disease are at increased risk of mortality and morbidity. A more nuanced understanding of the interaction between cancer-directed therapies and COVID-19-directed therapies is needed. This will require uniform prospective recording of data, possibly in multi-institutional registry databases.","Venkatesulu, B. P.; Thoguluva Chandrasekar, V.; Giridhar, P.; Advani, P.; Sharma, A.; Hsieh, C. E.; Elumalai, T.; Elghazawy, H. I.; Verma, V.; Krishnan, S.",2020-05-29,Oncology,10.1101/2020.05.27.20115303,1,Bhanu Prasad Venkatesulu,Henry Ford Hospital,https://www.medrxiv.org/content/10.1101/2020.05.27.20115303v1?versioned=TRUE,https://www.medrxiv.org/content/10.1101/2020.05.27.20115303v1.full.pdf,cc_by_nc,10.1093/jncics/pkaa102
19947,Antigen-based rapid diagnostic testing or alternatives for diagnosis of symptomatic COVID-19: A simulation-based net benefit analysis,"BackgroundSARS-CoV-2 antigen-detection rapid diagnostic tests (Ag-RDTs) can diagnose COVID-19 rapidly and at low cost, but their lower sensitivity than nucleic acid amplification testing (NAAT) has limited clinical adoption.

MethodsWe compared Ag-RDT, NAAT, and clinical judgment alone for diagnosing symptomatic COVID-19. We considered an outpatient setting (10% COVID-19 prevalence among the patients tested, 3-day NAAT turnaround) and a hospital setting (40% prevalence, 24-hour NAAT turnaround). We simulated transmission from cases and contacts and relationships between time, viral burden, transmission, and case detection. We compared diagnostic approaches using a measure of net benefit that incorporated both clinical and public health benefits and harms of intervention.

ResultsIn the outpatient setting, we estimated that using Ag-RDT instead of NAAT to test 200 individuals could have a net benefit equivalent to preventing all symptomatic transmission from one person with COVID-19 (one """"transmission-equivalent""""). In the hospital setting, net benefit analysis favored NAAT, and testing 25 patients with NAAT instead of Ag-RDT achieved one """"transmission-equivalent"""" of incremental benefit. In both settings, Ag-RDT was preferred to NAAT if NAAT turnaround time exceeded two days. Both Ag-RDT and NAAT provided greater net benefit than management based on clinical judgment alone, unless intervention carried minimal harm and was provided equally regardless of diagnostic approach.

ConclusionsFor diagnosis of symptomatic COVID-19, the speed of diagnosis with Ag-RDT is likely to outweigh its lower accuracy compared to NAAT wherever NAAT turnaround times are two days or longer. This advantage may be even greater if Ag-RDTs are also less expensive.","Kendall, E. A.; Arinaminpathy, N.; Sacks, J. A.; Manabe, Y. C.; Dittrich, S.; Schumacher, S. G.; Dowdy, D. W.",2021-04-03,Infectious Diseases,10.1101/2020.12.16.20248357,3,Emily A Kendall,Johns Hopkins University School of Medicine,https://www.medrxiv.org/content/10.1101/2020.12.16.20248357v3?versioned=TRUE,https://www.medrxiv.org/content/10.1101/2020.12.16.20248357v3.full.pdf,cc_no,"NA"
18974,"Characteristics of COVID-19 patients admitted to a tertiary care hospital in Pune, India, and cost-effective predictors of intensive care treatment requirement","BackgroundMaharashtra is one of the worst affected states in this pandemic.2 As of 30th September, Maharashtra has in total 1.4 million cases with 38,000 deaths. Objective was to study associations of severity of disease and need for ICU treatment in COVID-19 patients.

MethodsA retrospective study of clinical course in 800 hospitalized COVID-19 patients, and a predictive model of need for ICU treatment. Eight hundred consecutive patients admitted with confirmed COVID-19 disease.

ResultsAverage age was 41 years, 16% were <20 years of age, 55% were male, 50% were asymptomatic and 16% had at least one comorbidity. Using MoHFW India severity guidelines, 73% patients had mild, 6% moderate and 20% severe disease. Severity was associated with higher age, symptomatic presentation, elevated neutrophil and reduced lymphocyte counts and elevated inflammatory markers. Seventy-seven patients needed ICU treatment: they were older (56 years), more symptomatic and had lower SpO2 and abnormal chest X-ray and deranged hematology and biochemistry at admission. A model trained on the first 500 patients, using above variables predicted need for ICU treatment with sensitivity 80%, specificity 88% in subsequent 300 patients; exclusion of expensive laboratory tests did not affect accuracy.

ConclusionIn the early phase of COVID- 19 epidemic, a significant proportion of hospitalized patients were young and asymptomatic. Need for ICU treatment was predicted by simple measures including higher age, symptomatic onset, low SpO2 and abnormal chest X-ray. We propose a cost-effective model for referring patients for treatment at specialized COVID-19 hospitals.

Key MessagesO_LIOf 800 patients, 73% had mild, 6% moderate and 20% had severe disease.
C_LIO_LISeventy-seven patients (9.6%) required ICU treatment, 25 (3%) died.
C_LIO_LIICU treatment was predicted by higher age, more symptomatic presentation, lower SpO2 and pneumonia on chest X-ray at admission.
C_LIO_LIA machine learning model features in first 500 patients accurately predicted ICU treatment in subsequent 300 patients.
C_LIO_LIA good clinical protocol, SpO2 and chest X-ray are adequate to predict and triage COVID-19 patients for hospital admissions in resource poor environments.
C_LI","Shukla, U. B.; Shukla, S. R.; Palve, S. B.; Yeravdekar, R.; Natarajan, V.; Tiwari, P.; Yajnik, C. S.",2020-11-30,Epidemiology,10.1101/2020.11.26.20239186,1,Chittaranjan S Yajnik,"Diabetes Unit, KEM Hospital Research Center, Rasta Peth, Pune-411011",https://www.medrxiv.org/content/10.1101/2020.11.26.20239186v1?versioned=TRUE,https://www.medrxiv.org/content/10.1101/2020.11.26.20239186v1.full.pdf,cc_no,"NA"
18376,Occurrence of cardiovascular complications associated with SARS-CoV-2 infection: a systematic review,"Cardiovascular Diseases represent the main cause of death in the world, and are associated with risk factors that cause serious complications in cases of infections, such as those of the respiratory tract. In March 2020 the World Health Organization declared a pandemic for SARS-CoV-2, a new coronavirus causing severe pneumonia, which emerged in December 2019 in Wuhan, China. The objective is to investigate the occurrence of cardiovascular complications associated with SARS-CoV-2 infection. It is a systematic review, quantitative, in the databases, PubMed and Science direct, including primary studies with hospitalized patients confirmed for COVID-19 and who presented cardiovascular complications, the form used tools for evaluation of quality and evidence, following the PRISMA recommendations. Results: 12 studies were included. The occurrence of cardiovascular complications was: 27.35% of the sample of 3,316 patients. Types: Acute cardiac injury 17.09%; Thromboembolism 4.73%; Heart failure 3.43%; Arrhythmias 1.77%; stroke 0.33%. Mean age 61 years. Conclusions: This study showed that there are several cardiovascular complications associated with SARS-CoV-2, that the main one is acute cardiac injury, which causes several instabilities in the cardiopulmonary system, and that it is associated with mortality.","Sardinha, D. M.; Lima, K. V.; Ueno, T. M.; Rodrigues, Y. C.; Garcez, J. C.; Santos, A. L.; Ferreira, A. L.; Guimaraes, R. J.; Lima, L. N.",2020-12-19,Cardiovascular Medicine,10.1101/2020.11.14.20231803,2,Daniele Melo Sardinha,Instituto Evandro Chagas,https://www.medrxiv.org/content/10.1101/2020.11.14.20231803v2?versioned=TRUE,https://www.medrxiv.org/content/10.1101/2020.11.14.20231803v2.full.pdf,cc_by_nc_nd,10.9734/jpri/2021/v33i1431270
