id,type,date_created,title,description,covid_flag,date_modified,date_published,attributes.original_publication_date,attributes.doi,attributes.is_published,attributes.is_preprint_orphan,tags,attributes.preprint_doi_created,date_withdrawn,attributes.current_user_permissions,attributes.public,attributes.reviews_state,date_last_transitioned,attributes.has_coi,attributes.conflict_of_interest_statement,attributes.has_data_links,attributes.why_no_data,attributes.data_links,attributes.has_prereg_links,attributes.why_no_prereg,attributes.prereg_links,attributes.prereg_link_info,attributes.subjects,attributes.license_record.copyright_holders,attributes.license_record.year,relationships.contributors.links.related.href,relationships.bibliographic_contributors.links.related.href,relationships.citation.links.related.href,relationships.citation.data.id,relationships.citation.data.type,relationships.identifiers.links.related.href,relationships.node.links.self.href,relationships.node.links.related.href,relationships.node.data.id,relationships.node.data.type,relationships.license.links.related.href,relationships.license.data.id,relationships.license.data.type,relationships.provider.links.related.href,relationships.provider.data.id,relationships.provider.data.type,relationships.files.links.related.href,relationships.primary_file.links.related.href,relationships.primary_file.data.id,relationships.primary_file.data.type,relationships.review_actions.links.related.href,relationships.requests.links.related.href,links.self,links.html,links.preprint_doi,links.doi,attributes.withdrawal_justification,relationships.identifiers.data,relationships.files.data,relationships.requests.data,attributes.license_record
59bzv,preprints,2021-01-22,Initial impacts of COVID-19 on youth offending: An exploration of differences across communities,"A number of international studies have found that the initial stages of the COVID-19 pandemic were associated with reductions in crime, primarily due to changes in the routine activities of the population. However, to date there has been no targeted exploration of how COVID-19 may have influenced youth offending, which may be more heavily impacted by the changes heralded by COVID-19 containment measures. This study examines changes in youth offending in an Australia jurisdiction, Queensland, following the implementation of COVID-19 containment measures from the period April to June, 2020. Additionally, differences in impacts across community types were explored. Findings from panel regression indicated significant declines in youth property offending, offences against the person and public order offences in this period, but no significant changes in illicit drug offences. There were also significant differences across communities according to socio-economic status, per cent Indigenous population, and the extent of commercial or industrial land use. Findings are explored with reference to environmental crime theories and the potential impacts of social, economic and policing changes that occurred in this period.",TRUE,2021-01-22,2021-01-22,2021-01-21T14:00:00,NA,TRUE,FALSE,community characteristics|COVID-19|pandemic|property offending|routine activities theory|social distancing|youth offending,2021-01-22T06:23:01.983416,NA,NA,TRUE,accepted,2021-01-22,FALSE,NA,no,Data is available from the Griffith University Social Analytics Laboratory.,NA,no,NA,NA,NA,5a8c80f0c698300375c76c07|Law|5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d96|Social and Behavioral Sciences|Other Social and Behavioral Sciences,Molly McCarthy|Jacqueline Homel|James Ogilvie|&amp; Troy Allard,2021,https://api.osf.io/v2/preprints/59bzv/contributors/,https://api.osf.io/v2/preprints/59bzv/bibliographic_contributors/,https://api.osf.io/v2/preprints/59bzv/citation/,59bzv,preprints,https://api.osf.io/v2/preprints/59bzv/identifiers/,https://api.osf.io/v2/preprints/59bzv/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e965/,563c1cf88c5e4a3877f9e965,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/59bzv/files/,https://api.osf.io/v2/files/600a2f2b75226b0039514c89/,600a2f2b75226b0039514c89,files,https://api.osf.io/v2/preprints/59bzv/review_actions/,https://api.osf.io/v2/preprints/59bzv/requests/,https://api.osf.io/v2/preprints/59bzv/,https://osf.io/preprints/socarxiv/59bzv/,https://doi.org/10.31235/osf.io/59bzv,NA,NA,NA,NA,NA,NA
qgtue,preprints,2021-01-21,The Gendered Consequences of a Weak Infrastructure of Care: School Reopening Plans and Parents’ Employment During the COVID-19 Pandemic,"The COVID-19 pandemic has upended in-person public education across the United States, a critical infrastructure of care that parents—especially mothers—depend on to work. To understand the nature and magnitude of school closures across states, we collected detailed primary data—the Elementary School Operating Status database (ESOS)—to measure the percentage of school districts offering in-person, remote, and hybrid instruction models for elementary schools by state in September 2020. We link these data to the Current Population Survey to evaluate the association between school reopening and parents’ labor force participation rates, comparing 2020 labor force participation rates to those observed pre-pandemic in 2019.  We find that, across states, the maternal labor force participation rate fell to a greater extent than that of fathers. In 2019, mothers’ rate of labor force participation was about 18 percentage points lower than fathers’. By 2020, this gap grew by five percentage points in states where schools offered primarily remote instruction. We show that schools are a vital source of care for young children, and that without in-person instruction, mothers have been sidelined from the labor force. The longer these conditions remain in place, the more difficult it may be for mothers to fully recover from prolonged spells of non-employment, resulting in reduced occupational opportunities and lifetime earnings.",TRUE,2021-04-12,2021-01-21,NA,NA,TRUE,FALSE,covid-19|employment|gender|inequality|mothers|public schools,2021-01-21T20:08:02.409080,NA,NA,TRUE,accepted,2021-01-21,FALSE,NA,available,Uses data fro m Current Population Survey (available through IPUMS) and ESOS (Elemetnary School Operating Status) database which is not yet publicly available but will soon be in 2021.,https://osf.io/zeqrj/,no,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|Social and Behavioral Sciences|Sociology,NA,2021,https://api.osf.io/v2/preprints/qgtue/contributors/,https://api.osf.io/v2/preprints/qgtue/bibliographic_contributors/,https://api.osf.io/v2/preprints/qgtue/citation/,qgtue,preprints,https://api.osf.io/v2/preprints/qgtue/identifiers/,https://api.osf.io/v2/preprints/qgtue/relationships/node/,https://api.osf.io/v2/nodes/zeqrj/,zeqrj,nodes,https://api.osf.io/v2/licenses/5ad7979bc69830002d8190e3/,5ad7979bc69830002d8190e3,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/qgtue/files/,https://api.osf.io/v2/files/6009d8d6e80d370a4da56fd1/,6009d8d6e80d370a4da56fd1,files,https://api.osf.io/v2/preprints/qgtue/review_actions/,https://api.osf.io/v2/preprints/qgtue/requests/,https://api.osf.io/v2/preprints/qgtue/,https://osf.io/preprints/socarxiv/qgtue/,https://doi.org/10.31235/osf.io/qgtue,NA,NA,NA,NA,NA,NA
tkbc2,preprints,2021-01-21,A Meta-Analysis of Scholarly Research on Corona virus through Big Data Approach,"The purpose of the study is to examine the status of scholarly literature on Corona virus indexed in the big database, the Lens, taking into account, top-cited articles, top contributors, top active country region, most accepted study field and open access status. Relative growth rate (RGR) and Doubling time (Dt) calculation is also a major reflects of the paper. The study analyzes the status of scholarly publications on Corona virus research as indexed by Lens spanning a period from the oldest record until July 15, 2020. “Structured Search” was made under “New Scholar Search” using the term “Corona virus” and restrict the search result only for “Journal Article”. Results obtained were imported through email (.csv file) for further analysis and visualization using spreadsheet software. The results of the study show that out of total 26628 scholarly outputs 2109 are cited in a patent while 15963 in another scholarly literature. “The University of Hong Kong” is the most productive university with 412 scholarly literature, “The United States” as a most contributing country provides 8433 publications, “Journal of Virology” is the most contributing journal with 1012 publications, “Kwok-Yung Yuen” contributed maximum as an individual author and “Elsevier” as a top journal publisher. Among the Lens indexed scholarly publications on Corona virus, 64.04% obtained open accessibility in terms of open access colour while 64.09% under an open-access. No previous study could be identified dealing with such meta-analysis using the Lens database.",TRUE,2021-01-21,2021-01-21,2020-08-11T18:30:00,10.26761/IJRLS.6.2.2020.1339,TRUE,FALSE,5 A's of Access|Big Data Approach|Corona virus|Doubling Time|Meta Analysis|Relative Growth Rate|SARS-CoV-2|The Lens,2021-01-21T11:14:01.971391,NA,NA,TRUE,accepted,2021-01-21,FALSE,NA,available,NA,http://www.ijrls.in/wp-content/uploads/2020/08/A-Meta-Analysis-of-Scholarly-Research-on-Corona-virus-through-Big-Data-Approach.pdf,available,NA,https://zenodo.org/record/3980322#.YAkOaP0zbIU,prereg_both,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dd4|Social and Behavioral Sciences|Library and Information Science|5a8c80f7c698300375c76d84|5a8c80f9c698300375c76e0c|Social and Behavioral Sciences|Social Statistics,NA,2021,https://api.osf.io/v2/preprints/tkbc2/contributors/,https://api.osf.io/v2/preprints/tkbc2/bibliographic_contributors/,https://api.osf.io/v2/preprints/tkbc2/citation/,tkbc2,preprints,https://api.osf.io/v2/preprints/tkbc2/identifiers/,https://api.osf.io/v2/preprints/tkbc2/relationships/node/,https://api.osf.io/v2/nodes/5tcen/,5tcen,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/tkbc2/files/,https://api.osf.io/v2/files/60090e85e80d3709e8a56adf/,60090e85e80d3709e8a56adf,files,https://api.osf.io/v2/preprints/tkbc2/review_actions/,https://api.osf.io/v2/preprints/tkbc2/requests/,https://api.osf.io/v2/preprints/tkbc2/,https://osf.io/preprints/socarxiv/tkbc2/,https://doi.org/10.31235/osf.io/tkbc2,https://doi.org/10.26761/IJRLS.6.2.2020.1339,NA,NA,NA,NA,NA
u3rn7,preprints,2021-01-20,Mobile Librarianship: An Initiative of New Normal,"Coronavirus has a clear negative impact on academic and research activities. Issues created by such pandemic e.g. loss of communication; shut down of school, college and universities; disruption of the formal learning process etc provoke us for the transformation of the learning process from conventional to digital. The primary requirement of this transformation is the availability of a sophisticated, affordable and multitasking tool for providing library services. It is now challenging for the libraries to satisfy their user needs and time to rethink and remodel their services by adopting technological changes. Today mobile phones are becoming an integral part of everyday life and are changing the way one connects and interacts with the world. This paper presents an outline of the concept and the application of developments in mobile telecommunication systems, web technologies to provide ubiquitous, user-friendly, personalized and dynamic up to date information services to the users of a library. Also, further studies are expanded to provide insight into the benefits and challenges against the implementation of mobile technologies to support this ‘new normal’ in the libraries. The practical and theoretical implications of the results have been explored.",TRUE,2021-01-20,2021-01-20,2020-09-09T18:30:00,10.5281/zenodo.4047716,TRUE,FALSE,COVID-19|ICT|Information and Communication Technology|MobileLibrarianship|Mobile Library Services|Mobile Technology,2021-01-20T14:53:01.584355,NA,NA,TRUE,accepted,2021-01-20,FALSE,NA,available,NA,http://www.irjms.in,available,NA,https://zenodo.org/record/4047716#.YAfFRdgzbIU,prereg_both,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76dd4|5a8c80f8c698300375c76dd9|Social and Behavioral Sciences|Library and Information Science|Scholarly Communication,NA,2020,https://api.osf.io/v2/preprints/u3rn7/contributors/,https://api.osf.io/v2/preprints/u3rn7/bibliographic_contributors/,https://api.osf.io/v2/preprints/u3rn7/citation/,u3rn7,preprints,https://api.osf.io/v2/preprints/u3rn7/identifiers/,https://api.osf.io/v2/preprints/u3rn7/relationships/node/,https://api.osf.io/v2/nodes/nxpcj/,nxpcj,nodes,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/u3rn7/files/,https://api.osf.io/v2/files/6007c552e80d370918a57043/,6007c552e80d370918a57043,files,https://api.osf.io/v2/preprints/u3rn7/review_actions/,https://api.osf.io/v2/preprints/u3rn7/requests/,https://api.osf.io/v2/preprints/u3rn7/,https://osf.io/preprints/socarxiv/u3rn7/,https://doi.org/10.31235/osf.io/u3rn7,https://doi.org/10.5281/zenodo.4047716,NA,NA,NA,NA,NA
h84bq,preprints,2021-01-19,Challenges and Strategies during Pandemic : An Indian Perspective,"The world history has been witnessed of number of pandemics including Russian flu in 1889, Spanish flu in 1918, Asian flu in 1957, HIV/AIDS (human immunodeficiency virus, acquired immunodeficiency syndrome) in 1981, and SARS (severe acute respiratory syndrome) in 2003. Now, the human community is struggling against transmitting disease called COVID-19 (coronavirus disease). Many countries, including China, Italy, the United States of America, Spain, France and Iran, etc. experienced catastrophic COVID-19 attack and lost the lives of their many citizens. India, the world's second-largest population, has not yet experienced the outbreak of corona disease on a community level, but India is most likely to be affected. This paper presents a countryside discussion on the process and importance of a quick response of India as a remedy against COVID-19. This paper is based on secondary data from various resources of world health organization (WHO), the Ministry of Health and Family Welfare, Government of India and other research documents. The analysis demonstrates the decline in the percent of COVID-19 infected people after proper social distancing implementation among the human community.",TRUE,2021-01-20,2021-01-20,2020-09-30T18:30:00,NA,TRUE,FALSE,Coronavirus|COVID-19|epidemic|hydroxychloroquine|lockdown|pandemic|social distancing,2021-01-20T14:51:43.143176,NA,NA,TRUE,accepted,2021-01-20,FALSE,NA,not_applicable,NA,NA,not_applicable,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80f8c698300375c76ddb|5a8c80f9c698300375c76de2|Social and Behavioral Sciences|Public Affairs, Public Policy and Public Administration|Health Policy",NA,2021,https://api.osf.io/v2/preprints/h84bq/contributors/,https://api.osf.io/v2/preprints/h84bq/bibliographic_contributors/,https://api.osf.io/v2/preprints/h84bq/citation/,h84bq,preprints,https://api.osf.io/v2/preprints/h84bq/identifiers/,https://api.osf.io/v2/preprints/h84bq/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96c/,563c1cf88c5e4a3877f9e96c,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/h84bq/files/,https://api.osf.io/v2/files/6007372386541a08d714a3ff/,6007372386541a08d714a3ff,files,https://api.osf.io/v2/preprints/h84bq/review_actions/,https://api.osf.io/v2/preprints/h84bq/requests/,https://api.osf.io/v2/preprints/h84bq/,https://osf.io/preprints/socarxiv/h84bq/,https://doi.org/10.31235/osf.io/h84bq,NA,NA,NA,NA,NA,NA
m95df,preprints,2021-01-19,Inequality in employment trajectories and their  socio-economic consequences during the early phase of the COVID-19 pandemic in Germany,"This paper evaluates the inequalities in employment trajectories during the first COVID-19 pandemic lockdown in Germany. We assess individual-level panel data collected weekly between 20 March and 25 June (N=2,297), which allows us to examine the risks of short-time work, furlough, and job loss, as well as changes between working on-site and from home. Using sequence analysis, we detect typical patterns of employment trajectories and analyse how these vary between socio-demographic groups. Finally, we relate the types of employment trajectories to changes in income, subjective job security (compared to values in January and February 2020), and COVID-19 infection risks. Our results show clear gradients in employment risks: low-wage workers were severely affected by furlough and job loss, while highly qualified employees were able to work from home. Furthermore, in contrast to previous crises, service sector and female employees were more affected by short-time work; however, its timing and duration differs compared to male workers in manufacturing. Income loss was pronounced among those who became unemployed and those continuously in short-term work, while everybody—including employees continuously working from home—experienced a significant reduction in subjective job security compared to employees whose employment hours or location have not changed. The infection risk was only increased for individuals who changed from furlough to working on-site.",TRUE,2021-02-02,2021-01-19,NA,NA,TRUE,FALSE,COVID-19|COVID-19 infection risks|Employment trajectories|Job Security|Lockdown|Panel data|Remote work|Sequence Analysis|Short-time work|Working from home,2021-01-19T12:16:40.899794,NA,NA,TRUE,accepted,2021-01-19,FALSE,NA,no,The source data is not yet published.,NA,no,No preregistration avaiable,NA,NA,"5a8c80f7c698300375c76d84|5a8c80f9c698300375c76e0c|Social and Behavioral Sciences|Social Statistics|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e35|Social and Behavioral Sciences|Sociology|Inequality, Poverty, and Mobility|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e38|Social and Behavioral Sciences|Sociology|Organizations, Occupations, and Work",NA,2021,https://api.osf.io/v2/preprints/m95df/contributors/,https://api.osf.io/v2/preprints/m95df/bibliographic_contributors/,https://api.osf.io/v2/preprints/m95df/citation/,m95df,preprints,https://api.osf.io/v2/preprints/m95df/identifiers/,https://api.osf.io/v2/preprints/m95df/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/m95df/files/,https://api.osf.io/v2/files/6006b9b7df7ff00055474318/,6006b9b7df7ff00055474318,files,https://api.osf.io/v2/preprints/m95df/review_actions/,https://api.osf.io/v2/preprints/m95df/requests/,https://api.osf.io/v2/preprints/m95df/,https://osf.io/preprints/socarxiv/m95df/,https://doi.org/10.31235/osf.io/m95df,NA,NA,NA,NA,NA,NA
hprjb,preprints,2021-01-18,Decline in rate of divorce and separation filings in Denmark in 2020 compared to previous years,"The radical changes to everyday life brought on by the COVID-19 pandemic and the closure of non-family social spheres in particular may have impacted marriage dynamics. We provide evidence on the monthly rates of initiation of divorce and separation filings in Denmark for the period 2016-2020 to examine how filing behavior changed during 2020 compared to the four previous years. Because filing rates precedes a divorce, rates reflect more precise the temporal dynamic of divorce initiation. Rates of initiation of divorce filings declined in 2020 to the lowest level in the period 2016-2020. On average, monthly rates in 2020 were 7 percent lower than 2019 rates and 20 percent lower than 2016 rates. There is little indication of the COVID-19 pandemic having an immediate influence on divorce dynamics, although the filing rate was more depressed during lockdown periods.",TRUE,2021-04-17,2021-01-18,NA,NA,TRUE,FALSE,covid-19|divorce|population data|vital statistics,2021-01-18T19:47:42.356756,NA,NA,TRUE,accepted,2021-01-18,FALSE,NA,available,NA,http://www.statistikbanken.dk,no,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e4c|Social and Behavioral Sciences|Sociology|Family,NA,2021,https://api.osf.io/v2/preprints/hprjb/contributors/,https://api.osf.io/v2/preprints/hprjb/bibliographic_contributors/,https://api.osf.io/v2/preprints/hprjb/citation/,hprjb,preprints,https://api.osf.io/v2/preprints/hprjb/identifiers/,https://api.osf.io/v2/preprints/hprjb/relationships/node/,https://api.osf.io/v2/nodes/483e9/,483e9,nodes,https://api.osf.io/v2/licenses/5ad7979bc69830002d8190e3/,5ad7979bc69830002d8190e3,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/hprjb/files/,https://api.osf.io/v2/files/6005daa7ba010907a8890c12/,6005daa7ba010907a8890c12,files,https://api.osf.io/v2/preprints/hprjb/review_actions/,https://api.osf.io/v2/preprints/hprjb/requests/,https://api.osf.io/v2/preprints/hprjb/,https://osf.io/preprints/socarxiv/hprjb/,https://doi.org/10.31235/osf.io/hprjb,NA,NA,NA,NA,NA,NA
f4jsy,preprints,2021-01-14,Socioeconomic disparities in school absenteeism after the first wave of COVID-19 school closures in Scotland,"Key Points
-	Student absences after the first wave of Covid-19 school closures were higher than in previous years
-	Higher rates of absenteeism after school lockdown were due to COVID-19 related reasons
-	Overall, non-Covid-19-related absence rates are similar to trends observed in earlier years 
-	Socioeconomic inequalities in school absenteeism were higher post-lockdown than in previous years
-	This increase can be attributed to rising disparities in school absenteeism due to Covid-19-related and non-Covid-19 reasons
-	The rise in socioeconomic inequality in non-Covid-19related absenteeism was not only due to higher absence rates among students from the most deprived areas but also due to lower absence rates among students from the least deprived areas
-	Addressing the  disproportionate short- and long-term  impact of the pandemic on the most vulnerable children needs to be at the forefront of policy agenda
-	We need greater monitoring and evaluation of
o	inequalities in home learning during the second round of school closures
o	inequalities in academic achievement after school reopening 
o	policy interventions designed to mitigate the consequences of Covid-19 on achievement gaps.",TRUE,2021-01-14,2021-01-14,NA,NA,TRUE,FALSE,NA,2021-01-14T11:52:43.034021,NA,NA,TRUE,accepted,2021-01-14,FALSE,NA,available,NA,https://public.tableau.com/profile/sg.eas.learninganalysis#!/vizhome/COVID19-SchoolsandChildcareInformation/Introduction,no,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e26|Social and Behavioral Sciences|Sociology|Sociology of Education,NA,2021,https://api.osf.io/v2/preprints/f4jsy/contributors/,https://api.osf.io/v2/preprints/f4jsy/bibliographic_contributors/,https://api.osf.io/v2/preprints/f4jsy/citation/,f4jsy,preprints,https://api.osf.io/v2/preprints/f4jsy/identifiers/,https://api.osf.io/v2/preprints/f4jsy/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96c/,563c1cf88c5e4a3877f9e96c,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/f4jsy/files/,https://api.osf.io/v2/files/6000179cba0109052d890843/,6000179cba0109052d890843,files,https://api.osf.io/v2/preprints/f4jsy/review_actions/,https://api.osf.io/v2/preprints/f4jsy/requests/,https://api.osf.io/v2/preprints/f4jsy/,https://osf.io/preprints/socarxiv/f4jsy/,https://doi.org/10.31235/osf.io/f4jsy,NA,NA,NA,NA,NA,NA
258cd,preprints,2021-01-14,Challenges of e-Learning during the COVID-19 Pandemic Experienced by EFL Learners,"COVID-19 has disrupted most of the industries in the world. Education is the only industry that is completely transferred to online mode in most countries around the world. Online learning was the best solution for continuing education during the pandemic, especially in tertiary education. This study aims to determine the challenges and obstacles confronted by English language learners (EFL) in Science and Arts College, Alula, Taibah University, Saudi Arabia, during switching to online learning in the second semester of 2020 due to the COVID-19 pandemic. The contribution of this study is to evaluate the learners’ new experiences in online education and to assess the feasibility of the virtual methods of learning. This is achieved by analyzing 184 learners’ responses to the survey-based questionnaire. A descriptive statistical method was used to test the validation of the study. It is found that the main problems that influence and impact online EFL learning during COVID-19 are related to technical, academic, and communication challenges.  The study results show that most EFL learners are not satisfied with continuing online learning, as they could not fulfill the expected progress in language learning performance.",TRUE,2021-01-14,2021-01-14,NA,10.24093/awej/vol11no4.23,TRUE,FALSE,COVID-19 Pandemic|EFL learners|learning challenges|Online learning|Taibah University,2021-01-14T04:42:45.553981,NA,NA,TRUE,accepted,2021-01-14,FALSE,NA,not_applicable,NA,NA,not_applicable,NA,NA,NA,5a8c80f2c698300375c76c7d|5a8c80f3c698300375c76c92|Arts and Humanities|European Languages and Societies,NA,2021,https://api.osf.io/v2/preprints/258cd/contributors/,https://api.osf.io/v2/preprints/258cd/bibliographic_contributors/,https://api.osf.io/v2/preprints/258cd/citation/,258cd,preprints,https://api.osf.io/v2/preprints/258cd/identifiers/,https://api.osf.io/v2/preprints/258cd/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/258cd/files/,https://api.osf.io/v2/files/5fffbb1386541a052a14befa/,5fffbb1386541a052a14befa,files,https://api.osf.io/v2/preprints/258cd/review_actions/,https://api.osf.io/v2/preprints/258cd/requests/,https://api.osf.io/v2/preprints/258cd/,https://osf.io/preprints/socarxiv/258cd/,https://doi.org/10.31235/osf.io/258cd,https://doi.org/10.24093/awej/vol11no4.23,NA,NA,NA,NA,NA
azsb3,preprints,2021-01-13,COVID-19 associated discrimination in Germany: Realistic and symbolic threats,"The contribution focusses on Covid-19 associated discrimination (CAD) in Germany and asks whether immigrants from Asian origin are increasingly discriminated against during the COVID-19 pandemic and whether other immigrant groups face similar threats. Using data from the COVID-19 add-on-survey for CILS4EU-DE (CILS4COVID), we demonstrate that immigrants from Asian origin report an increasing CAD during the pandemic, which is more pronounced for respondents residing in administrative districts with a more dynamic COVID-19 situation. Similar results can be found for respondents originating from both American continents and from countries of the former Soviet Union. Given that COVID-19 was first reported in Asia, but with rather low number of infections later on, and the rather high infection rates on both American continents and in Russia, we conclude that CAD experienced by these groups might happen in a reaction to both realistic and symbolic threats posed by the virus.",TRUE,2021-01-13,2021-01-13,2021-01-12T23:00:00,NA,TRUE,FALSE,Asians|COVID-19|COVID-19 associated discrimination|Germany|intergroup threat theory (ITT)|symbolic and realistic threat,2021-01-13T22:40:03.464113,NA,NA,TRUE,accepted,2021-01-13,FALSE,NA,no,Data of the CILS4COVID-add on study will be availbale at the end of March 2021 at the GESIS Data Archive for the Social Sciences in Cologne. The data for CILS4EU(-DE) (waves 1-7) is already available there: doi:10.4232/cils4eu.5656.1.2.0; doi:10.4232/cils4eu.5656.2.3.0; doi:10.4232/cils4eu.5656.3.3.0; doi:10.4232/cils4eu-de.6656.4.0.0,NA,no,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e2a|Social and Behavioral Sciences|Sociology|Racial and Ethnic Minorities|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e44|Social and Behavioral Sciences|Sociology|Race, Gender, and Class|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e47|Social and Behavioral Sciences|Sociology|Children and Youth|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e4b|Social and Behavioral Sciences|Sociology|Social Psychology and Interaction|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e4e|Social and Behavioral Sciences|Sociology|Medical Sociology",NA,2021,https://api.osf.io/v2/preprints/azsb3/contributors/,https://api.osf.io/v2/preprints/azsb3/bibliographic_contributors/,https://api.osf.io/v2/preprints/azsb3/citation/,azsb3,preprints,https://api.osf.io/v2/preprints/azsb3/identifiers/,https://api.osf.io/v2/preprints/azsb3/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/azsb3/files/,https://api.osf.io/v2/files/5ffea558e80d370472a5891d/,5ffea558e80d370472a5891d,files,https://api.osf.io/v2/preprints/azsb3/review_actions/,https://api.osf.io/v2/preprints/azsb3/requests/,https://api.osf.io/v2/preprints/azsb3/,https://osf.io/preprints/socarxiv/azsb3/,https://doi.org/10.31235/osf.io/azsb3,NA,NA,NA,NA,NA,NA
