join_id,doi,title,authors,author_corresponding,author_corresponding_institution,date,version,license,category,jatsxml,abstract,published,node,link_page,link_pdf,article,is_open_data,open_data_category,is_open_code,open_data_statements,open_code_statements
066688,10.1101/066688,Cross-scale dynamics and the evolutionary emergence of infectious diseases,"Schreiber, S. J.; Ke, R.; Loverdo, C.; Park, M.; Ahsan, P.; Lloyd-Smith, J. O.",Sebastian J. Schreiber,"University of California, Davis",2019-12-23,3,cc_no,Epidemiology,https://www.biorxiv.org/content/early/2019/12/23/066688.source.xml,"AO_SCPLOWBSTRACTC_SCPLOWWhen emerging pathogens encounter new host species for which they are poorly adapted, they must evolve to escape extinction. Pathogens experience selection on traits at multiple scales, including replication rates within host individuals and transmissibility between hosts. We analyze a stochastic model linking pathogen growth and competition within individuals to transmission between individuals. Our analysis reveals a new factor, the cross-scale reproductive number of a mutant virion, that quantifies how quickly mutant strains increase in frequency when they initially appear in the infected host population. This cross-scale reproductive number combines with viral mutation rates, single-strain reproductive numbers, and transmission bottleneck width to determine the likelihood of evolutionary emergence, and whether evolution occurs swiftly or gradually within chains of transmission. We find that wider transmission bottlenecks facilitate emergence of pathogens with short-term infections, but hinder emergence of pathogens exhibiting cross-scale selective conflict and long-term infections. Our results provide a framework to advance the integration of laboratory, clinical and field data in the context of evolutionary theory, laying the foundation for a new generation of evidence-based risk assessment of emergence threats.",1,2,https://www.biorxiv.org/content/10.1101/066688v3?versioned=TRUE,https://www.biorxiv.org/content/10.1101/066688v3.full.pdf,_10.1101_066688.txt,0,NA,0,NA,NA
078998,10.1101/078998,A bacterial size law revealed by a coarse-grained model of cell physiology,"Bertaux, F.; Von Kügelgen, J.; Marguerat, S.; Shahrezaei, V.",François Bertaux,Imperial College London,2019-02-22,2,cc_by_nc,Biophysics,https://www.biorxiv.org/content/early/2019/02/22/078998.source.xml,"Universal observations in Biology are sometimes described as ""laws"". In E. coli, experimental studies performed over the past six decades have revealed major growth laws relating ribosomal mass fraction and cell size to the growth rate. Because they formalize complex emerging principles in biology, growth laws have been instrumental in shaping our understanding of bacterial physiology. Here, we discovered a novel size law that connects cell size to the inverse of the metabolic proteome mass fraction and the active fraction of ribosomes. We used a simple whole-cell coarse-grained model of cell physiology that combines the proteome allocation theory and the structural model of cell division. The model captures all available experimental data connecting the cell proteome composition, ribosome activity, division size and growth rate in response to nutrient quality, antibiotic treatment and increased protein burden. Finally, a stochastic extension of the model explains non-trivial correlations observed in single cell experiments including the adder principle. This work provides a simple and robust theoretical framework for studying the fundamental principles of cell size determination in unicellular organisms.",1,1,https://www.biorxiv.org/content/10.1101/078998v2?versioned=TRUE,https://www.biorxiv.org/content/10.1101/078998v2.full.pdf,_10.1101_078998.txt,0,NA,1,NA,code availability all the code for solving model steady-state simulating model dynamics parameter fitting etc. as well as the scripts generating all figures is available on github.
106138,10.1101/106138,Iroki: automatic customization and visualization of phylogenetic trees,"Moore, R. M.; Harrison, A. O.; Mcallister, S. M.; Polson, S. W.; Wommack, K. E.",Ryan M Moore,"Center for Bioinformatics & Computational Biology, University of Delaware, Newark, DE, USA",2019-09-28,6,cc_by,Bioinformatics,https://www.biorxiv.org/content/early/2019/09/28/106138.source.xml,"Phylogenetic trees are an important analytical tool for evaluating community diversity and evolutionary history. In the case of microorganisms, the decreasing cost of sequencing has enabled researchers to generate ever-larger sequence datasets, which in turn have begun to fill gaps in the evolutionary history of microbial groups. However, phylogenetic analyses of these types of datasets create complex trees that can be challenging to interpret. Scientific inferences made by visual inspection of phylogenetic trees can be simplified and enhanced by customizing various parts of the tree. Yet, manual customization is time-consuming and error prone, and programs designed to assist in batch tree customization often require programming experience or complicated file formats for annotation. Iroki, a user-friendly web interface for tree visualization, addresses these issues by providing automatic customization of large trees based on metadata contained in tab-separated text files. Irokis utility for exploring biological and ecological trends in sequencing data was demonstrated through a variety of microbial ecology applications in which trees with hundreds to thousands of leaf nodes were customized according to extensive collections of metadata. The Iroki web application and documentation are available at https://www.iroki.net or through the VIROME portal (http://virome.dbi.udel.edu). Irokis source code is released under the MIT license and is available at https://github.com/mooreryan/iroki.",1,3,https://www.biorxiv.org/content/10.1101/106138v6?versioned=TRUE,https://www.biorxiv.org/content/10.1101/106138v6.full.pdf,_10.1101_106138.txt,1,"general-purpose repository, data availability statement",1,331  additional information and declarations  323 324 325 326 327 328 329  332 333 334  335 336 337 338 339 340 341 342 343 344 345 346  347 348  349 350  availability of data and materials data used to generate figures for this manuscript are available for download on zenodo at the following url: https://doi.org/10.5281/zenodo.3458510.     availability of data and materials data used to generate figures for this manuscript are available for download on zenodo,iroki’s source code is released under the mit license and is available at https://github.com/mooreryan/iroki.;     iroki’s source code is released under the mit license and is available on github: https://github.com/mooreryan/ iroki.
133199,10.1101/133199,SEA: The Small RNA Expression Atlas,"Rahman, R.-U.; Bansal, V.; Fiosins, M.; Liebhoff, A.-M.; Rajput, A.; Sattar, A.; Magruder, D. S.; Madan, S.; Sun, T.; Gautam, A.; Heins, S.; Liwinski, T.; Bethune, J.; Trenkwalder, C.; Fluck, J.; Mollenhauer, B.; Bonn, S.",Stefan Bonn,DZNE,2019-07-02,3,cc_by,Bioinformatics,https://www.biorxiv.org/content/early/2019/07/02/133199.source.xml,"We present the Small RNA Expression Atlas (SEA), a web application that allows for the interactive querying, visualization, and analysis of known and novel small RNAs across ten organisms. It contains sRNA and pathogen expression information for over 4,200 published samples with standardized search terms and ontologies. In addition, SEA allows for the interactive visualization and re-analysis of 879 differential expression and 514 classification comparisons. SEAs user model enables sRNA researchers to compare and re-analyze user-specific and published datasets, highlighting common and distinct sRNA expression patterns.\n\nWe provide evidence for SEAs fidelity by (i) generating a set of 591 tissue specific miRNAs across 30 tissues, (ii) finding known and novel bacterial and viral infections across diseases, and (iii) determining a Parkinsons disease-specific blood biomarker signature using novel data.\n\nWe believe that SEAs simple semantic search interface, the flexible interactive reports, and the user model with rich analysis capabilities will enable researchers to better understand the potential function and diagnostic value of sRNAs or pathogens across tissues, diseases, and organisms.\n\nAvailability and ImplementationSEA is implemented in Java, J2EE, spring, Django, html5, css3, JavaScript, Bootstrap, Vue.js, D3, mongodb and neo4j. It is freely available at http://sea.ims.bio/.",0,9,https://www.biorxiv.org/content/10.1101/133199v3?versioned=TRUE,https://www.biorxiv.org/content/10.1101/133199v3.full.pdf,_10.1101_133199.txt,1,supplement,0,csv files. the functionality is tested on all major browsers (table 4,NA
135483,10.1101/135483,cyTRON and cyTRON/JS: two Cytoscape-based applications for the inference of cancer evolution models,"Patruno, L.; Galimberti, E.; Ramazzotti, D.; Caravagna, G.; De Sano, L.; Antoniotti, M.; Graudenzi, A.",Daniele Ramazzotti,"Department of Pathology, Stanford University, Stanford, CA, USA",2019-07-20,2,cc_no,Bioinformatics,https://www.biorxiv.org/content/early/2019/07/20/135483.source.xml,"The increasing availability of sequencing data of cancer samples is fueling the development of algorithmic strategies to investigate tumor heterogeneity and infer reliable models of cancer evolution. We here build up on previous works on cancer progression inference from genomic alteration data, to deliver two distinct Cytoscape-based applications, which allow to produce, visualize and manipulate cancer evolution models, also by interacting with public genomic and proteomics databases. In particular, we here introduce cyTRON, a stand-alone Cytoscape app, and cyTRON/JS, a web application which employs the functionalities of Cytoscape/JS.\n\ncyTRON was developed in Java; the code is available at https://github.com/BIMIB-DISCo/cyTRON and on the Cytoscape App Store http://apps.cytoscape.org/apps/cytron. cyTRON/JS was developed in JavaScript and R; the source code of the tool is available at https://github.com/BIMIB-DISCo/cyTRON-js and the tool is accessible from https://bimib.disco.unimib.it/cytronjs/welcome.",0,4,https://www.biorxiv.org/content/10.1101/135483v2?versioned=TRUE,https://www.biorxiv.org/content/10.1101/135483v2.full.pdf,_10.1101_135483.txt,0,NA,1,NA,in particular we here introduce cytron a standalone cytoscape app and cytron/js a web application which employs the functionalities of cytoscape/js. cytron was developed in java; the code is available at https://github.com/bimib-disco/cytron and on the cytoscape app store http://apps.cytoscape.org/apps/cytron. cytron/js was developed in javascript and r; the source code of the tool is available at https://github.com/bimib-disco/cytron-js and the tool is accessible from https://bimib.disco.unimib.it/cytronjs/welcome.
170787,10.1101/170787,ASPEN: A methodology for reconstructing protein evolutionwith improved accuracy using ensemble models,"Sloutsky, R.; Naegle, K. M.",Kristen M. Naegle,Washington University in St. Louis,2019-04-11,3,cc_by_nd,Bioinformatics,https://www.biorxiv.org/content/early/2019/04/11/170787.source.xml,"Mapping the history of ancestor divergence can yield critical insight into protein function. However, reconstruction of this evolutionary history is subject to a great deal of uncertainty, as selection and alignment of extant descendants to represent each ancestor dramatically affects phylogenetic inference of all ancestral nodes. Although historically problematic and somewhat ignored, here we capitalize on that variability by subsampling descendants of each ancestor, generating an ensemble of reconstructions, and integrating over the resulting topological diversity to improve the accuracy of ancestor divergence reconstruction, above the level of subsampling. First, we demonstrate that reproducibility of an all-sequence, single-alignment reconstruction, measured by comparing topologies inferred from 90% subsamples, can be used to assess the likely accuracy of single-alignment reconstructions. We believe this relationship results from modulation of the likelihood landscape around the true topology induced by alignments of resampled sequences. Second, we hypothesize that topological features observed consistently across an ensemble of subsampled reconstructions best reflect true evolutionary history, despite the inaccuracy of each individual reconstruction due to the failure by substitution models to infer the correct sequence of mutations that produced the input sequences. We present a scoring function that evaluates topologies on the basis of their consistency with features extracted from an ensemble, and a reconstruction algorithm (ASPEN) that produces and ranks topologies according to that function. We test our methodology on 600 simulated protein families and the LacI transcription factor family, and find that ASPEN topologies are significantly more accurate than single-alignment reconstructions.",1,5,https://www.biorxiv.org/content/10.1101/170787v3?versioned=TRUE,https://www.biorxiv.org/content/10.1101/170787v3.full.pdf,_10.1101_170787.txt,1,general-purpose repository,1,all sequence simulation materials and simulated sequence alignments are available via figshare (10.6084/m9.figshare.5263885).;     all sequence simulation materials including synthetic phylogenies the template alignment and indel-seq-gen control files as well as simulated sequence alignments are available via figshare (10.6084/m9.figshare.5263885).,the aspen development repository is publicly available at https://github.com/naeglelab/aspen.
199778,10.1101/199778,Visualization of myosin II filament dynamics in remodeling acto-myosin networks with interferometric scattering microscopy,"Mosby, L. S.; Hundt, N.; Young, G. C.; Fineberg, A.; Polin, M.; Mayor, S.; Kukura, P.; Koester, D. V.",Darius Koester,"University Warwick, National Centre for Biological Sciences",2019-09-14,4,cc_by_nc_nd,Biophysics,https://www.biorxiv.org/content/early/2019/09/14/199778.source.xml,"The plasma membrane and the underlying cytoskeletal cortex constitute active platforms for a variety of cellular processes. Recent work has shown that the remodeling acto-myosin network modifies local membrane organization, but the molecular details are only partly understood due to difficulties with experimentally accessing the relevant time and length scales. Here, we use interferometric scattering (iSCAT) microscopy to investigate a minimal acto-myosin network linked to a supported lipid bilayer membrane. Using the magnitude of the interferometric contrast, which is proportional to molecular mass, and fast acquisition rates, we detect, and image individual membrane attached actin filaments diffusing within the acto-myosin network and follow individual myosin II filament dynamics. We quantify myosin II filament dwell times and processivity as a function of ATP concentration, providing evidence for the predicted ensemble behavior of myosin head domains. Our results show how decreasing ATP concentrations lead to both increasing dwell times of individual myosin II filaments and a global change from a remodeling to a contractile state of the acto-myosin network.

Statement of SignificanceHere, we show that interferometric scattering microscopy in combination with single particle tracking enables label-free, high contrast imaging of filament dynamics on surfaces, while distinguishing different species based on their mass. These results significantly broaden the available toolkit, and associated capabilities of researchers studying dynamics of biological machines at interfaces.",1,5,https://www.biorxiv.org/content/10.1101/199778v4?versioned=TRUE,https://www.biorxiv.org/content/10.1101/199778v4.full.pdf,_10.1101_199778.txt,0,NA,1,NA,detection and tracking image analysis and single particle tracking (spt) was carried out using imagej and python code developed for this work (more detailed descriptions of the computational methods are provided in the supplementary information code is available upon request).
2019.12.11.871855,10.1101/2019.12.11.871855,Early sexual dimorphism in the developing gut microbiome of northern elephant seals,"Stoffel, M. A.; Acevedo-Whitehouse, K.; Morales-Duran, N.; Grosser, S.; Chakarov, N.; Krüger, O.; Nichols, H. J.; Elorriaga-Verplancken, F. R.; Hoffman, J. I.",Martin Adam Stoffel,University of Edinburgh,2019-12-12,1,cc_by_nc_nd,Molecular Biology,https://www.biorxiv.org/content/early/2019/12/12/2019.12.11.871855.source.xml,"The gut microbiome is an integral part of a species ecology, but we know little about how host characteristics impact its development in wild populations. Here, we explored the role of such intrinsic factors in shaping the gut microbiome of northern elephant seals during a critical developmental window of six weeks after weaning, when the pups stay ashore without feeding. We show that the early-life gut microbiome is already substantially different in male and female pups, even though males and females cannot yet be distinguished morphologically. Sex and age both explain around 15% of the variation in gut microbial beta diversity, while microbial communities sampled from the same individual show high levels of similarity across time, explaining another 40% of the variation. Only a small proportion of the variation in beta diversity is explained by health status, but healthy individuals have a greater microbial alpha diversity than their non-healthy peers. Across the post-weaning period, the elephant seal gut microbiome is highly dynamic. We found evidence for several colonisation and extinction events as well as a decline in Bacteriodes and an increase in Prevotella, a pattern that has previously been associated with the transition from nursing to solid food. Lastly, we show that genetic relatedness is correlated with gut microbiome similarity in males but not females, again reflecting substantial early sex-differences. Our study represents a naturally diet-controlled and longitudinal investigation of how intrinsic factors shape the early gut microbiome in a species with extreme sex differences in morphology and life history.",1,456,https://www.biorxiv.org/content/10.1101/2019.12.11.871855v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2019.12.11.871855v1.full.pdf,_10.1101_2019.12.11.871855.txt,1,general-purpose repository,1,the raw 16s sequences will be deposited on dryad upon  623  publication.  624  23   biorxiv preprint doi: https://doi.org/10.1101/2019.12.11.871855; this version posted december 12 2019. 621  the complete documented analysis pipeline and data to reproduce all analyses in the paper can be accessed via  622  github (https://github.com/mastoffel/nes_microbiome).,621  the complete documented analysis pipeline and data to reproduce all analyses in the paper can be accessed via  622  github (https://github.com/mastoffel/nes_microbiome).
2019.12.11.872218,10.1101/2019.12.11.872218,Measurements of 3-D morphology of individual red blood cells upon localized photothermal effects using gold nanorods,"Song, C.; Lee, G.-H.; Oh, J.; Lee, M.; Shin, S.; Lee, S.; Nam, Y.; Park, Y.",Yongkeun Park,KAIST,2019-12-12,1,cc_by,Biophysics,https://www.biorxiv.org/content/early/2019/12/12/2019.12.11.872218.source.xml,"We investigated the in-situ photothermal response of human red blood cells (RBCs) by combining photothermal heat generation and 3D quantitative phase imaging techniques. Gold-nanorod-coated substrates were excited using near-infrared light to generate local heat to RBCs, and response was measured by imaging 3-D refractive index tomograms of cells under various near infrared (NIR) excitation conditions. On photothermal treatment, cell morphology changed from discoid to crescent shapes, cell volume and dry mass decreased, and hemoglobin concentration increased. We also investigated the irreversible deformation of RBCs when multiple intense excitation shocks are applied. These results provide a new understanding of thermodynamic aspects of cell biology and hematology.

O_FIG_DISPLAY_L [Figure 1] M_FIG_DISPLAY C_FIG_DISPLAY",0,447,https://www.biorxiv.org/content/10.1101/2019.12.11.872218v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2019.12.11.872218v1.full.pdf,_10.1101_2019.12.11.872218.txt,0,NA,0,NA,NA
2019.12.11.873471,10.1101/2019.12.11.873471,Islet architecture controls synchronous β cell response to glucose in the intact mouse pancreas in vivo,"Adams, M. T.; Reissaus, C. A.; Szulczewski, J. M.; Dwulet, J. M.; Lyman, M. R.; Sdao, S. M.; Nimkulrat, S. D.; Ponik, S. M.; Merrins, M. J.; Benninger, R. K. P.; Mirmira, R. G.; Linnemann, A. K.; Blum, B.",Barak Blum,"Department of Cell and Regenerative Biology, University of Wisconsin-Madison, Madison, WI 53705, USA",2019-12-12,1,cc_by_nc_nd,Developmental Biology,https://www.biorxiv.org/content/early/2019/12/12/2019.12.11.873471.source.xml,"The spatial architecture of the islets of Langerhans is hypothesized to facilitate synchronized insulin secretion between {beta} cells, yet testing this in vivo in the intact pancreas is challenging. Robo {beta}KO mice, in which the genes Robo1 and Robo2 are deleted selectively in {beta} cells, provide a unique model of altered islet spatial architecture without loss of {beta} cell differentiation or islet damage from diabetes. Combining Robo {beta}KO mice with intravital microscopy, we show here that Robo {beta}KO islets lose synchronized intra-islet Ca2+ oscillations between {beta} cells in vivo. We provide evidence that this loss is not due to a {beta} cell-intrinsic function of Robo, loss of Connexin36 gap junctions, or changes in islet vascularization, suggesting that the islet architecture itself is required for synchronized Ca2+ oscillations. These results have implications for understanding structure-function relationships in the islets during progression to diabetes as well as engineering islets from stem cells.",0,449,https://www.biorxiv.org/content/10.1101/2019.12.11.873471v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2019.12.11.873471v1.full.pdf,_10.1101_2019.12.11.873471.txt,0,NA,0,NA,NA
