doi,title,authors,author_corresponding,author_corresponding_institution,date,version,license,category,jatsxml,abstract,published,node,link,pdf,link_page,link_pdf,article,is_open_data,open_data_category,is_open_code,open_data_statements,open_code_statements
10.1101/19009407,Violin plot data: A concerto of crucial information on valve thrombogenicity categorized in vitro by valve motion and inferred flow velocity,"Scotten, L. N.; Blundon, D.; Deutsch, M.-A.; Siegel, R.",Lawrence N Scotten,"Independent Consultant, Victoria, BC, Canada",2019-12-02,4,cc_by_nc,Cardiovascular Medicine,https://www.medrxiv.org/content/early/2019/12/02/19009407.source.xml,"ObjectivesThis in vitro study compares mechanical (MHV) and bioprosthetic (BHV) heart valves for high amplitude short duration regional flow velocities (RFV) near valve closure.

BackgroundWe previously tested several clinical and prototype valves and observed RFV at levels which may be related to a dimensionless thrombogenic potential (TP).

MethodsA total of four valves were tested in aortic and mitral sites under pulsatile circulation in a pulse duplicator. Valves included both clinical models and experimental prototypes. An optical approach measuring projected dynamic valve area (PDVA) to gauge valve motion was implemented. Pulsatile pressures and flow rates were measured by conventional techniques and a quasi-steady flow tester was used to measure valve leakage. RFV was derived using time-dependent volumetric flow rate/PDVA. Since flow velocity and fluid shear force are related through flow velocity gradient, TPs for valves that achieve near closure during the forward flow deceleration phase were determined as RFVs relative to the control mechanical valve RFV value of -126 m/s.

ResultsTP is dimensionless and ranged between -0.45 and +1.0. Negative TPs arise when transient rebound of valve occluders is accompanied by water-hammer phenomena. Positive TPs occur during the decelerating forward flow. Bioprostheses had lowest TP transient of 0.15 with exception of a mock-transcatheter aortic valve (mTAVI) that incorporated by design a trivial perivalvular leak ([~]1.35 ml/s). This device demonstrated a remarkably high transient TP of 0.95. The control mechanical valves had the highest TP of 1.0. The study implicates TP transients near mechanical valve closure, and not forward or non-flow phases, as primary to shear induced activation of the coagulation cascade.

ConclusionsOur data reveals distinct TP profile differences between valve models. If verifiable, the design of future valves may utilize currently available experimental tools to determine TPs resulting in advanced devices with significantly reduced TP.",0,772,/content/10.1101/19009407v4?versioned=TRUE,/content/10.1101/19009407v4.full.pdf,https://www.medrxiv.org/content/10.1101/19009407v4?versioned=TRUE,https://www.medrxiv.org/content/10.1101/19009407v4.full.pdf,_10.1101_19009407.txt,0,NA,0,NA,NA
10.1101/19000232,Optimising the use of molecular tools for the diagnosis of yaws,"Munson, M.; Cresswell, B.; Kondobala, K.; Gainwu, B.; Lomotey, R. D.; Oppong, P.; Agyeman, F. O.; Kotye, N.; Diwura, M.; Ako, E. P.; Simpson, S. V.; Addo, K. K.; Pickering, H.; Handley, R.; Houghton, J.; Kwakye, C.; Marks, M.",Michael Marks,London School of Hygiene and Tropical Medicine,2019-07-15,3,cc_by,Infectious Diseases,https://www.medrxiv.org/content/early/2019/07/15/19000232.source.xml,"IntroductionYaws is a neglected tropical disease and results in lesions of skin, soft tissues and bones. PCR plays an important part in surveillance.

MethodsChildren suspected to have yaws were enrolled. From the largest lesion paired swabs were collected; one into transport medium and one as a dry swab. In children with multiple lesions we collected additional swabs from up to four subsequent lesions. Swabs in transport medium were maintained in a cold-chain whilst dry swabs were stored at ambient temperature. Swabs were tested by PCR for Treponema pallidum and Haemophilus ducreyi.

ResultsOf 55 individuals, 10 (18%) had at least 1 positive PCR for T. pallidum and 12 (22%) had at least 1 positive result for H. ducreyi. Concordance was 100% between swabs in transport medium and dry swabs. One patient had PCR-confirmed yaws on the swab of a third lesion when both the first and second lesions were PCR-negative.

DiscussionStoring swabs in transport medium and transporting in a cold chain did not improve yield, however detection of T. pallidum is increased by swabbing additional lesions. As the target for yaws is eradication approaches to sample collection need revisiting to ensure cases are not missed.",1,35,/content/10.1101/19000232v3?versioned=TRUE,/content/10.1101/19000232v3.full.pdf,https://www.medrxiv.org/content/10.1101/19000232v3?versioned=TRUE,https://www.medrxiv.org/content/10.1101/19000232v3.full.pdf,_10.1101_19000232.txt,0,NA,0,NA,NA
10.1101/19000562,Limitations of machine learning in psychiatry: Participation in the PAC 2018 depression challenge,"Eitel, F.; Stober, S.; Waller, L.; Dorfschmidt, L.; Walter, H.; Ritter, K.",Kerstin Ritter,Charite - Universitaetsmedizin Berlin,2019-08-05,3,cc_by_nc,Psychiatry And Clinical Psychology,https://www.medrxiv.org/content/early/2019/08/05/19000562.source.xml,The authors have withdrawn this manuscript because the results were posted in error. The authors do not wish this work to be cited as reference for the project. Please contact the corresponding author if you have any questions.,0,22,/content/10.1101/19000562v3?versioned=TRUE,/content/10.1101/19000562v3.full.pdf,https://www.medrxiv.org/content/10.1101/19000562v3?versioned=TRUE,https://www.medrxiv.org/content/10.1101/19000562v3.full.pdf,_10.1101_19000562.txt,0,NA,0,NA,NA
10.1101/19000257,"The prevalence of scabies, pyoderma and other communicable dermatoses in the Bijagos Archipelago, Guinea-Bissau","Marks, M.; Sammut, T.; Cabral, M. G.; Da Silva, E. T.; Goncalves, A.; Rodrigues, A.; Manjuba, C.; Nakutum, J.; Ca, J.; D Alessandro, U.; Achan, J.; Logan, J.; Bailey, R.; Mabey, D.; Last, A.; Walker, S. L.",Michael Marks,London School of Hygiene and Tropical Medicine,2019-10-10,3,cc_by,Infectious Diseases,https://www.medrxiv.org/content/early/2019/10/10/19000257.source.xml,"IntroductionSkin diseases represent a significant public health problem in most low and middle income settings. Nevertheless, there is a relative paucity of high-quality epidemiological data on the prevalence of these conditions.

Materials/methodsWe conducted two cross-sectional population-based skin-surveys of children (6 months to 9 years old) in the Bijagos Archipelago of Guinea-Bissau during the dry season (February-March 2018) and the wet season (June-July 2018). Following a period of training, a nurse performed a standardised examination for communicable dermatoses for each participant. We calculated the prevalence of each skin condition and investigated demographic associations.

Results1062 children were enrolled in the dry season survey of whom 318 (29.9%) had at least one skin diseases. The most common diagnosis was tinea capitis (154/1062, 14.5% - 95% CI 12.5-16.8%) followed by tinea corporis (84/1062, 7.9% - 95% CI 6.4-9.7%), pyoderma (82/1062, 7.7% - 95% CI 6.2-9.5%) and scabies (56/1062. 5.2% - 95%CI 4.0 - 6.8%). 320 children were enrolled in the wet season survey of whom 121 (37.8%) had at least one skin problem. Tinea capitis remained the most common diagnosis (79/320, 24.7% - 95% CI 20.1 - 29.9%), followed by pyoderma (38/320, 11.9% - 95% CI 8.6-16.1%), tinea corporis (23/320, 7.2% - 95% 4.7 - 10.7%) and scabies (6/320, 1.9% - 95% CI 0.8-4.2%).

ConclusionsOur study, which utilised robust population-based cluster random sampling methodology, demonstrates the substantial disease burden caused by common communicable dermatoses in this setting. Given these findings, there is a need to consider common dermatoses as part of Universal Health Coverage to deliver  skin-health for all.

Author SummarySkin conditions are very common in many low and middle income settings but there have been relatively few surveys of skin disease conducted using the best epidemiological approaches. We performed two cross-sectional population-based skin-surveys of children in the Bijagos Archipelago, Guinea-Bissau, using gold-standard sampling methodologies. Skin conditions were extremely common and almost 30% of children had at least one common, infectious skin condition in both surveys. Fungal skin and scalp infections were the most common conditions followed by bacterial skin infections. Our survey demonstrates that common, easily treatable skin conditions are responsible for a high burden of disease in this population. Skin-health should be considered a key component of the Universal Health Coverage agenda.",1,38,/content/10.1101/19000257v3?versioned=TRUE,/content/10.1101/19000257v3.full.pdf,https://www.medrxiv.org/content/10.1101/19000257v3?versioned=TRUE,https://www.medrxiv.org/content/10.1101/19000257v3.full.pdf,_10.1101_19000257.txt,1,supplement,0,3  4  5  6  7  8  9  female  76  7 (9.3)  5 (6.6)  6 (7.9)  9 (11.9)  15  3 (20)  0 (0)  0 (0)  2 (13.4)  male  54  12 (22.3)  10 (18.6)  5 (9.3)  6 (11.2)  19  5 (26.4)  0 (0)  0 (0)  1 (5.3)  female  60  7 (11.7)  2 (3.4)  6 (10)  7 (11.7)  18  2 (11.2)  3 (16.7)  1 (5.6)  5 (27.8)  male  55  14 (25.5)  4 (7.3)  4 (7.3)  6 (11)  14  6 (42.9)  2 (14.3)  0 (0)  4 (28.6)  female  64  4 (6.3)  8 (12.5)  2 (3.2)  2 (3.2)  24  3 (12.5)  1 (4.2)  1 (4.2)  2 (8.4)  male  48  12 (25)  2 (4.2)  2 (4.2)  8 (16.7)  27  7 (26)  2 (7.5)  1 (3.8)  1 (3.8)  female  70  10 (14.3)  4 (5.8)  3 (4.3)  3 (4.3)  16  3 (18.8)  2 (12.5)  0 (0)  2 (12.5)  male  64  14 (21.9)  5 (7.9)  4 (6.3)  4 (6.3)  19  7 (36.9)  2 (10.6)  0 (0)  2 (10.6)  female  53  7 (13.3)  0 (0)  3 (5.7)  4 (7.6)  20  3 (15)  2 (10)  0 (0)  0 (0)  male  57  17 (29.9)  6 (10.6)  3 (5.3)  2 (3.6)  17  5 (29.5)  0 (0)  0 (0)  2 (11.8)  female  43  4 (9.4)  0 (0)  1 (2.4)  0 (0)  19  2 (10.6)  1 (5.3)  0 (0)  1 (5.3)  male  63  16 (25.4)  6 (9.6)  3 (4.8)  4 (6.4)  26  16 (61.6)  2 (7.7)  0 (0)  2 (7.7)  female  61  4 (6.6)  8 (13.2)  0 (0)  2 (3.3)  16  3 (18.8)  2 (12.5)  0 (0)  1 (6.3)  male  60  9 (15)  4 (6.7)  1 (1.7)  5 (8.4)  11  6 (54.6)  1 (9.1)  1 (9.1)  1 (9.1)  supporting information legend  s1 checklist – strobe checklist s2 data – supporting dataset  16,NA
10.1101/19003434,"The impact of reactive mass vaccination campaigns on measles outbreaks in the Katanga region, Democratic Republic of Congo","Funk, S.; Takahashi, S.; Hellewell, J.; Gadroen, K.; Carrion-Martin, I.; Van Lenthe, M.; Rivette, K.; Dietrich, S.; Edmunds, W. J.; Siddiqui, M. R.; Rao, V. B.",Sebastian Funk,London School of Hygiene & Tropical Medicine,2019-10-10,3,cc_by,Epidemiology,https://www.medrxiv.org/content/early/2019/10/10/19003434.source.xml,"The Katanga region in the Democratic Republic of Congo (DRC) has been struck by repeated epidemics of measles, with large outbreaks occurring in 2010-13 and 2015. In many of the affected health zones, reactive mass vaccination campaigns were conducted in response to the outbreaks. Here, we attempted to determine how effective the vaccination campaigns in 2015 were in curtailing the ongoing outbreak. We further sought to establish whether the risk of large measles outbreaks in different health zones could have been determined in advance to help prioritise areas for vaccination campaign and speed up the response. In doing so, we first attempted to identify factors that could have been used in 2015 to predict in which health zones the greatest outbreaks would occur. Administrative vaccination coverage was not a good predictor of the size of outbreaks in different health zones. Vaccination coverage derived from surveys, on the other hand, appeared to give more reliable estimates of health zones of low vaccination coverage and, consequently, large outbreaks. On a coarser geographical scale, the provinces most affected in 2015 could be predicted from the outbreak sizes in 2010-13. This, combined with the fact that the vast majority of reported cases were in under-5 year olds, would suggest that there are systematic issues of undervaccination. If this was to continue, outbreaks would be expected to continue to occur in the affected health zones at regular intervals, mostly concentrated in under-5 year olds. We further used a model of measles transmission to estimate the impact of the vaccination campaigns, by first fitting a model to the data including the campaigns and then re-running this without vaccination. We estimated the reactive campaigns to have reduced the size of the overall outbreak by approximately 21,000 (IQR: 16,000-27,000; 95% CI: 8300-38,000) cases. There was considerable heterogeneity in the impact of campaigns, with campaigns started earlier after the start of an outbreak being more impactful. Taken together, these findings suggest that while a strong routine vaccination regime remains the most effective means of measles control, it might be possible to improve the effectiveness of reactive campaigns by considering predictive factors to trigger a more targeted vaccination response.",0,308,/content/10.1101/19003434v3?versioned=TRUE,/content/10.1101/19003434v3.full.pdf,https://www.medrxiv.org/content/10.1101/19003434v3?versioned=TRUE,https://www.medrxiv.org/content/10.1101/19003434v3.full.pdf,_10.1101_19003434.txt,1,general-purpose repository,1,320  data statement  321  all code and data used to produce the results are available in a public repository at  322  https://github.com/sbfnk/measles.katanga.,320  data statement  321  all code and data used to produce the results are available in a public repository at  322  https://github.com/sbfnk/measles.katanga.
10.1101/19005884,Spatial epidemiology of Japanese encephalitis virus and other infections of the central nervous system in Lao PDR (2003 - 2011): a retrospective analysis,"Rattanavong, S.; Dubot-Peres, A.; Mayxay, M.; Vongsouvath, M.; Lee, S. J.; Cappelle, J.; Newton, P. N.; Parker, D. M.",Daniel M. Parker,"University of California, Irvine",2019-10-25,3,cc_by_nc_nd,Public And Global Health,https://www.medrxiv.org/content/early/2019/10/25/19005884.source.xml,"BackgroundCentral nervous system (CNS) infections are important contributors to morbidity and mortality and the causative agents for [~]50% patients are never identified. The causative agents of some CNS infections have distinct spatial and temporal patterns.

Methodology/Principal FindingsHere we present the results of a spatial epidemiological and ecological analysis of CNS infections in Lao PDR (2003 - 2011). The data came from hospitalizations for suspected CNS infection at Mahosot Hospital in Vientiane. Out of 1,065 patients, 450 were assigned a confirmed diagnosis. While many communities in Lao PDR are in rural and remote locations, most patients in these data came from villages along major roads. Japanese encephalitis virus ((JEV); n=94) and Cryptococcus spp. (n=70) were the most common infections. JEV infections peaked in the rainy season and JEV patients came from villages with higher surface flooding during the same month as admission. JEV infections were spatially dispersed throughout rural areas and were most common in children. Cryptococcus spp. infections clustered near Vientiane (an urban area) and among adults.

Conclusions/SignificanceThe spatial and temporal patterns identified in this analysis are related to complex environmental, social, and geographic factors. For example, JEV infected patients came from locations with environmental conditions (surface water) that are suitable to support larger mosquito vector populations. Most patients in these data came from villages that are near major roads; likely the result of geographic and financial access to healthcare and also indicating that CNS diseases are underestimated in the region (especially from more remote areas). As Lao PDR is undergoing major developmental and environmental changes, the space-time distributions of the causative agents of CNS infection will also likely change. There is a major need for increased diagnostic abilities; increased access to healthcare, especially for rural populations; and for increased surveillance throughout the nation.

AUTHOR SUMMARYInfections of the central nervous system (CNS) are important with regard to public health. However many CNS infections are never diagnosed. In this analysis we investigated spatial and temporal patterns in hospitalized patients with suspected CNS infections in Lao PDR. We found that patients were most likely to come from villages located along major roads and highways. Patients from remote areas may have more difficulty reaching healthcare facilities. The most commonly diagnosed infection in these patients was Japanese encephalitis virus (JEV). Patients with this disease came from locations that were optimal for the mosquito vectors that spread JEV, rural areas with surface water and during the rainy season. Our analyses suggest that CNS infections should be a priority for public health workers in the region. Diagnostic capabilities should be increased throughout the nation; surveillance efforts should be broadened; and efforts should be increased toward providing easy access to healthcare for rural and remote populations.",1,393,/content/10.1101/19005884v3?versioned=TRUE,/content/10.1101/19005884v3.full.pdf,https://www.medrxiv.org/content/10.1101/19005884v3?versioned=TRUE,https://www.medrxiv.org/content/10.1101/19005884v3.full.pdf,_10.1101_19005884.txt,0,NA,0,NA,NA
10.1101/19002436,Disruptive Mood Dysregulation Disorder: symptomatic and syndromic thresholds and diagnostic operationalization,"Laporte, P. P.; Matijasevich, A.; Munhoz, T. N.; Santos, I. S.; Barros, A. J. D.; Pine, D. S.; Rohde, L. A.; Leibenluft, E.; Salum, G. A.",Paola Paganella Laporte,Universidade Federal do Rio Grande do Sul,2019-10-29,3,cc_no,Psychiatry And Clinical Psychology,https://www.medrxiv.org/content/early/2019/10/29/19002436.source.xml,"ObjectiveThe aim of this study is to identify the most appropriate threshold for Disruptive Mood Dysregulation Disorder (DMDD) diagnosis and the impact of potential changes in diagnostic rules on prevalence levels in the community.

MethodTrained psychologists evaluated 3,562 pre-adolescents/early adolescents from the 2004 Pelotas Birth Cohort with the Development and Well-Being Behavior Assessment (DAWBA). The clinical threshold was assessed in three stages: symptomatic, syndromic and clinical operationalization. The symptomatic threshold identified the response category in each DAWBA item which separates normative misbehavior from a clinical indicator. The syndromic threshold identified the number of irritable mood and outbursts needed to capture pre-adolescents/early adolescents with high symptom levels. Clinical operationalization compared the impact of AND/OR rules for combining irritable mood and outbursts on impairment and levels of psychopathology.

ResultsAt the symptomatic threshold, most irritable mood items were normative in their lowest response categories and clinically significant in their highest response categories. For outbursts some indicated a symptom even when present at only a mild level, while others did not indicate symptoms at any level. At the syndromic level, a combination of 2 out of 7 irritable mood and 3 out of 8 outburst indicators accurately captured a cluster of individuals with high level of symptoms. Analysis combining irritable mood and outbursts delineated non-overlapping aspects of DMDD, providing support for the OR rule in clinical operationalization. The best DMDD criteria resulted in a prevalence of 3%.

ConclusionResults provide information for initiatives aiming to provide data-driven and clinically oriented operationalized criteria for DMDD.",1,139,/content/10.1101/19002436v3?versioned=TRUE,/content/10.1101/19002436v3.full.pdf,https://www.medrxiv.org/content/10.1101/19002436v3?versioned=TRUE,https://www.medrxiv.org/content/10.1101/19002436v3.full.pdf,_10.1101_19002436.txt,0,NA,0,NA,NA
10.1101/19003426,Efficacy of a spatial repellent for control of malaria in Indonesia: a cluster-randomized controlled trial.,"Syafruddin, D.; Asih, P. B.; Rozi, I. E.; Permana, D. H.; Hidayati, A. P. N.; Syahrani, L.; Zubaidah, S.; Sidik, D.; Bangs, M. J.; Bogh, C.; Liu, F.; Eugenio, E. C.; Hendrickson, J.; Burton, T. A.; Baird, J. K.; Collins, F. H.; Grieco, J. P.; Lobo, N. F.; Achee, N. L.",Nicole L Achee,"Department of Biological Sciences, Eck Institute for Global Health, University of Notre Dame, USA",2019-11-05,3,cc_by_nc_nd,Public And Global Health,https://www.medrxiv.org/content/early/2019/11/05/19003426.source.xml,"A cluster randomized, double-blinded, placebo-controlled trial was conducted to estimate protective efficacy of a spatial repellent against malaria infection at Sumba, Indonesia. Following radical cure in 1,341 children aged [&ge;] 6 months - [&le;]5 years in 24 clusters, households were given transfluthrin or placebo passive emanators (devices designed to release vaporized chemical). Monthly blood screening and biweekly human-landing mosquito catches were performed during 10-months baseline (June 2015 to March 2016) and a 24-month intervention period (April 2016 to April 2018). Screening detected 164 first-time infections and an accumulative total of 459 infections in 667 subjects in placebo-control households; and 134 first-time and 253 accumulative total infections among 665 subjects in active intervention households. The 24-cluster protective effect of 27.7% and 31.3%, for time to first-event and overall (total new) infections, respectively, was not statistically significant. Purportedly, this was due in part to zero to low incidence in some clusters, undermining the ability to detect a protective effect. Subgroup analysis of 19 clusters where at least one infection occurred during baseline showed 33.3% (p-value = 0.083) and 40.9% (p-value = 0.0236, statistically significant at the 1-sided 5% significance level) protective effect to first-infection and overall infections, respectively. Among 12 moderate-to high-risk clusters, a statistically significant decrease on infection by intervention was detected (60% protective efficacy). Primary entomological analysis of impact was inconclusive. While this study suggests spatial repellents prevent malaria, additional evidence is required to demonstrate the product class provides an operationally feasible and effective means of reducing malaria transmission.",1,262,/content/10.1101/19003426v3?versioned=TRUE,/content/10.1101/19003426v3.full.pdf,https://www.medrxiv.org/content/10.1101/19003426v3?versioned=TRUE,https://www.medrxiv.org/content/10.1101/19003426v3.full.pdf,_10.1101_19003426.txt,0,NA,0,NA,NA
10.1101/19007526,Quaternary Prevention: Is this Concept Relevant to Public Health? A Bibliometric and Descriptive Content Analysis.,"Depallens, M. A.; Guimaraes, J. M. D. M.; Almeida Filho, N.",Miguel Andino Depallens,Federal University of the South of Bahia,2019-11-05,3,cc_no,Public And Global Health,https://www.medrxiv.org/content/early/2019/11/05/19007526.source.xml,"ObjectiveTo measure and map research output on Quaternary Prevention (P4) and outline research trends; to assess the papers content, mainly regarding methods and subjects approached in order to contribute to the improvement of global knowledge about P4 and to evaluate its relevance for public health.

DesignBibliometric and descriptive content analysis.

Articles reviewedScientific articles about P4 recorded in Pubmed, LILACS, Scielo or CINAHL published until August 2018, with correspondent full articles available in Portuguese, English, Spanish, German or French.

Main outcome measuresYear of publication, first authors name and nationality, journals name, country and ranking, publication language, used methods and main reported subjects.

Results65 articles were included, published in 33 journals of 16 countries between 2003 and 2018 with a peak of publications in 2015. The first authors came from 17 different countries, 23% of them were Brazilian and Uruguay was the leading nation according to the scientific production per capita. 40% of all the selected articles were in English, 32% in Portuguese, 26% in Spanish. 28% of the papers were published in Q1 or Q2 journals. The research outputs on P4 begun first in the South of Europe, went to South America and then expanded worldwide. 88% of the articles were bibliographic research and 38% of all focused on specific examples of medical overuse (including several screening tests).

ConclusionsQuaternary prevention represents an ethical and valid approach to prevent occurence of iatrogenic events and to achieve equal and fair access to health services. Conceptual, geographical and linguistic elements, as well as WONCA conferences and type of healthcare systems in the authors country were fundamental factors that affected research output. The quality and quantity of available studies is still limited, therefore further investigations are recommended to assess the effective impact of P4 on public health.",1,603,/content/10.1101/19007526v3?versioned=TRUE,/content/10.1101/19007526v3.full.pdf,https://www.medrxiv.org/content/10.1101/19007526v3?versioned=TRUE,https://www.medrxiv.org/content/10.1101/19007526v3.full.pdf,_10.1101_19007526.txt,0,NA,0,NA,NA
10.1101/19009977,Cost-effectiveness of the next generation of RSV intervention strategies,"Hodgson, D.; Panovska-Griffiths, J.; Pebody, R.; Baguelin, M.; Atkins, K.",David Hodgson,UCL,2019-11-05,3,cc_by_nc,Public And Global Health,https://www.medrxiv.org/content/early/2019/11/05/19009977.source.xml,"BackgroundWith a suite of promising new RSV prophylactics on the horizon, including long-acting monoclonal antibodies and new vaccines, it is likely that one or more of these will replace the current monoclonal Palivizumab programme. However, choosing the optimal intervention programme will require balancing the costs of the programmes with the health benefits accrued.

MethodsTo compare the next generation of RSV prophylactics, we integrated a novel transmission model with an economic analysis. We estimated key epidemiological parameters by calibrating the model to seven years of historical epidemiological data using a Bayesian approach. We determined the cost-effective and affordable maximum purchase price for a comprehensive suite of intervention programmes.

FindingsOur transmission model suggests that maternal protection of infants is seasonal, with 2-14% of infants born with protection against RSV. Our economic analysis found that to cost-effectively and affordably replace the current monoclonal antibody Palivizumab programme with long-acting monoclonal antibodies, the purchase price per dose would have to be less than around {pound}4,350 but dropping to {pound}200 for vaccinated heightened risk infants or {pound}90 for all infants. A seasonal maternal vaccine would have to be priced less than {pound}85 to be cost-effective and affordable. While vaccinating pre-school and school-age children is likely not cost-effective relative to elderly vaccination programmes, vaccinating the elderly is not likely to be affordable. Conversely, vaccinating infants at 2 months seasonally would be cost-effective and affordable if priced less than {pound}80.

InterpretationsIn a setting with seasonal RSV epidemiology, maternal protection conferred to newborns is also seasonal, an assumption not previously incorporated in transmission models of RSV. For a country with seasonal RSV dynamics like England, seasonal programmes rather than year-round intervention programmes are always optimal.

FundingMedical Research Council and National Institute for Health Research

RESEARCH IN CONTEXTO_ST_ABSEvidence before this studyC_ST_ABSA recent systematic review identified RSV prophylactic candidates currently in clinical trials, including a maternal vaccine (RSV F-nanoparticles vaccine), long-acting monoclonal antibodies aimed at neonates (MEDI8897), and an active adenovirus vector-based vaccine aimed at infants and/or the elderly (ChAd155-RSV). Given the significant observed health burden due to RSV in children, these products, which are mainly aimed at children, are likely to be effective at preventing RSV disease. However, uncertainties surrounding i) the dynamics of maternally-derived protection in neonates, ii) the impact of herd immunity, and iii) the purchasing cost of these prophylactics, means it is not clear if these products are cost-effective. Therefore, evaluating the purchasing price required for these prophylactics to remain cost-effective using a dynamic transmission model, in which the herd immunity is included and the dynamics of maternally-derived immunity is determined by calibrating the model to data, is a public health priority.

Added-value of this studyOur study finds that in a setting with seasonal RSV epidemiology, maternal protection conferred to newborns is also seasonal. In addition, our study estimates the maximum purchasing price per course for various potential RSV intervention programmes to be cost-effective in England, assuming a cost-effectiveness threshold of {pound}20,000/QALY as recommended by the National Institute of Clinical Excellence (NICE). We find that to cost-effectively and affordably replace the current monoclonal antibody Palivizumab programme with long-acting monoclonal antibodies, the purchase price per dose would have to be less than around {pound}4,350 but dropping to {pound}200 for vaccinated heightened risk infants or {pound}90 for all infants. A seasonal maternal vaccine would have to be priced less than {pound}85 to be cost-effective and affordable. While vaccinating pre-school and school-age children is likely not cost-effective relative to elderly vaccination programmes, and vaccinating the elderly is not likely to be affordable.

Implications of all the available evidenceThe seasonal protection conferred to newborns is consistent with empirical immunological data from maternal cord blood and ecological evidence from hospital records. Further, extending a monoclonal antibody programme would be possible if there is a considerable drop in price and maternal vaccination remains the only realistic vaccination strategy in the UK. With further clinical trials planned for RSV F-nanoparticles vaccine to evaluate its efficacy, and with clinical trial completion dates set at the end of 2021 for the other two prophylactic candidates, the results of this study provide a comprehensive overview of the impact of potential RSV intervention programmes both in the present and in the coming years.",0,697,/content/10.1101/19009977v3?versioned=TRUE,/content/10.1101/19009977v3.full.pdf,https://www.medrxiv.org/content/10.1101/19009977v3?versioned=TRUE,https://www.medrxiv.org/content/10.1101/19009977v3.full.pdf,_10.1101_19009977.txt,0,NA,1,NA,affordability: an intervention strategy is considered affordable if it costs less than £20 million annually during the first three years of implementation.44 using this definition we calculated the affordable purchasing price per course for each non-dominated programme by subtracting the total undiscounted cost of administering the intervention strategy for the first three years from £60 million (3 years at £20 million each) and dividing by the total number of courses given during this period.44  calculations and code: the model was programmed in c++ with the code available at  https://github.com/dchodge/rsv_trans_model.
